"","X","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"1","entry",14,"etr:ETAE_2956","gene","http://www.kegg.jp/dbget-bin/www_bget?etr:ETAE_2956",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"33","entry",14,"etd:ETAF_2685","gene","http://www.kegg.jp/dbget-bin/www_bget?etd:ETAF_2685",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"65","entry",14,"ete:ETEE_1186","gene","http://www.kegg.jp/dbget-bin/www_bget?ete:ETEE_1186",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"97","entry",14,"etc:ETAC_14225","gene","http://www.kegg.jp/dbget-bin/www_bget?etc:ETAC_14225",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"129","entry",14,"edw:QY76_05555","gene","http://www.kegg.jp/dbget-bin/www_bget?edw:QY76_05555",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"160","entry",14,"edl:AAZ33_15690","gene","http://www.kegg.jp/dbget-bin/www_bget?edl:AAZ33_15690",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"190","entry",14,"eho:A9798_02400","gene","http://www.kegg.jp/dbget-bin/www_bget?eho:A9798_02400",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"223","entry",14,"hav:AT03_04315 / hav:AT03_16170","gene","http://www.kegg.jp/dbget-bin/www_bget?hav:AT03_04315+hav:AT03_16170",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"258","entry",14,"hpar:AL518_01255 / hpar:AL518_02775 / hpar:AL518_13640","gene","http://www.kegg.jp/dbget-bin/www_bget?hpar:AL518_01255+hpar:AL518_02775+hpar:AL518_13640",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"291","entry",14,"opo:DSM2777_19315 / opo:DSM2777_21865","gene","http://www.kegg.jp/dbget-bin/www_bget?opo:DSM2777_19315+opo:DSM2777_21865",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"326","entry",18,"pmua:114581852 / pmua:114585662 / pmua:114587776","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114581852+pmua:114585662+pmua:114587776",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"361","entry",14,"pfq:QQ39_03140","gene","http://www.kegg.jp/dbget-bin/www_bget?pfq:QQ39_03140",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"390","entry",14,"lri:NCTC12151_00536 / lri:NCTC12151_00812","gene","http://www.kegg.jp/dbget-bin/www_bget?lri:NCTC12151_00536+lri:NCTC12151_00812",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"417","entry",14,"kin:AB182_03725 / kin:AB182_07700 / kin:AB182_23225 / kin:AB182_24815 / kin:AB182_25825 / kin:AB182_25830","gene","http://www.kegg.jp/dbget-bin/www_bget?kin:AB182_03725+kin:AB182_07700+kin:AB182_23225+kin:AB182_24815+kin:AB182_25825+kin:AB182_25830",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"452","entry",14,"pshi:SAMEA2665130_2392","gene","http://www.kegg.jp/dbget-bin/www_bget?pshi:SAMEA2665130_2392",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"479","entry",14,"hin:HI0524","gene","http://www.kegg.jp/dbget-bin/www_bget?hin:HI0524",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"502","entry",14,"hit:NTHI0650","gene","http://www.kegg.jp/dbget-bin/www_bget?hit:NTHI0650",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"524","entry",14,"hip:CGSHiEE_00370","gene","http://www.kegg.jp/dbget-bin/www_bget?hip:CGSHiEE_00370",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"547","entry",14,"hiq:CGSHiGG_05870","gene","http://www.kegg.jp/dbget-bin/www_bget?hiq:CGSHiGG_05870",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"569","entry",14,"hif:HIBPF_18100","gene","http://www.kegg.jp/dbget-bin/www_bget?hif:HIBPF_18100",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"591","entry",14,"hil:HICON_08950","gene","http://www.kegg.jp/dbget-bin/www_bget?hil:HICON_08950",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"613","entry",14,"gja:107106124 / gja:107117454 / gja:107119401 / gja:107125102","gene","http://www.kegg.jp/dbget-bin/www_bget?gja:107106124+gja:107117454+gja:107119401+gja:107125102",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"648","entry",14,"hiu:HIB_06480","gene","http://www.kegg.jp/dbget-bin/www_bget?hiu:HIB_06480",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"671","entry",14,"hie:R2846_0061","gene","http://www.kegg.jp/dbget-bin/www_bget?hie:R2846_0061",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"694","entry",14,"hiz:R2866_0054","gene","http://www.kegg.jp/dbget-bin/www_bget?hiz:R2866_0054",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"717","entry",14,"hik:HifGL_000326","gene","http://www.kegg.jp/dbget-bin/www_bget?hik:HifGL_000326",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"740","entry",14,"hia:H733_0406","gene","http://www.kegg.jp/dbget-bin/www_bget?hia:H733_0406",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"763","entry",14,"hih:NF38_02455","gene","http://www.kegg.jp/dbget-bin/www_bget?hih:NF38_02455",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"786","entry",14,"hiw:NTHI477_01633","gene","http://www.kegg.jp/dbget-bin/www_bget?hiw:NTHI477_01633",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"809","entry",14,"hic:NTHIC486_00468","gene","http://www.kegg.jp/dbget-bin/www_bget?hic:NTHIC486_00468",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"832","entry",14,"hix:NTHI723_01170","gene","http://www.kegg.jp/dbget-bin/www_bget?hix:NTHI723_01170",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"855","entry",14,"hpr:PARA_08440","gene","http://www.kegg.jp/dbget-bin/www_bget?hpr:PARA_08440",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"878","entry",14,"xla:100037142 / xla:379254 / xla:379336 / xla:379489 / xla:380079 / xla:398623","gene","http://www.kegg.jp/dbget-bin/www_bget?xla:100037142+xla:379254+xla:379336+xla:379489+xla:380079+xla:398623",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"913","entry",14,"hdu:HD_0864","gene","http://www.kegg.jp/dbget-bin/www_bget?hdu:HD_0864",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"933","entry",14,"hay:C3V42_04845","gene","http://www.kegg.jp/dbget-bin/www_bget?hay:C3V42_04845",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"956","entry",18,"hpit:NCTC13334_00868","gene","http://www.kegg.jp/dbget-bin/www_bget?hpit:NCTC13334_00868",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"980","entry",14,"hap:HAPS_2132","gene","http://www.kegg.jp/dbget-bin/www_bget?hap:HAPS_2132",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"1002","entry",14,"hpaz:K756_08030","gene","http://www.kegg.jp/dbget-bin/www_bget?hpaz:K756_08030",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"1024","entry",14,"hpas:JL26_06945","gene","http://www.kegg.jp/dbget-bin/www_bget?hpas:JL26_06945",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"1046","entry",14,"hpak:JT17_04520","gene","http://www.kegg.jp/dbget-bin/www_bget?hpak:JT17_04520",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"1068","entry",14,"gle:CJD39_05880","gene","http://www.kegg.jp/dbget-bin/www_bget?gle:CJD39_05880",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
"1092","entry",14,"hso:HS_0206","gene","http://www.kegg.jp/dbget-bin/www_bget?hso:HS_0206",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,10
