"","X","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"6","entry16",53,"etr:ETAE_1447 / etr:ETAE_1850","gene","http://www.kegg.jp/dbget-bin/www_bget?etr:ETAE_1447+etr:ETAE_1850",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,10
"38","entry16",53,"etd:ETAF_1342 / etd:ETAF_1669","gene","http://www.kegg.jp/dbget-bin/www_bget?etd:ETAF_1342+etd:ETAF_1669",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,10
"70","entry16",53,"ete:ETEE_3445 / ete:ETEE_3898","gene","http://www.kegg.jp/dbget-bin/www_bget?ete:ETEE_3445+ete:ETEE_3898",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,10
"102","entry16",53,"etc:ETAC_06800 / etc:ETAC_08480","gene","http://www.kegg.jp/dbget-bin/www_bget?etc:ETAC_06800+etc:ETAC_08480",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,10
"134","entry16",53,"edw:QY76_11020 / edw:QY76_12685","gene","http://www.kegg.jp/dbget-bin/www_bget?edw:QY76_11020+edw:QY76_12685",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,10
"165","entry16",53,"edl:AAZ33_07525 / edl:AAZ33_09420","gene","http://www.kegg.jp/dbget-bin/www_bget?edl:AAZ33_07525+edl:AAZ33_09420",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,10
"195","entry16",53,"eho:A9798_08720","gene","http://www.kegg.jp/dbget-bin/www_bget?eho:A9798_08720",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,10
"229","entry16",53,"hav:AT03_09810 / hav:AT03_10400","gene","http://www.kegg.jp/dbget-bin/www_bget?hav:AT03_09810+hav:AT03_10400",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,10
"263","entry16",53,"hpar:AL518_13825 / hpar:AL518_15960","gene","http://www.kegg.jp/dbget-bin/www_bget?hpar:AL518_13825+hpar:AL518_15960",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,10
"297","entry16",53,"opo:DSM2777_09855 / opo:DSM2777_17100","gene","http://www.kegg.jp/dbget-bin/www_bget?opo:DSM2777_09855+opo:DSM2777_17100",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,10
