"","name","children"
"reaction","rn:R02124","list(name = ""substrate"", attributes = c(id = ""5"", name = ""cpd:C00473""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""8"", name = ""cpd:C00376""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction1","rn:R08381","list(name = ""substrate"", attributes = c(id = ""20"", name = ""cpd:C00899""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""46"", name = ""cpd:C03455""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction2","rn:R02124 rn:R08379","list(name = ""substrate"", attributes = c(id = ""5"", name = ""cpd:C00473""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""8"", name = ""cpd:C00376""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction3","rn:R08383","list(name = ""substrate"", attributes = c(id = ""25"", name = ""cpd:C16682""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""27"", name = ""cpd:C16681""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction4","rn:R02902","list(name = ""substrate"", attributes = c(id = ""14"", name = ""cpd:C00777""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""52"", name = ""cpd:C11061""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction5","rn:R02124","list(name = ""substrate"", attributes = c(id = ""5"", name = ""cpd:C00473""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""8"", name = ""cpd:C00376""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction8","rn:R02124","list(name = ""substrate"", attributes = c(id = ""7"", name = ""cpd:C00473""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""10"", name = ""cpd:C00376""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction11","rn:R08382 rn:R08383","list(name = ""substrate"", attributes = c(id = ""27"", name = ""cpd:C16682""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""29"", name = ""cpd:C16681""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction21","rn:R08381","list(name = ""substrate"", attributes = c(id = ""22"", name = ""cpd:C00899""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""48"", name = ""cpd:C03455""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction31","rn:R02124 rn:R08379","list(name = ""substrate"", attributes = c(id = ""7"", name = ""cpd:C00473""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""10"", name = ""cpd:C00376""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction41","rn:R02124 rn:R08379","list(name = ""substrate"", attributes = c(id = ""7"", name = ""cpd:C00473""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""10"", name = ""cpd:C00376""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction51","rn:R08383","list(name = ""substrate"", attributes = c(id = ""27"", name = ""cpd:C16682""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""29"", name = ""cpd:C16681""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction6","rn:R02902","list(name = ""substrate"", attributes = c(id = ""16"", name = ""cpd:C00777""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""54"", name = ""cpd:C11061""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction7","rn:R02124","list(name = ""substrate"", attributes = c(id = ""7"", name = ""cpd:C00473""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""10"", name = ""cpd:C00376""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction28","rn:R02124","list(name = ""substrate"", attributes = c(id = ""7"", name = ""cpd:C00473""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""10"", name = ""cpd:C00376""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
"reaction110","rn:R02123","list(name = ""substrate"", attributes = c(id = ""10"", name = ""cpd:C00376""), children = NULL, namespace = NULL, namespaceDefinitions = NULL) / list(name = ""product"", attributes = c(id = ""16"", name = ""cpd:C00777""), children = NULL, namespace = NULL, namespaceDefinitions = NULL)"
