"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree"
"1",872,"ec","00130",58,82,1,14,"ec:4.2.99.20","<30",23.2355126300149,7,2,0.000353857041755131,0.00845864661654135,0,6,17,7,1.66666666666667,9,6,0.666666666666667,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0
"2",873,"ec","00130",58,82,1,14,"ec:4.1.3.36","30<=x<80",41.4561664190193,10,2,0.000336021505376344,0.0112781954887218,0,6,20,7,1.80952380952381,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,6,4,0.666666666666667,2,2,0
"3",874,"ec","00130",58,82,1,14,"ec:6.2.1.26","30<=x<80",40.3417533432392,9,2,0.000341880341880342,0.0109649122807018,0,6,19,6,1.8,7,5,0.571428571428571,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0
"4",875,"ec","00130",58,82,1,14,"ec:4.2.1.113","30<=x<80",36.0512630014859,8,2,0.000347826086956522,0.0100250626566416,0,6,18,7,1.68421052631579,8,6,0.5,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0
"5",876,"ec","00130",58,82,1,14,"ec:2.2.1.9","30<=x<80",40.1931649331352,8,2,0.000359971202303816,0.006265664160401,0,6,16,6,1.64705882352941,10,6,0.8,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0
"6",878,"ec","00130",58,82,1,14,"ec:1.14.13.240","<30",18.3878157503715,13,2,0.000307787011388119,0.0018796992481203,0,6,25,9,2.07692307692308,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0,1,1,0
"7",879,"ec","00130",58,82,1,14,"ec:4.1.1.98","30<=x<80",50.6315007429421,12,3,0.000313185092389602,0.0031328320802005,0,6,24,9,2,2,2,0,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0
"8",883,"ec","00130",58,82,1,14,"ec:4.1.3.40","<30",29.8848439821694,10,7,0.000525210084033613,0,0,6,18,8,1.57894736842105,8,4,1,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0
"9",884,"ec","00130",58,82,1,14,"ec:5.4.4.2","30<=x<80",45.3194650817236,9,3,0.000416666666666667,0.00344611528822055,0,6,15,7,1.5,11,6,0.909090909090909,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0
"10",885,"ec","00130",58,82,1,14,"ec:3.1.2.28","<30",22.2511144130758,11,2,0.000330250990752972,0.0109649122807018,0,6,21,6,2.09090909090909,17,8,1.52941176470588,6,2,1.33333333333333,5,3,0.8,6,4,0.666666666666667,2,2,0
