"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry","7","ec:2.7.1.59","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.59","rn:R01201",361,258,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00520",0,925,6029,15.3425111958865,0.00490505662919456,6,29,0.439393939393939,0.000359453630481668,1,0,8,8,10,12,0.511682899023107,0.614391218060159,"HNB"
"entry1","9","ec:5.4.2.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.4.2.3","rn:R08193",508,258,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00520",0,519,6029,8.60839276828662,0.0118626584143826,4,18,0.5,0.0001020199959192,1,2.43166994055561e-16,8,8,10,9,0.553227920355754,0.344457102631873,"HNB"
"entry2","11","ec:2.7.7.23","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.7.23","rn:R00416",651,258,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00520",0,5107,6029,84.7072482998839,0.0208701738874153,7,30,0.545454545454545,9.99200639488409e-05,2,4.57165759732165e-16,9,8,10,11,0.188963184608954,0.417590069157697,"HNB"
"entry3","13","ec:3.2.1.183","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.2.1.183","rn:R00414",767,258,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00520",0,333,6029,5.52330403051916,0.0165045682287062,5,27,0.490909090909091,9.99100809271656e-05,2,7.27891871657422e-16,9,8,10,11,0.303826586819048,0.160889880222425,"HNB"
"entry4","15","ec:2.7.1.60","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.60","rn:R02705",868,258,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00520",0,581,6029,9.63675568087577,0.000810492189802535,2,7,0.466666666666667,7.6283469372187e-05,1,5.91411065025351e-16,9,8,10,6,0.0959329696830062,0.1715705920726,"NHNB"
"entry5","17","ec:2.5.1.57","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.5.1.57","rn:R04435",994,258,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00520",0,211,6029,3.49975120252115,0,3,1,0.333333333333333,7.69704433497537e-05,1,0,9,8,10,3,2.96839956248056e-17,0.178198319329652,"NHNB"
"entry6","19","ec:3.1.3.29","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.3.29","rn:R01805",1137,256,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00520",0,220,6029,3.64902968983248,0.0002210433244916,2,3,0.5,7.43162901307967e-05,3,2.65809538719698e-16,10,8,10,4,0.0281026687821201,0.000546699932464229,"NHNB"
"entry7","22","ec:3.5.99.6","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.99.6","rn:R00765",415,430,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00520",0,2798,6029,46.409023055233,0.0039296591020729,5,13,0.464285714285714,0.000137080191912269,1,0.147438022982986,9,8,10,9,0.464738401542826,0.575465085704487,"HNB"
"entry8","24","ec:3.5.1.25","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.25","rn:R02059",412,302,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00520",0,3638,6029,60.341681870957,0.0109626963075239,7,18,0.4,0.000322997416020672,1,8.17307574800279e-17,8,8,10,10,0.249651071474031,1,"HNB"
"entry9","26","ec:5.4.2.10","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.4.2.10","rn:R02060",508,369,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00520",0,4659,6029,77.2764969314978,0,0,12,0.571428571428571,7.24322758221063e-05,1,0.250611583949668,8,8,10,7,0.662326658195023,1.74204283007434e-17,"NHNB"
"entry10","28","ec:2.3.1.157","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.157","rn:R05332",578,321,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00520",0,4370,6029,72.4829988389451,0.000757862826828344,1,3,0.5,7.30513551026372e-05,1,4.36830823717936e-16,8,8,10,4,0.126575119613806,0.150804512115459,"NHNB"
"entry11","30","ec:2.6.1.16","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.16","rn:R00768",462,450,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00520",0,5684,6029,94.2776579863991,0.0039296591020729,5,13,0.464285714285714,0.000137080191912269,1,0.147438022982986,9,8,10,9,0.464738401542826,0.575465085704487,"HNB"
"entry12","35","ec:2.3.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.3","rn:R01204",316,321,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00520",0,0,6029,0,0.00431560776388363,6,12,0.428571428571429,0.00040048057669203,1,0,8,8,10,8,0.12543898646919,0.75714046346496,"NHNB"
"entry13","37","ec:3.5.1.33","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.33","rn:R01200",270,302,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00520",0,0,6029,0,0.00431560776388363,6,12,0.428571428571429,0.00040048057669203,1,0,8,8,10,8,0.12543898646919,0.75714046346496,"NHNB"
