"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry","70","ec:2.6.1.21","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.21","rn:R02851",555,346,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00310",0,0,0,0,1357,5365,25.2935694315005,0.000186011904761905,5,10,0.666666666666667,0.000393081761006289,1,0,6,1,13,6,0.0355368120430542,0.322398811731864,"NHNB"
"entry3","73","ec:1.4.1.12","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.4.1.12","rn:R04687 rn:R04688",547,667,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00310",0,0,0,0,403,5365,7.5116495806151,0,1,0,0,0.000389559797428905,1,0,7,1,13,1,4.15356016203754e-17,0.0201407020655719,"NHNB"
"entry4","74","ec:5.4.3.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.4.3.3","rn:R02852",367,667,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00310",1,5,1,0.333333333333333,124,5365,2.31127679403541,0.0629960317460317,3,7,0.333333333333333,0.000383729854182655,1,0,6,1,13,7,0.137828276288894,0.114351260382434,"NHB"
"entry5","75","ec:1.5.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.5.1.1","rn:R02201 rn:R02203",669,236,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00310",0,0,0,0,171,5365,3.18732525629077,0,2,0,0,0.000251952632905014,2,0,2,1,13,2,8.30712032407508e-17,8.14569842084071e-17,"NHNB"
"entry6","76","ec:1.5.1.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.5.1.8","rn:R00716",272,94,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00310",0,0,0,0,376,5365,7.00838769804287,0.0172867063492064,11,43,0.651515151515151,0.000385802469135802,3,0,6,1,13,12,0.118606490647825,1,"HNB"
"entry7","77","ec:1.5.1.10","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.5.1.10","rn:R02315",553,94,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00310",0,0,0,0,142,5365,2.64678471575023,0.0154803240740741,2,1,0.166666666666667,0.000382555470543229,4,0,7,1,13,4,0.137403718433197,0.055242100005239,"NHNB"
"entry9","79","ec:4.2.1.17","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.17","rn:R03026",958,401,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00310",0,0,0,0,2990,5365,55.7315936626281,0,3,1,0.333333333333333,0.000475285171102662,5,0,9,1,13,3,1.38127484934068e-16,1.00292731684142e-16,"NHNB"
"entry10","80","ec:1.1.1.35","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.35","rn:R01975",1070,401,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00310",0,0,0,0,2132,5365,39.7390493942218,0.000496031746031746,2,1,0.333333333333333,0.000248015873015873,5,0,9,1,13,3,1.11086124788184e-16,1.58673384026725e-16,"NHNB"
"entry11","81","ec:1.5.99.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.5.99.3","rn:R02205",753,206,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00310",0,0,0,0,0,5365,0,0.000248015873015873,1,0,0,0.000247954376394743,2,0,2,1,13,2,9.65918833136926e-17,6.68618211227612e-17,"NHNB"
"entry12","82","ec:1.5.1.21","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.5.1.21","rn:R02203",669,257,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00310",0,0,0,0,454,5365,8.46225535880708,0.000248015873015873,1,0,0,0.000244140625,2,0,2,1,13,2,6.9550523167809e-17,8.14569842084071e-17,"NHNB"
"entry13","83","ec:2.6.1.65","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.65","rn:R04029",397,247,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00310",0,0,0,0,0,5365,0,0,2,0,0,0.000390015600624025,6,0,7,1,13,2,8.30712032407508e-17,0.0817799651950958,"NHNB"
