"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry3","32","ec:1.8.2.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.8.2.1","rn:R00528",183,278,"rectangle",46,17,"#000000","#BFBFFF",5625,"irreversible","ec","00920",0,0,0,0,4,5592,0.0715307582260372,0.00502815581716809,6,96,0.627450980392157,0.000365898280278083,4,0.345240976077759,6,1,7,18,0.850175733214926,0.335861577179323,"HNB"
"entry4","33","ec:1.8.3.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.8.3.1","rn:R00533",183,297,"rectangle",46,17,"#000000","#BFBFFF",5626,"irreversible","ec","00920",0,0,0,0,471,5592,8.42274678111588,0.00502815581716809,6,96,0.627450980392157,0.000365898280278083,4,0.345240976077759,6,1,7,18,0.850175733214926,0.335861577179323,"HNB"
"entry5","35","ec:1.8.7.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.8.7.1","rn:R00859",493,308,"rectangle",46,17,"#000000","#BFBFFF",5627,"reversible","ec","00920",0,0,0,0,909,5592,16.255364806867,0.013463093825455,19,150,0.5,0.000786782061369001,13,0.104496643451663,5,1,7,26,0.467346737266153,0.970075635784868,"HNB"
"entry6","36","ec:1.8.99.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.8.99.5","rn:R00861",445,287,"rectangle",46,17,"#000000","#BFBFFF",5628,"reversible","ec","00920",0,0,0,0,134,5592,2.39628040057225,0.013463093825455,19,150,0.5,0.000786782061369001,13,0.104496643451663,5,1,7,26,0.467346737266153,0.970075635784868,"HNB"
"entry7","37","ec:1.8.1.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.8.1.2","rn:R00858",493,287,"rectangle",46,17,"#000000","#BFBFFF",5629,"reversible","ec","00920",0,0,0,0,2705,5592,48.3726752503577,0.013463093825455,19,150,0.5,0.000786782061369001,13,0.104496643451663,5,1,7,26,0.467346737266153,0.970075635784868,"HNB"
"entry9","44","ec:3.1.3.7","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.3.7","rn:R00508",156,464,"rectangle",46,17,"#000000","#BFBFFF",5630,"irreversible","ec","00920",0,0,0,0,4345,5592,77.7002861230329,0.000125240043416548,1,12,0.571428571428571,0.0003295978905735,6,0.301654124612146,7,1,7,7,0.149601332224363,0.0636679812025427,"NHNB"
"entry10","45","ec:2.7.1.25","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.25","rn:R00509",80,464,"rectangle",46,17,"#000000","#BFBFFF",5631,"irreversible","ec","00920",0,0,0,0,3053,5592,54.5958512160229,0.000125240043416548,1,12,0.571428571428571,0.0003295978905735,5,0.301654124612146,7,1,7,7,0.149601332224363,0.0636679812025427,"NHNB"
"entry11","46","ec:3.6.2.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.6.2.1","rn:R00531",156,353,"rectangle",46,17,"#000000","#BFBFFF",5632,"irreversible","ec","00920",0,0,0,0,119,5592,2.12804005722461,0.000150541062288578,7,15,0.535714285714286,0.0003813882532418,3,0.00727396625958605,7,1,7,8,0.0743045750064894,0.276329319545002,"NHNB"
"entry12","47","ec:2.7.7.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.7.5","rn:R00530",105,353,"rectangle",46,17,"#000000","#BFBFFF",5633,"reversible","ec","00920",0,0,0,0,391,5592,6.99213161659514,0.000150541062288578,7,15,0.535714285714286,0.0003813882532418,2,0.00727396625958606,7,1,7,8,0.0743045750064894,0.276329319545002,"NHNB"
"entry13","48","ec:2.7.7.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.7.4","rn:R00529",55,353,"rectangle",46,17,"#000000","#BFBFFF",5634,"reversible","ec","00920",0,0,0,0,4037,5592,72.192417739628,0.000150541062288578,7,15,0.535714285714286,0.0003813882532418,1,0.00727396625958605,7,1,7,8,0.0743045750064894,0.276329319545002,"NHNB"
"entry17","52","ec:3.6.2.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.6.2.2","rn:R00507",80,545,"rectangle",46,17,"#000000","#BFBFFF",5635,"irreversible","ec","00920",0,0,0,0,0,5592,0,0.000612284656703125,3,20,0.555555555555556,0.000342935528120713,4,0.180223948100268,7,1,7,9,0.243024738911197,0.0831557671013267,"NHNB"
