"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry","44","ec:1.14.19.20","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.19.20","rn:R07486",835,975,"rectangle",46,17,"#000000","#BFBFFF",736,"irreversible","ec","00100",1,4,1,0.333333333333333,415,1083,38.3194829178209,0.00139762403913347,1,0,0,0.000342935528120713,3,0,27,1,14,2,1.42014139479934e-16,0,"NHB"
"entry1","45","ec:5.3.3.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.3.3.5","rn:R04804",373,825,"rectangle",46,17,"#000000","#BFBFFF",737,"irreversible","ec","00100",0,0,0,0,295,1083,27.2391505078486,0.00174703004891684,3,3,0.5,0.000356125356125356,5,0,24,1,14,4,0.180529690508021,0.429883163656264,"HNB"
"entry2","46","ec:1.3.1.21","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.21","rn:R01451 rn:R01456",238,924,"rectangle",46,17,"#000000","#BFBFFF",738,"irreversible","ec","00100",1,4,3,1,323,1083,29.8245614035088,0,6,4,0.266666666666667,0.000410340582683627,5,0,27,1,14,6,3.40833934751841e-16,1,"HB"
"entry3","47","ec:1.14.19.20","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.19.20","rn:R07215",238,875,"rectangle",46,17,"#000000","#BFBFFF",739,"irreversible","ec","00100",1,4,3,1,415,1083,38.3194829178209,0.00139762403913347,3,2,0.333333333333333,0.000369959304476508,5,0,26,1,14,4,0.580049404650857,0.419706376125429,"HB"
"entry4","48","ec:5.3.3.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.3.3.5","rn:R03353",238,825,"rectangle",46,17,"#000000","#BFBFFF",740,"irreversible","ec","00100",0,0,0,0,295,1083,27.2391505078486,0.00139762403913347,2,1,0.333333333333333,0.000355998576005696,5,0,25,1,14,3,0.243450433599724,0.309253079720086,"HNB"
"entry5","49","ec:1.3.1.71","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.71","rn:R05641",527,975,"rectangle",46,17,"#000000","#BFBFFF",741,"irreversible","ec","00100",0,0,0,0,137,1083,12.6500461680517,0,1,0,0,0.000349283967865875,6,0,2,1,14,1,7.10070697399669e-17,0,"NHNB"
"entry6","50","ec:1.14.19.41","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.19.41","rn:R07506",527,926,"rectangle",46,17,"#000000","#BFBFFF",742,"irreversible","ec","00100",1,4,1,0.333333333333333,120,1083,11.0803324099723,0.000349406009783368,1,0,0,0.000342935528120713,6,0,1,1,14,2,1.42014139479934e-16,0,"NHB"
"entry7","51","ec:1.14.19.20","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.19.20","rn:R07505",528,875,"rectangle",46,17,"#000000","#BFBFFF",743,"irreversible","ec","00100",0,0,0,0,415,1083,38.3194829178209,0,0,0,0,0.000336700336700337,6,0,2,1,14,1,7.10070697399669e-17,0,"NHNB"
"entry11","57","ec:1.3.1.21","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.21","rn:R07492",668,1026,"rectangle",46,17,"#000000","#BFBFFF",744,"irreversible","ec","00100",0,0,0,0,323,1083,29.8245614035088,0,1,0,0,0.000342935528120713,4,0,27,1,14,1,7.10070697399669e-17,0,"NHNB"
"entry12","58","ec:1.14.19.20","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.19.20","rn:R07491",668,975,"rectangle",46,17,"#000000","#BFBFFF",745,"irreversible","ec","00100",1,4,1,0.333333333333333,415,1083,38.3194829178209,0,0,0,0,0.000336700336700337,4,0,26,1,14,2,0,0,"NHB"
