"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry36","68","ec:5.4.2.9","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.4.2.9","rn:R00661",293,165,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00440",0,355,3797,9.34948643666052,0,2,3,1,0.00316455696202532,1,1.81285908781028e-16,7,1,7,3,1.76069856472785e-16,2.24319763376676e-16,"NHNB"
"entry37","69","ec:4.1.1.82","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.82","rn:R04053",293,240,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00440",1,297,3797,7.82196470898077,0.0683760683760684,3,6,0.4,0.00282485875706215,1,1.0445168753962e-15,6,1,7,6,3.52139712945571e-16,0.86975532680394,"HB"
"entry38","70","ec:3.11.1.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.11.1.2","rn:R00318",166,323,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00440",0,213,3797,5.60969186199631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry39","71","ec:3.11.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.11.1.1","rn:R00747",166,263,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00440",0,638,3797,16.8027390044772,0,2,3,1,0.0026246719160105,1,7.51030323404471e-16,6,1,7,3,0.332537004620222,0.745759081276013,"NHNB"
"entry41","73","ec:2.1.1.308","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.308","rn:R08862",198,389,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00440",1,0,3797,0,0.0156695156695157,2,3,0.5,0.00178571428571429,2,1,5,1,7,4,1.59493972208108e-16,1.16038533042587e-16,"HB"
"entry42","74","ec:1.11.1.23","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.11.1.23","rn:R08863",111,389,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00440",0,0,3797,0,0,0,0,0,0.00132275132275132,2,0.999999999999994,6,1,7,1,1.30918030745395e-17,0,"NHNB"
"entry43","75","ec:2.1.1.326","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.326","rn:R08873",795,759,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00440",0,0,3797,0,0,0,0,0,0.00132275132275132,5,1.24900090270329e-16,1,1,7,1,1.30918030745395e-17,0,"NHNB"
"entry44","79","ec:2.7.7.93","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.7.93","rn:R08867",294,609,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00440",0,0,3797,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry45","82","ec:2.7.7.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.7.15","rn:R02590",475,564,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00440",0,527,3797,13.8793784566763,0,1,0,0,0.00137174211248285,3,8.69634441306611e-16,1,1,7,1,3.98734930520271e-17,0,"NHNB"
"entry46","83","ec:2.7.8.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.8.1","rn:R04920",578,451,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00440",0,498,3797,13.1156175928365,0,0,0,0,0.00132275132275132,6,7.03603841856186e-15,8,1,7,1,1.30918030745395e-17,0,"NHNB"
"entry47","85","ec:2.7.8.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.8.2","rn:R04922",578,564,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00440",0,191,3797,5.03028706873848,0,1,0,0,0.00142247510668563,4,8.69634441306611e-16,2,1,7,1,3.98734930520271e-17,0,"NHNB"
"entry48","89","ec:2.7.8.23","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.8.23","rn:R05165",331,712,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00440",0,0,3797,0,0,1,0,0,0.00142247510668563,4,8.69634441306611e-16,2,1,7,1,3.98734930520271e-17,0,"NHNB"
