"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry","41","ec:2.7.4.23","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.4.23","rn:R06836",628,605,"rectangle",46,17,"#000000","#BFBFFF",91,"irreversible","ec","00030",0,0,0,0,811,6055,13.3938893476466,0,1,0,0,0.00148809523809524,4,4.69090662270686e-17,8,5,13,1,2.12933214679028e-18,2.96435664077223e-17,"NHNB"
"entry1","42","ec:5.3.1.9","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.3.1.9","rn:R02739",202,351,"rectangle",46,17,"#000000","#BFBFFF",92,"reversible","ec","00030",0,0,0,0,5842,6055,96.4822460776218,0.000438340151957919,2,0,0,0.00118203309692671,2,3.03370352872765e-17,7,5,13,3,0.000542421402590696,0.00169193201597629,"NHNB"
"entry2","43","ec:4.1.2.14","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.2.14","rn:R05605",740,310,"rectangle",46,17,"#000000","#BFBFFF",93,"reversible","ec","00030",0,0,0,0,3146,6055,51.9570602807597,0.00564794644280325,6,9,0.321428571428571,0.000503524672708963,1,0.0724253075063683,6,5,13,8,0.00322692661951718,0.0135513817077018,"NHNB"
"entry4","45","ec:2.7.1.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.15","rn:R02750",401,663,"rectangle",46,17,"#000000","#BFBFFF",94,"reversible","ec","00030",0,0,0,0,3691,6055,60.9578860445912,0,2,1,1,0.00125,5,4.69090662270686e-17,9,5,13,2,4.25866429358057e-18,0.024167682178981,"NHNB"
"entry5","46","ec:5.4.2.7","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.4.2.7","rn:R02749",402,695,"rectangle",46,17,"#000000","#BFBFFF",95,"reversible","ec","00030",0,0,0,0,2331,6055,38.4971098265896,0,1,1,1,0.00116414435389988,5,3.99429939511144e-17,9,5,13,2,0.00405422597274856,0.0230922028301589,"NHNB"
"entry6","47","ec:4.1.2.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.2.4","rn:R01066",262,695,"rectangle",46,17,"#000000","#BFBFFF",96,"reversible","ec","00030",1,2,2,0.5,3816,6055,63.0222956234517,0.0281998831092928,4,10,0.476190476190476,0.00114942528735632,3,0.0419468181742488,8,5,13,7,0.0870504938886502,0.528238659648457,"NHB"
"entry7","48","ec:2.7.6.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.6.1","rn:R01049",530,567,"rectangle",46,17,"#000000","#BFBFFF",97,"reversible","ec","00030",1,2,1,0.25,5889,6055,97.2584640792733,0.0149035651665693,5,9,0.6,0.00147058823529412,3,4.15705992267476e-17,7,5,13,6,1.38108144500603e-17,0.262400230981786,"NHB"
"entry8","49","ec:5.4.2.7","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.4.2.7","rn:R01057",628,541,"rectangle",46,17,"#000000","#BFBFFF",98,"reversible","ec","00030",0,0,0,0,2331,6055,38.4971098265896,0,3,6,1,0.00135135135135135,3,5.59515218011576e-17,7,5,13,4,0.0440186950417118,0.192956575972959,"NHNB"
"entry9","50","ec:2.7.1.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.15","rn:R01051",628,520,"rectangle",46,17,"#000000","#BFBFFF",99,"reversible","ec","00030",0,0,0,0,3691,6055,60.9578860445912,9.74089226573154e-05,3,9,0.9,0.0012531328320802,3,1.01798794095276e-16,7,5,13,5,0.0763879374096278,0.23045952330218,"NHNB"
"entry10","51","ec:2.2.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.2.1.1","rn:R01641",420,560,"rectangle",46,17,"#000000","#BFBFFF",100,"reversible","ec","00030",0,0,0,0,5655,6055,93.3938893476466,0.0906431772007459,4,16,0.355555555555556,0.00118203309692671,3,0.261530552870627,7,5,13,11,0.401889812235737,0.654396056597453,"HNB"
"entry11","52","ec:5.3.1.6","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.3.1.6","rn:R01056",530,485,"rectangle",46,17,"#000000","#BFBFFF",101,"reversible","ec","00030",0,0,0,0,5951,6055,98.2824112303881,0.0939954356961955,4,15,0.416666666666667,0.00119904076738609,3,0.107145728987118,6,5,13,9,0.249109124662346,0.150850150504191,"HNB"
"entry12","53","ec:5.1.3.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.1.3.1","rn:R01529",476,446,"rectangle",46,17,"#000000","#BFBFFF",102,"reversible","ec","00030",0,0,0,0,5650,6055,93.3113129644922,0.0927193788093846,3,6,0.4,0.00121359223300971,3,0.220853211307277,6,5,13,6,0.217342847235197,0.142038943927606,"NHNB"
"entry13","54","ec:2.2.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.2.1.1","rn:R01830",305,446,"rectangle",46,17,"#000000","#BFBFFF",103,"reversible","ec","00030",0,0,0,0,5655,6055,93.3938893476466,0.0788866160140269,8,24,0.436363636363636,0.00119760479041916,3,0.539027943602596,7,5,13,13,0.289063538064133,1,"HNB"
"entry14","55","ec:4.1.2.13","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.2.13","rn:R01070",200,562,"rectangle",46,17,"#000000","#BFBFFF",104,"reversible","ec","00030",0,0,0,0,5900,6055,97.4401321222131,0.0319584759678272,5,17,0.472222222222222,0.00114942528735632,3,0.479995176513544,8,5,13,9,0.300343736066506,0.56795738668189,"HNB"
"entry15","56","ec:2.7.1.11","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.11","rn:R04779",176,493,"rectangle",46,17,"#000000","#BFBFFF",105,"irreversible","ec","00030",0,0,0,0,4393,6055,72.5516102394715,0.000887116974200551,2,7,0.7,0.00108932461873638,3,0.369878150206125,8,5,13,5,0.321928753263609,0.340038279556452,"NHNB"
"entry16","57","ec:3.1.3.11","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.3.11","rn:R04780",140,469,"rectangle",46,17,"#000000","#BFBFFF",106,"irreversible","ec","00030",0,0,0,0,4900,6055,80.9248554913295,0.000887116974200551,2,7,0.7,0.00108932461873638,3,0.369878150206125,8,5,13,5,0.321928753263609,0.340038279556452,"NHNB"
"entry17","58","ec:5.3.1.9","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.3.1.9","rn:R02740",202,416,"rectangle",46,17,"#000000","#BFBFFF",107,"reversible","ec","00030",0,0,0,0,5842,6055,96.4822460776218,0.0121329770949876,4,14,0.666666666666667,0.00113895216400911,3,0.378031815371636,8,5,13,7,0.281839605954664,0.404386513736515,"NHNB"
"entry18","59","ec:1.1.1.43","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.43","rn:R02032 rn:R02034",493,277,"rectangle",46,17,"#000000","#BFBFFF",108,"irreversible","ec","00030",0,0,0,0,98,6055,1.61849710982659,0.0328755113968439,5,9,0.6,0.00119904076738609,1,0.0413726232799914,5,5,13,6,0.00210733459132112,0.0309567025371075,"NHNB"
"entry19","60","ec:2.7.1.13","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.13","rn:R02658",450,241,"rectangle",46,17,"#000000","#BFBFFF",109,"irreversible","ec","00030",0,0,0,0,88,6055,1.45334434351775,0.000438340151957919,1,0,0,0.000491400491400491,1,0.0415322386772366,6,5,13,3,0.00547644591771012,0.000365829249005928,"NHNB"
"entry20","61","ec:1.1.1.44","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.44","rn:R01528",504,363,"rectangle",46,17,"#000000","#BFBFFF",110,"irreversible","ec","00030",0,0,0,0,4025,6055,66.4739884393064,0.109877264757452,4,9,0.428571428571429,0.00121654501216545,1,0.109192933349173,5,5,13,7,0.0543264360857357,0.0321471225919851,"NHNB"
"entry21","62","ec:3.1.1.31","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.1.31","rn:R02035",451,320,"rectangle",46,17,"#000000","#BFBFFF",111,"irreversible","ec","00030",1,2,4,1,4165,6055,68.7861271676301,0.0492402104032729,4,9,0.321428571428571,0.00115074798619102,1,0.0445099092918628,5,5,13,8,0.0116466253506048,0.0346364617654148,"NHB"
"entry22","63","ec:1.1.1.49","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.49","rn:R02736",280,310,"rectangle",46,17,"#000000","#BFBFFF",112,"irreversible","ec","00030",0,0,0,0,4296,6055,70.9496284062758,0,0,0,0,0.000282485875706215,2,0.0131579364465759,6,5,13,2,0.00609423429710799,5.50512411446865e-17,"NHNB"
