"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry7","55","ec:3.1.7.6","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.7.6","rn:R08697",111,441,"rectangle",46,17,"#000000","#BFBFFF",5487,"irreversible","ec","00909",1,3,2,0.4,4,987,0.405268490374873,0.0173110568665547,34,821,0.909191583610188,0.000426985482493595,1,0.227058795296887,4,2,6,43,0.22709480728125,0.861437629899986,"HB"
"entry8","56","ec:4.2.3.47","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.3.47","rn:R08695",111,549,"rectangle",46,17,"#000000","#BFBFFF",5488,"irreversible","ec","00909",0,0,0,0,28,987,2.83687943262411,0.00433637332225087,31,820,1,0.000425531914893617,1,0.240553273573534,4,2,6,41,0.264272622682441,0.847539746984944,"HNB"
"entry9","57","ec:4.2.3.46","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.3.46","rn:R08696",111,509,"rectangle",46,17,"#000000","#BFBFFF",5489,"irreversible","ec","00909",0,0,0,0,48,987,4.86322188449848,0.00433637332225087,30,820,1,0.000425170068027211,1,0.254849750925886,4,2,6,41,0.300850635024711,0.83519472666002,"HNB"
"entry10","58","ec:4.2.3.48","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.3.48","rn:R08374",111,589,"rectangle",45,19,"#000000","#BFBFFF",5490,"irreversible","ec","00909",0,0,0,0,63,987,6.38297872340426,0.00433637332225087,29,820,1,0.000424808836023789,1,0.269995891480282,4,2,6,41,0.336895862553742,0.821370636608598,"HNB"
"entry11","59","ec:5.2.1.9","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.2.1.9","rn:R03265",206,469,"rectangle",46,17,"#000000","#BFBFFF",5491,"irreversible","ec","00909",0,0,0,0,0,987,0,0,0,1,1,0.000154320987654321,2,0.0142964773523524,5,2,6,2,0.0372437714388393,0,"NHNB"
"entry14","62","ec:1.1.1.354","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.354","rn:R10412",206,443,"rectangle",46,17,"#000000","#BFBFFF",5492,"irreversible","ec","00909",0,0,0,0,92,987,9.32117527862209,0,1,1,1,0.00015625,2,0.013494478276647,5,2,6,2,0.0371778154011904,0.00152825044012805,"NHNB"
"entry19","67","ec:4.2.3.38","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.3.38","rn:R08370",111,794,"rectangle",46,17,"#000000","#BFBFFF",5493,"irreversible","ec","00909",0,0,0,0,0,987,0,0.00558200259532351,24,820,1,0.000422832980972516,1,0.367299604814753,4,2,6,41,0.501785067519049,0.725022459512396,"HNB"
"entry20","68","ec:4.2.3.6","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.3.6","rn:R02306",111,950,"rectangle",46,17,"#000000","#BFBFFF",5494,"irreversible","ec","00909",0,0,0,0,7,987,0.709219858156028,0.00454162171011808,22,820,1,0.000422119037568594,1,0.407743601537645,4,2,6,41,0.566824715585442,0.68341840956022,"HNB"
"entry21","69","ec:4.2.3.24","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.3.24","rn:R07630",111,990,"rectangle",46,17,"#000000","#BFBFFF",5495,"irreversible","ec","00909",0,0,0,0,0,987,0,0.00454162171011808,23,820,1,0.00042247570764681,1,0.384870135333455,4,2,6,41,0.536326025239247,0.706677335485363,"HNB"
"entry22","70","ec:4.2.3.37","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.3.37","rn:R07830",111,714,"rectangle",46,17,"#000000","#BFBFFF",5496,"irreversible","ec","00909",1,3,1,0.2,23,987,2.33029381965552,0.0107841581323775,28,820,0.952380952380952,0.000424088210347752,1,0.302231168373841,4,2,6,42,0.407598286249361,0.792282018395311,"HB"
"entry24","72","ec:4.2.3.22","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.3.22","rn:R07647",528,619,"rectangle",46,17,"#000000","#BFBFFF",5497,"irreversible","ec","00909",1,3,1,0.2,124,987,12.5633232016211,0.0101789629015608,25,820,0.952380952380952,0.000424808836023789,1,0.315958244469947,4,2,6,42,0.56280672993437,0.687134789119589,"HB"
