"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry","29","ec:1.1.1.365","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.365","rn:R07676",430,619,"rectangle",46,17,"#000000","#BFBFFF",360,"reversible","ec","00053",1,3,1,0.2,38,4283,0.887228578099463,0.000392156862745098,1,0,0,0.000384467512495194,7,0,13,2,6,2,0,2.27732924399159e-17,"NHB"
"entry1","30","ec:1.1.1.122","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.122","rn:R07675",435,432,"rectangle",46,17,"#000000","#BFBFFF",361,"irreversible","ec","00053",0,0,0,0,690,4283,16.1102031286481,0,3,0,0,0.000536768652710682,2,0,10,2,6,3,0,0.348637110880352,"NHNB"
"entry2","31","ec:3.1.3.93","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.3.93","rn:R07674",300,443,"rectangle",46,17,"#000000","#BFBFFF",362,"irreversible","ec","00053",1,3,4,0.8,120,4283,2.8017744571562,0.00196078431372549,2,0,0,0.000521104742053153,2,1.38137372550163e-17,11,2,6,3,0.0589594944325872,0,"NHB"
"entry3","32","ec:2.7.7.69","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.7.69","rn:R07678",262,406,"rectangle",46,17,"#000000","#BFBFFF",363,"irreversible","ec","00053",1,4,1,0.2,104,4283,2.42820452953537,0.00235294117647059,2,0,0,4e-04,1,0,12,2,6,3,0,0,"NHB"
"entry4","33","ec:5.1.3.18","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.1.3.18","rn:R07673",263,339,"rectangle",46,17,"#000000","#BFBFFF",364,"reversible","ec","00053",0,0,0,0,110,4283,2.56829325239318,0,0,0,0,0.000377073906485671,1,0,13,2,6,1,0,0,"NHNB"
"entry5","34","ec:5.1.3.18","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.1.3.18","rn:R00889",213,376,"rectangle",46,17,"#000000","#BFBFFF",365,"reversible","ec","00053",1,3,1,0.2,110,4283,2.56829325239318,0.00117647058823529,1,0,0,0.000384467512495194,1,0,13,2,6,2,0,2.27732924399159e-17,"NHB"
"entry6","35","ec:5.1.3.18","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.1.3.18","rn:R07672",213,298,"rectangle",46,17,"#000000","#BFBFFF",366,"reversible","ec","00053",0,0,0,0,110,4283,2.56829325239318,0,0,0,0,0.000377073906485671,1,0,14,2,6,1,0,0,"NHNB"
"entry7","36","ec:1.13.99.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.13.99.1","rn:R01184",430,115,"rectangle",46,17,"#000000","#BFBFFF",367,"irreversible","ec","00053",0,0,0,0,516,4283,12.0476301657717,0,4,6,1,0.000454338936846888,4,0,9,2,6,4,0,1.97684880810703e-16,"NHNB"
"entry8","37","ec:2.7.1.43","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.43","rn:R01476",369,164,"rectangle",46,17,"#000000","#BFBFFF",368,"reversible","ec","00053",0,0,0,0,174,4283,4.06257296287649,0.00705882352941176,4,8,0.533333333333333,0.000444642063139173,4,0,9,2,6,6,0,1.28748873993975e-16,"NHNB"
"entry9","38","ec:2.7.7.44","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.7.44","rn:R01381",242,153,"rectangle",46,17,"#000000","#BFBFFF",369,"irreversible","ec","00053",0,0,0,0,0,4283,0,0.00196078431372549,2,2,0.666666666666667,0.000442282176028306,4,0,10,2,6,3,0,3.90180543418422e-17,"NHNB"
