"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry1","10","dr:D00343 / cpd:C07047","compound","http://www.kegg.jp/dbget-bin/www_bget?D00343+C07047",NA,558,317,"circle",8,8,"#000000","#FFFFFF",6264,NA,"ec","00982",0,0,0,0,0,248,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry6","23","dr:D00533 / cpd:C07492","compound","http://www.kegg.jp/dbget-bin/www_bget?D00533+C07492",NA,596,1008,"circle",8,8,"#000000","#FFFFFF",6265,NA,"ec","00982",0,0,0,0,0,248,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry7","27","dr:D00536 / cpd:C07501","compound","http://www.kegg.jp/dbget-bin/www_bget?D00536+C07501",NA,99,869,"circle",8,8,"#000000","#FFFFFF",6266,NA,"ec","00982",0,0,0,0,0,248,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry14","56","ec:1.2.1.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.5","rn:R08282 rn:R08283",817,225,"rectangle",46,17,"#000000","#BFBFFF",6267,"irreversible","ec","00982",0,0,0,0,152,248,61.2903225806452,0,0,1,1,0.00326797385620915,4,0,1,1,5,2,0,0,"NHNB"
"entry25","81","dr:D08559 / cpd:C07108","compound","http://www.kegg.jp/dbget-bin/www_bget?D08559+C07108",NA,100,307,"circle",8,8,"#000000","#FFFFFF",6268,NA,"ec","00982",0,0,0,0,0,248,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry27","84","ec:1.14.13.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.13.8","rn:R08266",140,248,"rectangle",46,17,"#000000","#BFBFFF",6269,"irreversible","ec","00982",0,0,0,0,179,248,72.1774193548387,0,1,0,0,0.00346020761245675,1,0,1,1,5,1,3.12536802163503e-17,0,"NHNB"
"entry28","91","ec:1.14.14.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.1","rn:R08267",75,358,"rectangle",46,17,"#000000","#BFBFFF",6270,"irreversible","ec","00982",0,0,0,0,14,248,5.64516129032258,0,0,0,0,0.00326797385620915,1,0,1,1,5,1,0,0,"NHNB"
"entry30","93","ec:1.14.14.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.1","rn:R08270",219,357,"rectangle",46,17,"#000000","#BFBFFF",6271,"irreversible","ec","00982",0,0,0,0,14,248,5.64516129032258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry31","99","ec:1.14.14.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.1","rn:R08294",924,582,"rectangle",46,17,"#000000","#BFBFFF",6272,"irreversible","ec","00982",0,0,0,0,59,248,23.7903225806452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry32","100","ec:1.14.14.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.1","rn:R08293",1000,538,"rectangle",46,17,"#000000","#BFBFFF",6273,"irreversible","ec","00982",0,0,0,0,59,248,23.7903225806452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
