"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry3","65","ec:1.14.17.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.17.4","rn:R07214",696,1063,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00270",0,0,0,0,89,6075,1.46502057613169,0,0,1,1,0.000154320987654321,1,0.00101655350622876,8,5,13,2,0.000654419053754123,0,"NHNB"
"entry4","66","ec:4.4.1.14","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.4.1.14","rn:R00179",696,991,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00270",1,2,2,1,106,6075,1.74485596707819,0.0325158227848101,3,29,0.439393939393939,0.000693000693000693,1,0.00537349786407955,7,5,13,12,0.0223092384724255,0.00416179278856383,"NHB"
"entry14","77","ec:2.6.1.57","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.57","rn:R07396",542,1074,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00270",0,0,0,0,1596,6075,26.2716049382716,0.0113924050632911,2,38,0.690909090909091,0.000717875089734386,1,0.0103177394820735,6,5,13,11,0.57802835042041,0.0779593955091434,"NHNB"
"entry15","78","ec:2.6.1.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.5","rn:R07396",492,1074,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00270",0,0,0,0,472,6075,7.76954732510288,0.0113924050632911,2,38,0.690909090909091,0.000717875089734386,1,0.0103177394820735,6,5,13,11,0.57802835042041,0.0779593955091434,"NHNB"
"entry16","79","ec:3.1.3.87","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.3.87","rn:R07394",715,1190,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00270",0,0,0,0,290,6075,4.77366255144033,0,0,1,1,0.000154320987654321,23,0.00131734463082925,8,5,13,2,1.68714344532071e-07,0,"NHNB"
"entry17","80","ec:1.13.11.54","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.13.11.54","rn:R07364",605,1190,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00270",0,0,0,0,1418,6075,23.3415637860082,0.0270569620253165,3,2,0.133333333333333,0.00016025641025641,2,0.00585570210251903,7,5,13,6,0.0218704257043303,9.07339714631312e-07,"NHNB"
"entry18","81","ec:1.13.11.53","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.13.11.53","rn:R07363",649,1149,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00270",0,0,0,0,1418,6075,23.3415637860082,0,2,2,0.666666666666667,0.000158227848101266,3,0.00110777647154914,8,5,13,3,8.48471852308059e-08,8.96859502850322e-07,"NHNB"
"entry19","82","ec:5.3.2.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.3.2.5","rn:R07393",830,1190,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00270",0,0,0,0,261,6075,4.2962962962963,0,1,0,0,0.000162232316677482,4,0,10,5,13,1,0,0,"NHNB"
"entry20","83","ec:4.2.1.109","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.109","rn:R07392",939,1190,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00270",1,2,1,0.5,1304,6075,21.4650205761317,0.000474683544303797,2,0,0,0.000160230732254446,5,0,9,5,13,3,0,7.40385292783114e-05,"NHB"
"entry21","84","ec:5.3.1.23","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.3.1.23","rn:R04420",993,1158,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00270",0,0,0,0,2328,6075,38.320987654321,0.000316455696202532,1,3,0.5,0.00015625,1,0.000161853965200438,8,5,13,4,0.000592319421154695,0.00262995506931262,"NHNB"
