"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry","63","ec:1.1.1.361","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.361","rn:R10519",183,209,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00998",0,0,0,0,58,664,8.73493975903614,0,1,0,0,0.000710732054015636,1,0,2,1,7,1,3.07580745504708e-17,4.98072331317718e-17,"NHNB"
"entry1","64","ec:2.6.1.104","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.104","rn:R10698",308,209,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00998",1,12,1,0.5,56,664,8.43373493975904,0.000711237553342817,1,0,0,0.000692520775623269,1,0,1,1,7,2,1.72459023390037e-17,9.96144662635436e-17,"HB"
"entry2","65","ec:3.1.3.92","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.3.92","rn:R10547",438,209,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00998",0,0,0,0,87,664,13.1024096385542,0,0,0,0,0.000674763832658569,1,0,2,1,7,1,8.62295116950186e-18,4.98072331317718e-17,"NHNB"
"entry3","69","ec:3.5.3.25","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.3.25","rn:R10466",278,490,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00998",0,0,0,0,0,664,0,0,1,0,0,0.000729394602479942,2,0,3,1,7,1,3.07580745504708e-17,1.60482850036616e-16,"NHNB"
"entry4","70","ec:2.3.1.30","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.30","rn:R00586",313,429,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00998",0,0,0,0,0,664,0,0,1,0,0,0.000729394602479942,2,0,3,1,7,1,3.07580745504708e-17,1.60482850036616e-16,"NHNB"
"entry5","71","ec:2.6.99.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.99.3","rn:R10461",418,490,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00998",1,13,1,0.5,0,664,0,0.00284495021337127,1,0,0,0.000710732054015636,2,0,2,1,7,3,2.53040892683408e-16,1.3310738137956e-16,"HB"
"entry6","72","ec:5.1.1.19","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.1.1.19","rn:R10488",533,490,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00998",1,12,1,0.5,0,664,0,0.00213371266002845,1,0,0,0.000692520775623269,2,0,2,1,7,2,1.72459023390037e-17,9.96144662635436e-17,"HB"
"entry7","73","ec:6.3.3.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.3.3.5","rn:R10470",653,489,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00998",0,0,0,0,0,664,0,0,0,0,0,0.000674763832658569,2,0,3,1,7,1,8.62295116950186e-18,4.98072331317718e-17,"NHNB"
"entry8","75","ec:4.1.1.100","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.100","rn:R10934",163,649,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00998",0,0,0,0,76,664,11.4457831325301,0,1,0,0,0.000692520775623269,3,0,1,1,7,1,3.07580745504708e-17,4.98072331317718e-17,"NHNB"
"entry9","76","ec:5.3.3.19","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.3.3.19","rn:R11065",258,650,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00998",0,0,0,0,63,664,9.48795180722892,0,0,0,0,0.000674763832658569,3,0,1,1,7,1,8.62295116950186e-18,4.98072331317718e-17,"NHNB"
