"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry","15","ec:1.1.1.62","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.62","rn:R02352 rn:R02353",899,1122,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00140",0,0,0,0,145,145,100,0.00210084033613445,7,24,0.857142857142857,0.00862068965517241,1,0.0399628191255127,3,2,5,9,0.0768008819710124,0.21450864822121,"NHNB"
"entry73","188","ec:3.1.6.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.6.2","rn:R08941",273,132,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00140",0,0,0,0,137,145,94.4827586206897,0.013171268507403,8,41,0.745454545454545,0.00952380952380952,2,0.322034605554365,3,2,5,13,0.336686258255944,0.595089490561913,"NHNB"
"entry74","189","ec:2.8.2.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.8.2.2","rn:R08977",273,153,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00140",0,0,0,0,143,145,98.6206896551724,0.013171268507403,9,41,0.745454545454545,0.00961538461538462,3,0.287296334818346,3,2,5,13,0.279008637088878,0.633125921003958,"NHNB"
"entry75","190","ec:1.14.15.6","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.15.6","rn:R02723",298,200,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00140",0,0,0,0,142,145,97.9310344827586,0.00174332891051157,5,26,0.928571428571429,0.00854700854700855,4,0.428595028722844,3,2,5,12,0.456165497805974,0.441734744833085,"NHNB"
"entry76","191","ec:1.14.15.6","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.15.6","rn:R04855",298,266,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00140",0,0,0,0,142,145,97.9310344827586,0.00174332891051157,5,26,0.928571428571429,0.00854700854700855,4,0.428595028722844,3,2,5,12,0.456165497805974,0.441734744833085,"NHNB"
"entry77","192","ec:1.14.15.6","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.15.6","rn:R01454",154,202,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00140",0,0,0,0,142,145,97.9310344827586,0.00174332891051157,5,26,0.928571428571429,0.00854700854700855,4,0.428595028722844,3,2,5,12,0.456165497805974,0.441734744833085,"NHNB"
"entry78","193","ec:1.14.15.6","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.15.6","rn:R04854",153,266,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00140",0,0,0,0,142,145,97.9310344827586,0.00174332891051157,5,26,0.928571428571429,0.00854700854700855,4,0.428595028722844,3,2,5,12,0.456165497805974,0.441734744833085,"NHNB"
"entry79","194","ec:1.14.15.6","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.15.6","rn:R04676",153,590,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00140",0,0,0,0,142,145,97.9310344827586,0.00174332891051157,5,26,0.928571428571429,0.00854700854700855,4,0.428595028722844,3,2,5,12,0.456165497805974,0.441734744833085,"NHNB"
"entry80","195","ec:1.14.15.6","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.15.6","rn:R03933",224,352,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00140",0,0,0,0,142,145,97.9310344827586,0.00174332891051157,5,26,0.928571428571429,0.00854700854700855,4,0.428595028722844,3,2,5,12,0.456165497805974,0.441734744833085,"NHNB"
"entry81","197","ec:1.14.14.19","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.19","rn:R04853",111,390,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00140",0,0,0,0,128,145,88.2758620689655,0.0181519873315539,10,62,0.681318681318681,0.00952380952380952,5,0.559253333204572,3,2,5,20,0.599114773031751,0.716431374035704,"NHNB"
"entry82","198","ec:1.14.14.16","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.16","rn:R03784",321,390,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00140",0,0,0,0,132,145,91.0344827586207,0.0573688444829533,15,69,0.575,0.0105263157894737,6,0.46385977516751,3,2,5,22,0.422722893026963,0.873055107788217,"NHNB"
"entry83","199","ec:5.3.3.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.3.3.1","rn:R04163",370,364,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00140",0,0,0,0,143,145,98.6206896551724,0.149080783092282,15,99,0.428571428571429,0.0108695652173913,7,0.928041596063105,2,2,5,32,0.944128166006261,0.89375975078657,"HNB"
