"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry6","60","ec:1.11.1.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.11.1.8","rn:R03953",103,292,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,146,5316,2.7464258841234,0.000671675774134791,15,98,0.816666666666667,0.000758150113722517,1,0.00568023203930457,7,1,8,16,0.0681297196000678,0.956685617883402,"NHNB"
"entry7","61","ec:1.11.1.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.11.1.8","rn:R03973",188,267,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,146,5316,2.7464258841234,0.000671675774134791,15,98,0.816666666666667,0.000758150113722517,1,0.00568023203930457,7,1,8,16,0.0681297196000678,0.956685617883402,"NHNB"
"entry8","62","ec:1.11.1.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.11.1.8","rn:R03539",271,267,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,146,5316,2.7464258841234,0.000671675774134791,15,98,0.816666666666667,0.000758150113722517,1,0.00568023203930457,7,1,8,16,0.0681297196000678,0.956685617883402,"NHNB"
"entry9","63","ec:3.7.1.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.7.1.5","rn:R01085",604,718,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,428,5316,8.05116629044394,0.00135245901639344,3,4,0.666666666666667,0.000906618313689937,2,0,8,1,8,4,2.02558494376988e-07,0.000105536530057908,"NHNB"
"entry10","64","ec:5.2.1.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.2.1.4","rn:R03868",629,654,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,610,5316,11.4747930775019,0.0129644808743169,3,4,0.666666666666667,0.000892857142857143,3,0,7,1,8,4,8.09026889187685e-06,0.000204986200581514,"NHNB"
"entry11","65","ec:4.1.1.62","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.62","rn:R02489",564,608,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00350",0,0,0,0,0,5316,0,0,3,2,0.666666666666667,0.000877963125548727,4,0,6,1,8,3,1.96436982993893e-17,0.0118859904707903,"NHNB"
"entry12","66","ec:1.13.11.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.13.11.4","rn:R02656",629,596,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,547,5316,10.2896914973664,0.0244398907103825,3,3,0.3,0.000834028356964137,5,0,6,1,8,5,0.000926875768825246,0.0118877274433165,"NHNB"
"entry13","67","ec:1.2.1.29","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.29","rn:R02655",604,540,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,0,5316,0,0.0824986311700496,6,23,0.294871794871795,0.000745712155108128,6,0.0423885941479,5,1,8,15,0.107061747105775,0.191005426326013,"NHNB"
"entry14","69","ec:5.2.1.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.2.1.2","rn:R03181",500,636,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,948,5316,17.8329571106095,0.0113524590163934,1,0,0,0.00078125,7,0,7,1,8,2,2.02558494343247e-07,0,"NHNB"
"entry15","70","ec:1.13.11.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.13.11.5","rn:R02519",500,541,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,1879,5316,35.3461249059443,0.0225546448087432,2,1,0.333333333333333,0.000769822940723634,8,0,6,1,8,3,0,0.0181073108655818,"NHNB"
"entry16","71","ec:1.13.11.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.13.11.15","rn:R03303",174,543,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00350",1,3,2,1,487,5316,9.16102332580888,0.0139344262295082,3,1,0.166666666666667,0.00102564102564103,9,0,5,1,8,4,4.9785935460937e-17,0,"NHB"
"entry17","72","ec:1.14.14.9","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.9","rn:R02698",218,502,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",1,3,2,1,972,5316,18.2844243792325,0.023224043715847,6,8,0.380952380952381,0.00106269925611052,6,0,4,1,8,7,4.28860038158562e-17,0.0649045706406559,"NHB"
"entry18","73","ec:2.6.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.1","rn:R00734",475,309,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00350",0,0,0,0,3922,5316,73.7772761474793,0.0232219131809296,12,59,0.491666666666667,0.000752445447705041,6,0.032534257015929,6,1,8,16,0.248644954324468,0.663475248962008,"NHNB"
"entry19","74","ec:5.3.2.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.3.2.1","rn:R03342",560,428,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00350",0,0,0,0,312,5316,5.86907449209932,0.000906429635937833,10,44,0.666666666666667,0.000753012048192771,6,0.0209259771071938,6,1,8,12,0.0927924680926009,0.440125096515685,"NHNB"
"entry20","75","ec:1.13.11.27","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.13.11.27","rn:R02521",500,453,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,2284,5316,42.9646350639579,0.0485924821990396,10,46,0.505494505494505,0.000754147812971342,6,0.0238743187535629,6,1,8,14,0.127919863210133,0.430540224057517,"NHNB"
"entry21","76","ec:1.14.13.18","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.13.18","rn:R02514 rn:R02516",448,502,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,0,5316,0,0.0234328649492584,4,9,0.428571428571429,0.000737463126843658,6,0.00336374487553186,5,1,8,7,0.039368118524557,0.060104803157571,"NHNB"
"entry22","79","ec:1.2.1.53","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.53","rn:R02695",248,427,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,0,5316,0,0.0124963136438546,7,16,0.444444444444444,0.000752445447705041,6,0.000473930992731581,5,1,8,9,0.00958302729372855,0.2175951820055,"NHNB"
"entry23","80","ec:1.2.1.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.5","rn:R02695 rn:R02697",275,455,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00350",0,0,0,0,256,5316,4.81565086531226,0.0124963136438546,7,16,0.444444444444444,0.000752445447705041,6,0.000473930992731581,5,1,8,9,0.00958302729372855,0.2175951820055,"NHNB"
"entry24","81","ec:1.4.3.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.4.3.4","rn:R02382",299,350,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,1275,5316,23.9841986455982,0.0910232913255009,10,31,0.340659340659341,0.000750750750750751,6,0.0301115019904298,6,1,8,19,0.245654730040279,0.190240200158976,"HNB"
"entry25","82","ec:2.1.1.27","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.27","rn:R02384",344,322,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,0,5316,0,6.83060109289617e-05,4,6,0.6,0.000739644970414201,6,0.00424252568462337,7,1,8,5,0.0145835226199151,0.231590699047916,"NHNB"
"entry26","83","ec:1.14.18.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.18.1","rn:R02078",607,142,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,530,5316,9.9699021820918,0.069189663362179,16,136,0.588744588744589,0.000749625187406297,6,0.70594936525267,7,1,8,33,0.850624153796772,1,"HNB"
"entry27","84","ec:1.11.1.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.11.1.8","rn:R03208",103,267,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,146,5316,2.7464258841234,0.000671675774134791,15,98,0.816666666666667,0.000758150113722517,1,0.00568023203930457,7,1,8,16,0.0681297196000678,0.956685617883402,"NHNB"
"entry28","85","ec:1.4.3.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.4.3.2","rn:R00729",561,369,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,139,5316,2.61474793077502,0.0280494345474932,9,59,0.491666666666667,0.000748502994011976,6,0.173208528438007,6,1,8,16,0.393104627544908,0.49044324725612,"NHNB"
"entry29","86","ec:2.6.1.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.5","rn:R00734",525,309,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00350",0,0,0,0,472,5316,8.87885628291949,0.0168535372450385,8,59,0.491666666666667,0.000745156482861401,6,0.178888760477311,6,1,8,16,0.461234347144976,0.478815743821613,"NHNB"
"entry30","87","ec:4.1.99.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.99.2","rn:R00728",674,231,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00350",0,0,0,0,92,5316,1.7306245297216,0.00300995803799945,6,98,0.816666666666667,0.00074019245003701,6,0.257396770143192,7,1,8,16,0.555481811775586,0.491381190894012,"NHNB"
"entry31","88","ec:4.1.1.28","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.28","rn:R00736",325,293,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00350",0,0,0,0,657,5316,12.3589164785553,0.0692654023331238,14,132,0.376068376068376,0.000757575757575758,6,0.332152615367045,7,1,8,29,0.653293314325822,0.860793616991634,"HNB"
