"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry1","71","ec:2.7.8.29","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.8.29","rn:R07376",588,643,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00564",0,317,6030,5.25704809286899,0,9,27,0.75,0.00202839756592292,1,0,9,6,14,9,7.26861823582574e-17,0.656121408235032,"NHNB"
"entry3","74","ec:1.1.3.21","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.3.21","rn:R00846",170,231,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00564",0,197,6030,3.26699834162521,0.013771186440678,6,9,0.428571428571429,0.00157977883096367,2,0.00114705981348118,7,6,14,7,0.00555707619310376,0.00972700549551118,"NHNB"
"entry9","82","ec:2.3.1.42","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.42","rn:R01013",112,278,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00564",0,398,6030,6.60033167495854,0.000564971751412429,5,4,0.266666666666667,0.00147710487444609,3,0.000227579740826108,7,6,14,6,0.00110877265814778,0.00589290326517268,"NHNB"
"entry10","83","ec:2.7.8.24","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.8.24","rn:R05794",426,586,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00564",0,487,6030,8.07628524046435,0,15,50,0.476190476190476,0.00238095238095238,4,0,9,6,14,15,0,0.817236741559042,"HNB"
"entry11","84","ec:2.3.1.52","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.52","rn:R02242",353,391,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00564",0,0,6030,0,0.00416666666666667,8,21,0.583333333333333,0.0018450184501845,5,0.0221092179891118,7,6,14,9,0.0575213764860601,0.346850357914024,"NHNB"
"entry12","85","ec:2.3.1.62","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.62","rn:R01319",763,253,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00564",0,0,6030,0,0.000216572504708098,8,28,0.777777777777778,0.00205338809034908,6,0,9,6,14,9,0.0931560853638486,0.562170080606236,"NHNB"
"entry13","86","ec:2.3.1.23","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.23","rn:R01318",763,211,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00564",0,496,6030,8.22553897180763,0.226076136669357,9,48,0.615384615384615,0.00184162062615101,5,0.511562758969701,9,6,14,17,0.569213442338014,0.616997195260631,"HNB"
"entry14","87","ec:2.7.8.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.8.2","rn:R01321",728,280,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00564",0,191,6030,3.16749585406302,0,9,27,0.75,0.00202839756592292,1,0,9,6,14,9,7.26861823582574e-17,0.656121408235032,"NHNB"
"entry15","88","ec:2.7.7.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.7.15","rn:R01890",861,311,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00564",0,536,6030,8.88888888888889,0.0584907183212268,3,2,0.333333333333333,0.00143061516452074,8,0.0314945843214083,10,6,14,4,0.0726408861478358,0.0043966200868824,"NHNB"
"entry16","89","ec:2.7.1.32","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.32","rn:R01021",981,303,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00564",0,484,6030,8.02653399668325,0.0291283292978208,5,5,0.333333333333333,0.00151975683890578,9,0.00624860992691751,11,6,14,6,0.000501166792066553,0.00643144191117718,"NHNB"
