"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry","83","ec:5.3.1.22","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.3.1.22","rn:R01394",382,519,"rectangle",46,17,"#000000","#BFBFFF",4125,"irreversible","ec","00630",0,0,0,0,1487,6023,24.6886933421883,0.00215040497477206,8,17,0.472222222222222,0.000462320850670365,2,0.125992879131651,6,1,14,9,0.0390464648163019,0.102186560928108,"NHNB"
"entry1","84","ec:4.2.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.3","rn:R01900",1189,373,"rectangle",46,17,"#000000","#BFBFFF",4126,"reversible","ec","00630",0,0,0,0,5000,6023,83.0151087497925,0,1,0,0,0.000595238095238095,9,0,6,1,14,1,0,0.0385996772019162,"NHNB"
"entry2","85","ec:2.2.1.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.2.1.5","rn:R00474",1021,679,"rectangle",46,17,"#000000","#BFBFFF",4127,"irreversible","ec","00630",0,0,0,0,0,6023,0,3.95569620253165e-05,18,167,0.976608187134503,0.000769822940723634,4,9.55966462348245e-18,5,1,14,19,0.0792457623378652,1,"HNB"
"entry3","86","ec:2.3.3.12","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.3.12","rn:R03040",1021,629,"rectangle",46,17,"#000000","#BFBFFF",4128,"irreversible","ec","00630",0,0,0,0,0,6023,0,3.95569620253165e-05,17,167,0.976608187134503,0.000725163161711385,4,2.51444968943929e-17,5,1,14,19,0.16005083728037,0.986886041615575,"HNB"
"entry4","87","ec:2.3.3.7","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.3.7","rn:R01180",1021,583,"rectangle",46,17,"#000000","#BFBFFF",4129,"irreversible","ec","00630",0,0,0,0,0,6023,0,3.95569620253165e-05,16,167,0.976608187134503,0.000685400959561343,4,8.40308385928036e-17,5,1,14,19,0.239796237832828,0.967238047658674,"HNB"
"entry5","88","ec:4.1.3.13","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.3.13","rn:R00477",1021,537,"rectangle",46,17,"#000000","#BFBFFF",4130,"reversible","ec","00630",0,0,0,0,0,6023,0,3.95569620253165e-05,15,167,0.976608187134503,0.000649772579597141,4,6.83183147485212e-17,5,1,14,19,0.317953980761129,0.941186104771555,"HNB"
"entry6","89","ec:4.1.3.16","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.3.16","rn:R00470",1021,475,"rectangle",46,17,"#000000","#BFBFFF",4131,"reversible","ec","00630",0,0,0,0,271,6023,4.49941889423875,0,14,150,0.980392156862745,0.000617665225447807,4,6.5443091777168e-17,5,1,14,18,0.314760832154173,0.915395796366694,"NHNB"
"entry7","90","ec:4.1.3.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.3.1","rn:R00479",1149,449,"rectangle",46,17,"#000000","#BFBFFF",4132,"irreversible","ec","00630",1,3,1,0.5,2487,6023,41.2917150921468,0.00965189873417721,13,167,0.878947368421053,0.000588581518540318,4,1.23570849560027e-16,5,1,14,20,0.47109427022856,0.876796119164777,"HB"
"entry8","91","ec:3.5.1.68","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.68","rn:R00525",1119,279,"rectangle",46,17,"#000000","#BFBFFF",4133,"irreversible","ec","00630",0,0,0,0,862,6023,14.3118047484642,0,5,9,0.9,0.000166638893517747,7,0,7,1,14,5,0,0.00612457448712798,"NHNB"
"entry9","92","ec:3.5.1.56","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.56","rn:R02509",1144,260,"rectangle",46,17,"#000000","#BFBFFF",4134,"irreversible","ec","00630",0,0,0,0,79,6023,1.31163871824672,0,5,9,0.9,0.000166638893517747,7,0,7,1,14,5,0,0.00612457448712798,"NHNB"
"entry10","93","ec:3.5.1.49","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.49","rn:R00524",1144,241,"rectangle",46,17,"#000000","#BFBFFF",4135,"irreversible","ec","00630",0,0,0,0,769,6023,12.7677237257181,0,5,9,0.9,0.000166638893517747,7,0,7,1,14,5,0,0.00612457448712798,"NHNB"
"entry11","94","ec:3.5.1.31","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.31","rn:R00653",1144,222,"rectangle",46,17,"#000000","#BFBFFF",4136,"irreversible","ec","00630",0,0,0,0,1,6023,0.0166030217499585,0,5,9,0.9,0.000166638893517747,7,0,7,1,14,5,0,0.00612457448712798,"NHNB"
"entry12","95","ec:3.5.1.10","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.10","rn:R00944",1094,260,"rectangle",46,17,"#000000","#BFBFFF",4137,"irreversible","ec","00630",0,0,0,0,3154,6023,52.3659305993691,0,5,9,0.9,0.000166638893517747,7,0,7,1,14,5,0,0.00612457448712798,"NHNB"
"entry13","96","ec:3.5.1.9","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.9","rn:R01959",1094,241,"rectangle",46,17,"#000000","#BFBFFF",4138,"irreversible","ec","00630",0,0,0,0,1097,6023,18.2135148597045,0,5,9,0.9,0.000166638893517747,7,0,7,1,14,5,0,0.00612457448712798,"NHNB"
"entry14","97","ec:3.5.1.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.8","rn:R00526",1094,222,"rectangle",46,17,"#000000","#BFBFFF",4139,"irreversible","ec","00630",0,0,0,0,0,6023,0,0,5,9,0.9,0.000166638893517747,7,0,7,1,14,5,0,0.00612457448712798,"NHNB"
"entry15","98","ec:4.2.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.3","rn:R01325",988,145,"rectangle",46,17,"#000000","#BFBFFF",4140,"reversible","ec","00630",0,0,0,0,5000,6023,83.0151087497925,0,1,0,0,0.000407331975560081,6,0,6,1,14,1,0,0.00267929515971444,"NHNB"
"entry16","99","ec:1.2.1.17","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.17","rn:R00468",1119,430,"rectangle",46,17,"#000000","#BFBFFF",4141,"reversible","ec","00630",0,0,0,0,0,6023,0,0.00443037974683544,15,171,0.74025974025974,0.000563380281690141,4,1.45203827203284e-16,5,1,14,22,0.53882479653791,0.849680072266374,"HNB"
"entry17","100","ec:4.1.1.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.8","rn:R01908",1119,373,"rectangle",46,17,"#000000","#BFBFFF",4142,"irreversible","ec","00630",0,0,0,0,327,6023,5.42918811223643,0.000909810126582278,3,2,0.333333333333333,0.000510204081632653,8,3.67940762830558e-18,6,1,14,4,0.0686584619166369,0.0118089630957479,"NHNB"
"entry18","101","ec:1.1.99.14","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.99.14","rn:R00476",759,475,"rectangle",46,17,"#000000","#BFBFFF",4143,"irreversible","ec","00630",0,0,0,0,0,6023,0,0.00565664556962025,12,176,0.838095238095238,0.000476871721506915,4,0.0163156906026897,5,1,14,21,0.665593222868445,0.753123159568677,"HNB"
"entry19","102","ec:1.1.3.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.3.15","rn:R00475",759,497,"rectangle",46,17,"#000000","#BFBFFF",4144,"irreversible","ec","00630",1,3,1,0.5,2796,6023,46.4220488128839,0.0213212025316456,12,176,0.761904761904762,0.000476644423260248,4,0.0231571388354715,5,1,14,23,0.731291173628109,0.697824132042373,"HB"
"entry20","103","ec:1.1.1.79","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.79","rn:R00465",738,601,"rectangle",46,17,"#000000","#BFBFFF",4145,"reversible","ec","00630",0,0,0,0,1936,6023,32.1434501079196,0.0301630963972736,6,140,0.818713450292398,0.000471475719000472,4,0.296574586993013,5,1,14,19,0.853630470229494,0.326118693730643,"HNB"
"entry21","104","ec:1.1.1.26","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.26","rn:R00717",761,580,"rectangle",46,17,"#000000","#BFBFFF",4146,"reversible","ec","00630",0,0,0,0,1159,6023,19.2429022082019,0.0301630963972736,6,140,0.818713450292398,0.000471475719000472,4,0.296574586993013,5,1,14,19,0.853630470229494,0.326118693730643,"HNB"
"entry22","105","ec:6.2.1.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.2.1.8","rn:R01558",1016,412,"rectangle",46,17,"#000000","#BFBFFF",4147,"irreversible","ec","00630",0,0,0,0,183,6023,3.0383529802424,0.004417194092827,3,5,0.5,0.000483558994197292,8,5.74173143055365e-18,6,1,14,5,0.0696126860645822,0.0739445159641998,"NHNB"
"entry23","106","ec:2.8.3.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.8.3.2","rn:R01559",1016,393,"rectangle",46,17,"#000000","#BFBFFF",4148,"reversible","ec","00630",0,0,0,0,0,6023,0,0.004417194092827,3,5,0.5,0.000483558994197292,8,2.51287277835086e-17,6,1,14,5,0.0696126860645822,0.0739445159641998,"NHNB"
"entry24","107","ec:1.2.3.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.3.5","rn:R00466",911,424,"rectangle",46,17,"#000000","#BFBFFF",4149,"irreversible","ec","00630",0,0,0,0,0,6023,0,0.087438387034906,9,174,0.687747035573123,0.000476644423260248,4,0.186899198475927,5,1,14,23,0.789381438373063,0.522891643180829,"HNB"
"entry25","108","ec:4.1.1.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.2","rn:R00522",911,377,"rectangle",46,17,"#000000","#BFBFFF",4150,"irreversible","ec","00630",0,0,0,0,443,6023,7.35513863523161,0.0279404008438819,5,40,0.380952380952381,0.000164473684210526,7,0.0552167174108261,6,1,14,15,0.0576667596251484,0.00594017925259022,"NHNB"
"entry26","109","ec:3.1.2.10","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.2.10","rn:R00521",1020,339,"rectangle",46,17,"#000000","#BFBFFF",4151,"irreversible","ec","00630",0,0,0,0,0,6023,0,0.000593354430379747,3,33,0.5,0.000162311313098523,7,0.0163129960240024,7,1,14,12,0.00489849768058598,0.000998214671958456,"NHNB"
"entry27","110","ec:2.7.2.6","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.2.6","rn:R00518",1044,284,"rectangle",46,17,"#000000","#BFBFFF",4152,"reversible","ec","00630",0,0,0,0,0,6023,0,0,2,33,0.6,0.000160230732254446,7,0.0211324393331577,7,1,14,11,0.00402493434401719,0.0006684268221455,"NHNB"
"entry28","111","ec:1.17.1.9","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.17.1.9","rn:R00519",932,269,"rectangle",46,17,"#000000","#BFBFFF",4153,"reversible","ec","00630",0,0,0,0,2698,6023,44.794952681388,0.000527426160337553,1,25,0.454545454545455,0.00015625,7,0.0273757188141592,7,1,14,11,0.00407894662347431,0.00454060026526161,"NHNB"
"entry29","112","ec:1.2.2.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.2.1","rn:R03146",891,288,"rectangle",46,17,"#000000","#BFBFFF",4154,"irreversible","ec","00630",0,0,0,0,0,6023,0,0.000527426160337553,1,25,0.454545454545455,0.00015625,7,0.0273757188141593,7,1,14,11,0.00407894662347431,0.00454060026526161,"NHNB"
"entry30","113","ec:1.2.3.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.3.4","rn:R00273",859,360,"rectangle",46,17,"#000000","#BFBFFF",4155,"irreversible","ec","00630",0,0,0,0,0,6023,0,0,0,7,0.466666666666667,0.000154320987654321,8,0.0877052491461209,6,1,14,6,0.0554162864412995,0,"NHNB"
"entry31","114","ec:2.3.3.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.3.1","rn:R00351",556,144,"rectangle",46,17,"#000000","#BFBFFF",4156,"reversible","ec","00630",1,3,1,0.5,4909,6023,81.5042337705462,0.0153460727036676,3,5,0.333333333333333,0.000403388463089956,6,0.121312808849175,5,1,14,6,0.0326997708138846,0.00492108463453789,"NHB"
"entry32","115","ec:1.2.1.21","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.21","rn:R01333",537,519,"rectangle",46,17,"#000000","#BFBFFF",4157,"reversible","ec","00630",0,0,0,0,562,6023,9.33089822347667,0.00849875335634829,4,13,0.464285714285714,0.000436871996505024,4,0.186899198475927,6,1,14,8,0.169947995610367,0.0992613460464359,"NHNB"
"entry33","116","ec:1.1.1.77","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.77","rn:R01781",536,632,"rectangle",46,17,"#000000","#BFBFFF",4158,"reversible","ec","00630",0,0,0,0,417,6023,6.92346006973269,0,1,1,1,0.000434216239687364,3,0.055216717410826,7,1,14,2,0.00802082050617614,0.00456329074786237,"NHNB"
"entry34","117","ec:4.1.1.40","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.40","rn:R01393",435,599,"rectangle",46,17,"#000000","#BFBFFF",4159,"irreversible","ec","00630",0,0,0,0,0,6023,0,0.0178605677023399,4,10,0.357142857142857,0.000443655723158829,2,0.23474540175731,6,1,14,8,0.0556932150872562,0.0170867498275785,"NHNB"
"entry35","118","ec:1.1.1.81","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.81","rn:R01388 rn:R01392",350,609,"rectangle",46,17,"#000000","#BFBFFF",4160,"irreversible","ec","00630",0,0,0,0,1946,6023,32.3094803254192,0.0194471061638783,3,10,0.476190476190476,0.000452284034373587,2,0.271329745170478,6,1,14,7,0.0501927662479331,0.00222929678372948,"NHNB"
"entry36","119","ec:1.1.1.79","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.79","rn:R01392",350,588,"rectangle",46,17,"#000000","#BFBFFF",4161,"irreversible","ec","00630",0,0,0,0,1936,6023,32.1434501079196,0.0194471061638783,3,10,0.476190476190476,0.000452284034373587,2,0.271329745170478,6,1,14,7,0.0501927662479331,0.00222929678372948,"NHNB"
"entry37","120","ec:1.1.1.26","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.26","rn:R01388",302,588,"rectangle",46,17,"#000000","#BFBFFF",4162,"irreversible","ec","00630",0,0,0,0,1159,6023,19.2429022082019,0.0194471061638783,3,10,0.476190476190476,0.000452284034373587,2,0.271329745170478,6,1,14,7,0.0501927662479331,0.00222929678372948,"NHNB"
