"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry1","82","ec:1.17.4.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.17.4.1","rn:R02018",450,717,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00240",0,0,0,0,5778,6075,95.1111111111111,0.00315761045269242,3,13,0.619047619047619,0.00141843971631206,1,0.221045410487379,7,5,11,8,0.32820387883989,0.113932005624121,"NHNB"
"entry3","84","ec:3.5.1.95","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.95","rn:R07629",1108,308,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00240",0,0,0,0,8,6075,0.131687242798354,0,1,0,0,0.000268744961031981,2,0.0204519423528928,9,5,11,2,6.63604460122911e-17,0.00481596351777456,"NHNB"
"entry4","85","ec:2.7.4.22","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.4.22","rn:R00158",505,247,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00240",0,0,0,0,5577,6075,91.8024691358025,0,9,24,0.666666666666667,0.00164744645799012,3,2.68461103254863e-17,6,5,11,9,2.39566820732781e-16,0.555002137847034,"NHNB"
"entry5","86","ec:3.5.4.30","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.4.30","rn:R07307",395,584,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00240",0,0,0,0,16,6075,0.263374485596708,0.0106340828267058,11,41,0.525641025641026,0.00145985401459854,4,0.0912322677612684,7,5,11,13,0.15500552743966,0.453455907978164,"NHNB"
"entry6","87","ec:2.1.1.148","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.148","rn:R06613",588,716,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00240",0,0,0,0,1450,6075,23.8683127572016,0.00177763190058272,7,22,0.785714285714286,0.00146627565982405,5,0.107293060829355,7,5,11,9,0.155591641047699,0.396081964906525,"NHNB"
"entry8","89","ec:6.3.5.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.3.5.5","rn:R00575",128,264,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00240",0,0,0,0,5476,6075,90.1399176954732,0,1,0,0,0.00173913043478261,6,2.68461103254863e-17,9,5,11,1,2.79003854175821e-17,6.64560492316139e-18,"NHNB"
"entry14","95","ec:2.1.3.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.3.2","rn:R01397",128,192,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00240",1,2,1,0.142857142857143,5462,6075,89.9094650205761,0.0158469945355191,1,0,0,0.00173010380622837,7,2.17244369302188e-17,8,5,11,2,6.63604460122911e-17,1.32912098463228e-17,"NHB"
"entry15","96","ec:3.5.2.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.2.3","rn:R01993",179,154,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00240",1,2,2,0.285714285714286,5433,6075,89.4320987654321,0.0311475409836066,3,0,0,0.00171821305841924,8,1.34090346626842e-17,7,5,11,4,1.32720892024582e-16,0.00080217080089677,"NHB"
"entry16","97","ec:1.3.1.14","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.14","rn:R01869",290,135,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00240",0,0,0,0,1519,6075,25.0041152263374,0.0221311475409836,1,0,0,0.00153609831029186,9,1.58646459291235e-17,6,5,11,2,8.98141924058661e-05,2.35875653717975e-17,"NHNB"
"entry17","98","ec:1.3.98.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.98.1","rn:R01867",290,154,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00240",0,0,0,0,888,6075,14.6172839506173,0.0221311475409836,1,0,0,0.00153609831029186,10,2.83263835772907e-17,6,5,11,2,8.98141924058661e-05,2.35875653717975e-17,"NHNB"
"entry18","99","ec:2.4.2.10","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.4.2.10","rn:R01870",422,154,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00240",1,2,6,0.857142857142857,5604,6075,92.2469135802469,0.0729508196721311,2,0,0,0.00151975683890578,11,2.92682150604275e-17,5,5,11,4,1.11601541670329e-16,0.0649585634045835,"NHB"
"entry19","100","ec:2.7.4.6","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.4.6","rn:R00156",395,237,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00240",0,0,0,0,5432,6075,89.4156378600823,0.0311557291971442,12,48,0.352941176470588,0.00146198830409357,12,0.124495513594566,7,5,11,20,0.31995032966767,0.495406183638213,"HNB"
"entry20","101","ec:2.7.4.14","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.4.14","rn:R00158",505,226,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00240",0,0,0,0,516,6075,8.49382716049383,0.0813122753480821,16,51,0.375,0.0015220700152207,13,0.303171158659522,6,5,11,21,0.23682589258815,0.909583692940742,"HNB"
"entry21","102","ec:3.5.4.13","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.4.13","rn:R00568",283,286,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00240",0,0,0,0,3676,6075,60.5102880658436,0.00137028539638548,8,31,0.688888888888889,0.00144927536231884,12,0.0678355966464423,7,5,11,12,0.195966263529924,0.431984764740674,"NHNB"
"entry22","103","ec:6.3.4.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.3.4.2","rn:R00571 rn:R00573",334,311,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00240",0,0,0,0,5842,6075,96.1646090534979,0.0164181628935727,6,19,0.904761904761905,0.00143884892086331,12,0.139349819930839,7,5,11,9,0.134623967863759,0.32171680834224,"NHNB"
"entry23","104","ec:3.6.1.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.6.1.5","rn:R00159",395,262,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00240",0,0,0,0,324,6075,5.33333333333333,0.103918185719307,18,99,0.33,0.00152671755725191,14,0.381078799643849,6,5,11,29,0.60400573480279,0.924695478039484,"HNB"
"entry24","105","ec:3.6.1.39","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.6.1.39","rn:R00159",395,283,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00240",0,0,0,0,0,6075,0,0.0052880498771353,7,33,0.423076923076923,0.00144300144300144,12,0.159453939765239,7,5,11,14,0.367210278298597,0.346314576555258,"NHNB"
