"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry11","33","ec:3.5.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.3","rn:R00348",752,440,"rectangle",46,17,"#000000","#BFBFFF",1406,"irreversible","ec","00250",0,0,0,0,1866,5970,31.2562814070352,0.00188536953242836,5,6,0.4,0.000400641025641026,5,0,4,2,4,6,5.07883759361937e-18,0.345292111337905,"NHNB"
"entry12","34","ec:6.3.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.3.1.1","rn:R00483",647,308,"rectangle",46,17,"#000000","#BFBFFF",1407,"irreversible","ec","00250",0,0,0,0,1058,5970,17.7219430485762,0.00188536953242836,7,60,0.769230769230769,0.000503524672708963,5,0,3,2,4,13,0.54114726292566,0.62910000871528,"NHNB"
"entry13","35","ec:6.3.5.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.3.5.4","rn:R00578",647,273,"rectangle",46,17,"#000000","#BFBFFF",1408,"reversible","ec","00250",0,0,0,0,3830,5970,64.1541038525963,0.00188536953242836,7,60,0.769230769230769,0.000503524672708963,5,0,3,2,4,13,0.54114726292566,0.62910000871528,"NHNB"
"entry14","36","ec:2.6.1.14","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.14","rn:R01346",753,369,"rectangle",46,17,"#000000","#BFBFFF",1409,"irreversible","ec","00250",0,0,0,0,205,5970,3.43383584589615,0.0052790346907994,1,0,0,0.000408329930583912,5,0,4,2,4,5,0.243867833442625,1.69262843079769e-16,"NHNB"
"entry15","37","ec:4.1.1.12","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.12","rn:R00397",245,302,"rectangle",46,17,"#000000","#BFBFFF",1410,"irreversible","ec","00250",1,6,1,0.2,319,5970,5.34338358458962,0.0316742081447964,12,93,0.543859649122807,0.000596658711217184,5,1.37605203201982e-16,3,2,4,19,0.301520706063159,0.924067906109701,"HB"
"entry16","38","ec:3.5.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.1","rn:R00485",647,363,"rectangle",46,17,"#000000","#BFBFFF",1411,"irreversible","ec","00250",0,0,0,0,4443,5970,74.4221105527638,0.00188536953242836,7,60,0.769230769230769,0.000503524672708963,5,0,3,2,4,13,0.54114726292566,0.62910000871528,"NHNB"
"entry17","39","ec:3.5.1.38","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.38","rn:R00485",647,342,"rectangle",46,17,"#000000","#BFBFFF",1412,"irreversible","ec","00250",0,0,0,0,205,5970,3.43383584589615,0.00188536953242836,7,60,0.769230769230769,0.000503524672708963,5,0,3,2,4,13,0.54114726292566,0.62910000871528,"NHNB"
"entry18","40","ec:5.1.1.13","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.1.1.13","rn:R00491",552,455,"rectangle",46,17,"#000000","#BFBFFF",1413,"irreversible","ec","00250",0,0,0,0,1818,5970,30.4522613065327,0.0143288084464555,5,99,0.727941176470588,0.000400641025641026,5,0,3,2,4,17,0.869007518166791,0.345292111337905,"HNB"
"entry19","44","ec:2.3.1.17","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.17","rn:R00487",581,210,"rectangle",46,17,"#000000","#BFBFFF",1414,"irreversible","ec","00250",0,0,0,0,154,5970,2.57956448911223,0.026395173453997,7,80,0.588235294117647,0.000467945718296678,5,0,2,2,4,17,0.785015096368286,0.440400258519759,"HNB"
"entry20","47","ec:1.4.3.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.4.3.2","rn:R00357",608,486,"rectangle",46,17,"#000000","#BFBFFF",1415,"irreversible","ec","00250",0,0,0,0,139,5970,2.32830820770519,0,0,73,0.608333333333333,0.000362844702467344,5,0,3,2,4,16,1,3.84358105236423e-16,"HNB"
