"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry91","164","ec:2.3.1.115","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.115","rn:R07721",597,397,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,3,66,4.54545454545455,0,0,0,0,0.00263157894736842,8,0.228586194199745,4,1,6,1,0.16463615824575,0,"NHNB"
"entry92","165","ec:1.3.1.45","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.45","rn:R07747",784,352,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,0,66,0,0.0672514619883041,1,0,0,0.00581395348837209,3,0.443164797089953,4,1,6,3,0.241524353762745,0,"NHNB"
"entry93","166","ec:1.3.1.45","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.45","rn:R07751",784,395,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,0,66,0,0.0672514619883041,1,0,0,0.00581395348837209,3,0.443164797089953,4,1,6,3,0.241524353762745,0,"NHNB"
"entry94","167","ec:1.3.1.45","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.45","rn:R06562",784,253,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,0,66,0,0.0672514619883041,1,0,0,0.00581395348837209,3,0.443164797089953,4,1,6,3,0.241524353762745,0,"NHNB"
"entry95","168","ec:1.14.14.90","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.90","rn:R07746",689,352,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",1,3,1,1,64,66,96.969696969697,0.181286549707602,6,13,0.361111111111111,0.00709219858156028,1,0.952394149769003,3,1,6,12,0.852598591790766,0.756760897474892,"HB"
"entry96","169","ec:2.4.1.170","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.4.1.170","rn:R07753",1065,386,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",1,3,1,1,1,66,1.51515151515152,0.154970760233918,5,15,0.416666666666667,0.00689655172413793,1,0.753249355864653,3,1,6,11,0.893764998400492,0.712412327063882,"HB"
"entry97","170","ec:2.3.1.115","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.115","rn:R07754",1158,386,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,3,66,4.54545454545455,0,0,0,0,0.00263157894736842,8,0.228586194199745,4,1,6,1,0.16463615824575,0,"NHNB"
"entry98","171","ec:2.4.1.170","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.4.1.170","rn:R07740",1065,243,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",1,3,1,1,1,66,1.51515151515152,0.154970760233918,5,15,0.416666666666667,0.00689655172413793,1,0.753249355864653,3,1,6,11,0.893764998400492,0.712412327063882,"HB"
"entry99","173","ec:2.3.1.115","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.115","rn:R07741",1158,243,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,3,66,4.54545454545455,0,0,0,0,0.00263157894736842,8,0.228586194199745,4,1,6,1,0.16463615824575,0,"NHNB"
"entry100","174","ec:1.14.14.135","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.135","rn:R07196",1251,197,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,0,66,0,0,0,0,0,0.00263157894736842,4,4.32250070994813e-17,2,1,6,1,0,0,"NHNB"
"entry101","175","ec:1.14.14.135","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.135","rn:R07195",1251,151,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,0,66,0,0,0,0,0,0.00263157894736842,4,4.32250070994813e-17,2,1,6,1,0,0,"NHNB"
"entry102","176","ec:1.14.14.135","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.135","rn:R07197",1251,105,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,0,66,0,0,0,0,0,0.00263157894736842,4,4.32250070994813e-17,2,1,6,1,0,0,"NHNB"
"entry103","177","ec:2.5.1.36","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.5.1.36","rn:R07271",1157,151,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",1,3,1,1,0,66,0,0.00292397660818713,1,0,0,0.00277008310249307,4,1.03344072586501e-18,1,1,6,2,0,0,"NHB"
"entry104","178","ec:2.5.1.36","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.5.1.36","rn:R07272",1157,105,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",1,3,1,1,0,66,0,0.00292397660818713,1,0,0,0.00277008310249307,4,1.03344072586501e-18,1,1,6,2,0,0,"NHB"
"entry105","179","ec:1.14.14.93","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.93","rn:R03452",1064,105,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,1,66,1.51515151515152,0,1,0,0,0.00291545189504373,4,0,2,1,6,1,0,0,"NHNB"
"entry106","180","ec:1.3.1.51","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.51","rn:R03962",784,105,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,0,66,0,0,0,0,0,0.00263157894736842,7,0.289020033510545,4,1,6,1,0.174884967788745,0,"NHNB"
"entry107","181","ec:1.1.1.348","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.348","rn:R07737",878,253,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,12,66,18.1818181818182,0.0672514619883041,1,0,0,0.00613496932515337,5,0.134485816126336,5,1,6,2,0,0,"NHNB"
"entry108","182","ec:1.14.14.90 / ec:1.14.14.89","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.90+1.14.14.89","rn:R06560",689,253,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,64,66,96.969696969697,0.181286549707602,6,13,0.361111111111111,0.00709219858156028,1,0.952394149769003,3,1,6,12,0.852598591790766,0.756760897474892,"HNB"
"entry109","183","ec:1.14.14.90","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.90","rn:R06561",689,662,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",1,3,1,1,64,66,96.969696969697,0.181286549707602,6,13,0.361111111111111,0.00709219858156028,1,0.952394149769003,3,1,6,12,0.852598591790766,0.756760897474892,"HB"
"entry110","184","ec:4.2.1.139","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.139","rn:R07738",971,253,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,0,66,0,0.0672514619883041,1,0,0,0.00649350649350649,5,0.0408119842955294,4,1,6,2,0,0.207589454993136,"NHNB"
"entry111","185","ec:2.1.1.270","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.270","rn:R07750",1158,352,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,0,66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry112","186","ec:1.14.19.63","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.19.63","rn:R07745",599,352,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,0,66,0,0,1,1,1,0.00657894736842105,6,0.303466829968081,4,1,6,2,0.0483593272507079,0.198027979742447,"NHNB"
"entry114","189","ec:1.14.19.63","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.19.63","rn:R09602",599,618,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,0,66,0,0,1,1,1,0.00657894736842105,6,0.303466829968081,4,1,6,2,0.0483593272507079,0.198027979742447,"NHNB"
"entry115","190","ec:1.14.20.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.20.5","rn:R07712",160,219,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,0,66,0,0,1,0,0,0.00892857142857143,2,4.96806338474089e-17,5,1,6,2,0.0589874739416773,0,"NHNB"
"entry116","191","ec:1.14.19.76","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.19.76","rn:R12277",210,219,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,40,66,60.6060606060606,0,0,0,0,0.00263157894736842,2,4.69245441724314e-17,5,1,6,1,0.0589874739416773,0,"NHNB"
"entry117","192","ec:1.14.19.76","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.19.76","rn:R12278",210,551,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00943",0,0,0,0,40,66,60.6060606060606,0,0,0,0,0.00263157894736842,2,4.69245441724314e-17,5,1,6,1,0.0589874739416773,0,"NHNB"
