"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry1","28","ec:4.2.3.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.3.15","rn:R02009",367,166,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00902",0,10,89,11.2359550561798,0.0585106382978723,2,121,0.790849673202614,0.00101010101010101,1,1,8,1,11,18,0.974701070785208,0.00102740535913169,"HNB"
"entry2","30","ec:4.2.3.26","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.3.26","rn:R07632",426,166,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00902",0,0,89,0,0.0224329324699352,3,120,0.882352941176471,0.00101214574898785,1,0.529810384293748,8,1,11,17,0.948110264649626,0.197204328554035,"HNB"
"entry3","31","ec:3.1.7.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.7.3","rn:R08396",181,166,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00902",1,0,89,0,0.140148011100833,14,107,0.699346405228758,0.00107181136120043,1,0.133417238760169,7,1,11,19,0.325564659831931,0.941851059490582,"HB"
"entry5","34","ec:1.14.14.83","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.83","rn:R08785",156,241,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00902",1,0,89,0,0.0874190564292322,1,2,0.333333333333333,0.000513610683102209,1,0.108946133613648,6,1,11,4,0.187200021108112,3.36413906777439e-17,"NHB"
"entry6","35","ec:2.1.1.50","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.50","rn:R03554",208,715,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00902",0,0,89,0,0,1,1,1,0.000452693526482571,2,0.000145338521166651,11,1,11,3,1.07016009697218e-17,3.87459486378338e-17,"NHNB"
"entry7","36","ec:1.14.14.85","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.85","rn:R03556",156,680,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00902",1,0,89,0,0.030527289546716,2,1,0.166666666666667,0.000462534690101758,2,0.00032085092888979,10,1,11,4,5.17309601091661e-17,1.47091775285416e-17,"NHB"
"entry8","37","ec:1.14.19.62","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.19.62","rn:R03555",156,742,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00902",0,0,89,0,0,1,1,1,0.000452693526482571,2,0.000145338521166647,11,1,11,3,1.07016009697218e-17,3.87459486378338e-17,"NHNB"
"entry9","40","ec:1.14.14.85","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.85","rn:R05832",255,680,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00902",1,0,89,0,0.030527289546716,2,1,0.166666666666667,0.000462534690101758,2,0.00032085092888979,10,1,11,4,5.17309601091661e-17,1.47091775285416e-17,"NHB"
"entry10","41","ec:1.14.19.62","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.19.62","rn:R05833",255,742,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00902",0,0,89,0,0,1,1,1,0.000452693526482571,2,0.000145338521166647,11,1,11,3,1.07016009697218e-17,3.87459486378338e-17,"NHNB"
"entry11","42","ec:2.1.1.50","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.50","rn:R05834",208,776,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00902",0,0,89,0,0,1,1,1,0.000452693526482571,2,0.000145338521166651,11,1,11,3,1.07016009697218e-17,3.87459486378338e-17,"NHNB"
