"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry1","27","ec:3.1.1.82","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.1.82","rn:R08974",1050,1120,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,10,5667,0.176460208223046,0,0,0,0,8.98472596585804e-05,17,0,2,1,7,1,0,0,"NHNB"
"entry8","43","ec:1.3.1.75","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.75","rn:R06896",701,715,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,171,5667,3.01746956061408,0.000580847723704866,10,37,0.672727272727273,0.000111856823266219,1,0.0958863874258943,22,1,7,11,0.156931289154594,1,"HNB"
"entry9","44","ec:1.3.98.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.98.3","rn:R06895",551,295,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,2499,5667,44.0974060349391,0,4,1,0.166666666666667,0.000122774708410068,2,0,17,1,7,4,5.13188153612359e-17,0,"NHNB"
"entry13","49","ec:1.21.98.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.21.98.3","rn:R06270",643,690,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,203,5667,3.58214222692783,0.00116758241758242,4,6,0.6,0.000111296605453534,1,0.279883920836319,21,1,7,7,0.235150588920952,0.084984207977279,"NHNB"
"entry14","50","ec:1.21.98.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.21.98.3","rn:R06269",643,624,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,203,5667,3.58214222692783,0.00116758241758242,4,6,0.6,0.000111296605453534,1,0.279883920836319,21,1,7,7,0.235150588920952,0.084984207977279,"NHNB"
"entry15","51","ec:1.21.98.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.21.98.3","rn:R06268",643,538,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,203,5667,3.58214222692783,0.00116758241758242,4,6,0.6,0.000111296605453534,1,0.279883920836319,21,1,7,7,0.235150588920952,0.084984207977279,"NHNB"
"entry16","52","ec:1.14.13.81","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.13.81","rn:R06267",693,690,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,313,5667,5.52320451738133,0.00116758241758242,3,6,0.6,0.00011127183709803,1,0.373747476143079,21,1,7,7,0.24357380940963,0.047042702115127,"NHNB"
"entry17","53","ec:1.14.13.81","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.13.81","rn:R06266",693,624,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,313,5667,5.52320451738133,0.00116758241758242,3,6,0.6,0.00011127183709803,1,0.373747476143079,21,1,7,7,0.24357380940963,0.047042702115127,"NHNB"
"entry18","54","ec:1.14.13.81","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.13.81","rn:R06265",693,538,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,313,5667,5.52320451738133,0.00116758241758242,3,6,0.6,0.00011127183709803,1,0.373747476143079,21,1,7,7,0.24357380940963,0.047042702115127,"NHNB"
"entry33","69","ec:1.16.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.16.1.3","rn:R00097",735,1337,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,633,5667,11.1699311805188,0,1,0,0,9.33358222885944e-05,3,0,25,1,7,1,1.2829703840309e-17,0,"NHNB"
"entry34","70","ec:1.16.1.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.16.1.5","rn:R00107",735,1358,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,3,5667,0.0529380624669137,0,1,0,0,9.33358222885944e-05,4,0,25,1,7,1,1.2829703840309e-17,0,"NHNB"
"entry39","75","ec:1.3.3.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.3.3","rn:R03220",551,274,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,2881,5667,50.8381859890595,0.000915750915750916,3,1,0.166666666666667,0.000119703136222169,2,0,17,1,7,4,0,0,"NHNB"
"entry108","238","ec:3.2.1.31","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.2.1.31","rn:R04979",1106,529,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,310,5667,5.47026645491442,0,1,0,0,9.0702947845805e-05,5,0,22,1,7,1,1.2829703840309e-17,0,"NHNB"
"entry109","239","ec:2.4.1.17","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.4.1.17","rn:R02389",1004,529,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,188,5667,3.31745191459326,0,0,0,0,8.98472596585804e-05,5,0,21,1,7,3,0,0,"NHB"
"entry110","240","ec:1.3.3.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.3.5","rn:R02394",981,483,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,10,5667,0.176460208223046,0.000633394383394383,3,9,0.6,0.000105429625724829,6,5.20034315749149e-17,20,1,7,6,0,7.08233758526883e-16,"NHNB"
"entry111","241","ec:1.3.1.24","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.24","rn:R02391 rn:R02393",936,464,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,240,5667,4.2350449973531,0.00122100122100122,1,9,0.6,9.0702947845805e-05,6,1.44170108612715e-16,20,1,7,6,0,0,"NHNB"
"entry112","242","ec:1.3.7.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.7.3","rn:R05819",1103,445,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,42,5667,0.741132874536792,0,1,0,0,0.000106518960374947,7,0,21,1,7,1,1.2829703840309e-17,2.74225680928705e-17,"NHNB"
"entry113","243","ec:1.3.7.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.7.2","rn:R05818",1007,445,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,43,5667,0.758778895359097,0.00148809523809524,5,13,0.619047619047619,0.000105518624037143,6,3.85570748830476e-17,20,1,7,7,0,9.8485140368918e-16,"NHB"
"entry114","244","ec:2.5.1.62","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.5.1.62","rn:R06284",765,1182,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,360,5667,6.35256749602965,0.00410038374324089,8,30,0.666666666666667,0.000111806797853309,1,0.381802022944731,23,1,7,11,0.161205501407756,0.876442911374126,"HNB"
"entry115","245","ec:3.1.1.14","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.1.14","rn:R05618",722,1163,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,96,5667,1.69401799894124,0.00691304727019013,6,30,0.666666666666667,0.000111769308147983,1,0.556307913741734,23,1,7,11,0.378236109481666,0.710292940038462,"HNB"
"entry116","246","ec:1.3.7.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.7.5","rn:R05817",1057,383,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,94,5667,1.65872595729663,2.28937728937729e-05,4,13,0.866666666666667,0.000105474106106951,6,7.25953061601885e-17,20,1,7,6,0,9.34774737680907e-16,"NHNB"
"entry117","247","ec:1.3.7.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.7.4","rn:R03678",1057,351,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,35,5667,0.61761072878066,6.86813186813187e-05,2,13,0.866666666666667,0.000105385182843292,6,2.45018577318284e-17,20,1,7,6,0,6.62925562696078e-16,"NHNB"
"entry125","262","ec:4.4.1.17","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.4.1.17","rn:R02480",845,487,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,413,5667,7.28780659961179,0.00157203907203907,5,26,0.928571428571429,0.000105663567202029,6,1.26010365658754e-17,20,1,7,8,0,2.16763296546758e-15,"HNB"
"entry126","263","ec:1.3.1.75","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.75","rn:R06272",700,1068,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,171,5667,3.01746956061408,0.000580847723704866,10,37,0.672727272727273,0.000111856823266219,1,0.0958863874258943,22,1,7,11,0.156931289154594,1,"HNB"
"entry127","264","ec:1.3.7.7","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.7.7","rn:R06282",768,870,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,251,5667,4.42915122639845,0.0041337432408861,2,27,0.75,0.000111582236108012,1,0.598964090422804,23,1,7,9,0.872818656741853,0.212090584499136,"HNB"
"entry128","265","ec:1.3.1.33","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.33","rn:R06286",668,870,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,246,5667,4.34092112228692,0.0041841095412524,3,32,0.581818181818182,0.00011153245594468,1,0.738676174014495,22,1,7,11,1,0.22830435210199,"HNB"
"entry129","266","ec:1.3.1.33","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.33","rn:R03845",718,870,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,246,5667,4.34092112228692,0.0041841095412524,3,32,0.581818181818182,0.00011153245594468,1,0.738676174014495,22,1,7,11,1,0.22830435210199,"HNB"
"entry130","267","ec:2.5.1.141","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.5.1.141","rn:R07411",735,346,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,4115,5667,72.6133756837833,0.00660866910866911,3,26,0.928571428571429,0.000105574324324324,6,2.15222303537299e-16,20,1,7,8,0,8.53695286374233e-16,"HNB"
"entry131","268","ec:4.99.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.99.1.1","rn:R00310",736,285,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,4686,5667,82.6892535733192,0.0104395604395604,6,38,0.487179487179487,0.0001056970721911,6,0,19,1,7,13,0,2.03937304913472e-15,"HNB"
"entry132","269","ec:1.16.1.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.16.1.2","rn:R04123",728,86,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00860",0,0,5667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry133","270","ec:1.16.3.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.16.3.1","rn:R00078",646,132,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,3338,5667,58.9024175048527,0,6,13,0.866666666666667,0.000108061378863194,6,0,19,1,7,6,1.12926609060692e-16,2.06747963345103e-15,"NHNB"
"entry134","271","ec:2.1.1.11","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.11","rn:R04237",669,447,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,350,5667,6.1761072878066,0,0,1,0.333333333333333,8.98472596585804e-05,1,0.164154063095595,20,1,7,3,0.0243433389828943,0,"NHB"
"entry135","272","ec:6.6.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.6.1.1","rn:R03877",668,367,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,1503,5667,26.5219692959238,0.00192307692307692,1,2,0.333333333333333,9.0702947845805e-05,8,1.14611104186078e-17,19,1,7,4,0,0.00392779343212409,"NHB"
"entry136","273","ec:1.3.3.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.3.4","rn:R03222",625,274,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,1936,5667,34.1626963119816,0.000656288156288156,3,1,0.166666666666667,0.00012132977432662,8,0,18,1,7,4,0,3.81539447356312e-16,"NHNB"
"entry137","274","ec:4.1.1.37","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.37","rn:R03197",475,284,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,4731,5667,83.4833245103229,0.00164835164835165,3,3,0.3,0.000116781501810113,2,0,16,1,7,5,0,0,"NHB"
"entry138","275","ec:4.2.1.75","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.75","rn:R03165",392,284,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,4942,5667,87.2066349038292,0.00146520146520147,2,1,0.333333333333333,9.42418245217227e-05,9,1.43407849987216e-18,16,1,7,3,8.5321231718953e-18,0,"NHB"
"entry139","276","ec:2.1.1.107","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.107","rn:R03194",438,334,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,4193,5667,73.9897653079231,0,0,2,0.333333333333333,8.98472596585804e-05,9,0,15,1,7,4,0,0,"NHB"
"entry140","277","ec:4.1.1.37","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.37","rn:R04972",388,150,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,4731,5667,83.4833245103229,0.00164835164835165,3,3,0.3,0.000116781501810113,2,0,16,1,7,5,0,0,"NHB"
"entry141","278","ec:2.5.1.61","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.5.1.61","rn:R00084",302,285,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,4942,5667,87.2066349038292,0.00137362637362637,1,0,0,9.24385283786282e-05,9,0,17,1,7,2,1.69381700139265e-18,0,"NHB"
"entry142","279","ec:4.2.1.24","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.24","rn:R00036",219,285,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,4987,5667,88.0007058408329,0.0010989010989011,1,3,0.5,9.15667063455728e-05,10,0,18,1,7,4,0,0,"NHB"
"entry143","280","ec:2.6.1.43","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.43","rn:R02271",159,219,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00860",0,0,5667,0,0,2,3,1,9.24556213017751e-05,10,0,19,1,7,3,0,0,"NHNB"
"entry144","281","ec:5.4.3.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.4.3.8","rn:R02272",159,349,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,4278,5667,75.489677077819,0.000824175824175824,1,3,0.5,9.0702947845805e-05,10,0,19,1,7,4,0,0,"NHB"
"entry145","282","ec:2.3.1.37","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.37","rn:R00830",80,371,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,1022,5667,18.0342332803953,0,3,3,1,9.33619643357296e-05,10,0,19,1,7,3,5.64633045303459e-17,0,"NHNB"
"entry146","283","ec:1.2.1.70","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.70","rn:R04109",159,456,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,4007,5667,70.7076054349744,0,0,0,0,8.98472596585804e-05,11,0,20,1,7,2,1.69381700139265e-18,0,"NHB"
"entry147","284","ec:6.1.1.17","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.1.1.17","rn:R05578",159,527,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,4954,5667,87.4183871536968,0,1,0,0,9.0702947845805e-05,11,0,21,1,7,1,1.2829703840309e-17,0,"NHNB"
"entry148","285","ec:4.99.1.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.99.1.4","rn:R02864",253,383,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,3320,5667,58.5847891300512,0.000641025641025641,3,3,0.5,9.61353585848875e-05,9,0,16,1,7,4,2.73532246820106e-17,0,"NHB"
"entry149","286","ec:1.3.1.76","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.76","rn:R03947",398,383,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,3211,5667,56.66137286042,0.000824175824175824,2,4,0.4,9.15750915750916e-05,9,0,15,1,7,5,0,0,"NHNB"
