"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ap_ec","eccentricity","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree"
"1","872","ec","00130",58,82,"ec:4.2.99.20",7,6,17,7,1.66666666666667,9,6,0.666666666666667,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0
"2","873","ec","00130",58,82,"ec:4.1.3.36",10,6,20,7,1.80952380952381,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,6,4,0.666666666666667,2,2,0
"3","874","ec","00130",58,82,"ec:6.2.1.26",9,6,19,6,1.8,7,5,0.571428571428571,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0
"4","875","ec","00130",58,82,"ec:4.2.1.113",8,6,18,7,1.68421052631579,8,6,0.5,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0
"5","876","ec","00130",58,82,"ec:2.2.1.9",8,6,16,6,1.64705882352941,10,6,0.8,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0
"6","878","ec","00130",58,82,"ec:1.14.13.240",13,6,25,9,2.07692307692308,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0,1,1,0
"7","879","ec","00130",58,82,"ec:4.1.1.98",12,6,24,9,2,2,2,0,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0
"8","883","ec","00130",58,82,"ec:4.1.3.40",10,6,18,8,1.57894736842105,8,4,1,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0
"9","884","ec","00130",58,82,"ec:5.4.4.2",9,6,15,7,1.5,11,6,0.909090909090909,17,9,1.29411764705882,6,3,1,6,4,0.666666666666667,2,2,0
"10","885","ec","00130",58,82,"ec:3.1.2.28",11,6,21,6,2.09090909090909,17,8,1.52941176470588,6,2,1.33333333333333,5,3,0.8,6,4,0.666666666666667,2,2,0
"11","887","ec","00130",58,82,"ec:1.13.11.27",4,6,27,8,2.14285714285714,14,7,1.14285714285714,2,2,0,6,3,1,6,4,0.666666666666667,2,2,0
"12","889","ec","00130",58,82,"ec:2.1.1.295",5,6,27,8,2.14285714285714,14,7,1,2,2,0,6,3,1,6,4,0.666666666666667,2,2,0
"13","894","ec","00130",58,82,"ec:2.1.1.163",13,6,23,5,2.33333333333333,17,7,1.76470588235294,6,6,2,3,3,0.666666666666667,6,4,0.666666666666667,2,2,0
"14","895","ec","00130",58,82,"ec:5.5.1.24",5,6,27,8,2.14285714285714,15,7,1.46666666666667,6,3,1,6,4,0.666666666666667,2,2,0,1,1,0
"15","896","ec","00130",58,82,"ec:2.5.1.74",12,6,22,5,2.08695652173913,17,8,1.52941176470588,6,2,1.33333333333333,4,2,1,6,4,0.666666666666667,2,2,0
"16","899","ec","00130",58,82,"ec:5.5.1.24",6,6,27,8,2.14285714285714,15,8,1.33333333333333,6,3,1,6,4,0.666666666666667,2,2,0,1,1,0
"17","901","ec","00130",58,82,"ec:2.5.1.115",4,6,27,8,2.14285714285714,5,5,1.6,11,6,0.909090909090909,6,3,1,6,4,0.666666666666667,2,2,0
"18","907","ec","00130",58,82,"ec:2.5.1.117",4,6,27,6,2.5,15,7,1.46666666666667,6,2,1.33333333333333,6,4,0.666666666666667,2,2,0,1,1,0
"19","920","ec","00130",58,82,"ec:4.2.1.151",10,6,21,6,2.72727272727273,5,3,1.2,17,7,1.76470588235294,6,6,2,6,4,0.666666666666667,2,2,0
"20","921","ec","00130",58,82,"ec:2.5.1.120",11,6,22,8,2.78260869565217,4,4,1,17,7,1.76470588235294,6,6,2,6,4,0.666666666666667,2,2,0
"21","924","ec","00130",58,82,"ec:5.5.1.24",5,6,27,6,2.92857142857143,15,7,1.73333333333333,6,6,2,6,4,0.666666666666667,2,2,0,1,1,0
"22","926","ec","00130",58,82,"ec:5.5.1.24",6,6,27,6,2.92857142857143,15,7,1.73333333333333,6,6,2,6,4,0.666666666666667,2,2,0,1,1,0
"23","928","ec","00130",58,82,"ec:2.5.1.116",4,6,27,6,2.92857142857143,11,4,2.18181818181818,6,6,2,6,4,0.666666666666667,2,2,0,5,3,0.8
"24","929","ec","00130",58,82,"ec:2.1.1.295",5,6,27,6,3.14285714285714,14,3,2.57142857142857,6,6,2.66666666666667,6,3,1.33333333333333,2,2,1,2,2,1
"25","930","ec","00130",58,82,"ec:1.6.5.12",3,6,27,6,2.92857142857143,17,7,2.11764705882353,6,6,2,4,4,0.5,2,2,0,1,1,0
"26","931","ec","00130",58,82,"ec:2.1.1.329",2,6,27,6,3.14285714285714,17,3,2.58823529411765,6,6,2.66666666666667,3,3,2,2,2,1,2,2,1
