"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree"
"1",5881,"ec","00942",43,114,2,5,"ec:2.3.1.172","<30",0,4,2,0.000566893424036281,0.00522648083623693,0.131957428243576,4,11,5,2.83333333333333,15,4,4.26666666666667,15,4,4.4,1,1,0,NA,NA,NA
"2",5884,"ec","00942",43,114,2,5,"ec:2.4.1.298","<30",8.86075949367089,3,8,0.000738007380073801,0.018815331010453,0.907851019774659,4,8,9,3.33333333333333,4,4,1,15,4,4.26666666666667,15,4,4.4,NA,NA,NA
"3",5885,"ec","00942",43,114,2,5,"ec:2.3.1.215","<30",1.26582278481013,3,3,0.000594883997620464,0.00929152148664344,0.346118022931156,4,10,5,2.90909090909091,2,2,0,15,4,4.26666666666667,15,4,4.4,NA,NA,NA
"4",5887,"ec","00942",43,114,2,5,"ec:2.3.1.171","<30",0,3,9,0.000789265982636148,0.00232288037166086,0,4,13,6,3.28571428571429,13,4,4.61538461538461,15,4,4.4,1,1,0,NA,NA,NA
"5",5897,"ec","00942",43,114,2,5,"ec:2.4.1.238","<30",0,4,2,0.000566893424036281,0.00174216027874564,8.57693456131338e-17,4,13,6,3.28571428571429,15,5,4.4,13,3,4.92307692307692,1,1,0,NA,NA,NA
"6",5899,"ec","00942",43,114,2,5,"ec:2.3.1.171","<30",0,3,9,0.000764525993883792,0.00813008130081301,3.49917128455192e-17,5,13,6,3.28571428571429,15,5,4.4,11,3,4.18181818181818,2,2,0,1,1,0
"7",5905,"ec","00942",43,114,2,5,"ec:2.3.1.153","<30",0,4,4,0.000566893424036281,0.00580720092915215,0,4,13,6,3.28571428571429,15,5,4.4,13,3,4.76923076923077,1,1,0,NA,NA,NA
"8",5908,"ec","00942",43,114,2,5,"ec:2.4.2.51","30<=x<80",40.5063291139241,4,8,0.000735835172921266,0.00584591560201316,0.692236045862313,4,11,4,3.83333333333333,15,5,4.4,15,4,4.4,1,1,0,NA,NA,NA
"9",5910,"ec","00942",43,114,2,5,"ec:2.4.2.51","30<=x<80",40.5063291139241,3,9,0.000677966101694915,0.00290360046457607,3.86437021797993e-17,4,13,5,4.28571428571429,13,4,4.15384615384615,15,4,4.4,1,1,0,NA,NA,NA
"10",5912,"ec","00942",43,114,2,5,"ec:2.4.2.51","30<=x<80",40.5063291139241,3,8,0.000659630606860158,0.00290360046457607,0,4,13,5,4.28571428571429,15,4,5.46666666666667,13,3,4.92307692307692,1,1,0,NA,NA,NA
