"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree"
"1",2611,"ec","00440",29,37,1,8,"ec:4.1.1.82","<30",7.82196470898077,6,6,0.00253807106598985,0.0634920634920635,2.66453525910033e-15,5,3,4,0.5,17,7,2,2,2,0,3,3,0,3,3,0,NA,NA,NA
"2",2614,"ec","00440",29,37,1,8,"ec:2.1.1.308","<30",0,5,4,0.00164473684210526,0.0145502645502645,1,5,19,6,2.1,2,2,0,3,3,0.666666666666667,3,3,0,1,1,0,NA,NA,NA
"3",2616,"ec","00440",29,37,1,8,"ec:2.1.1.326","<30",0,1,2,0.00123152709359606,0,1.6653345369377e-15,5,21,6,2.81818181818182,2,2,1,1,1,0,1,1,0,3,3,0.666666666666667,NA,NA,NA
"4",2622,"ec","00440",29,37,1,8,"ec:2.3.3.18","<30",0,1,2,0.00127551020408163,0.00132275132275132,5.91004257964911e-16,5,21,7,2.54545454545455,2,2,0,3,3,0,1,1,0,1,1,0,NA,NA,NA
"5",2624,"ec","00440",29,37,1,8,"ec:1.1.1.309","<30",0,5,6,0.00173913043478261,0.0833333333333333,1.20640467384064e-14,5,11,4,2.33333333333333,2,2,0,9,5,1.11111111111111,3,3,0.666666666666667,3,3,0,NA,NA,NA
"6",2625,"ec","00440",29,37,1,8,"ec:1.14.11.46","<30",1.31682907558599,7,4,0.00137174211248285,0.00925925925925926,6.8487332673725e-15,5,19,6,1.9,2,2,1,3,3,0.666666666666667,3,3,0,1,1,0,NA,NA,NA
"7",2626,"ec","00440",29,37,1,8,"ec:2.6.1.37","<30",19.831445878325,6,6,0.00224215246636771,0.0396825396825397,6.84445193628707e-15,5,15,6,1.25,5,3,0.8,2,2,1,3,3,0.666666666666667,3,3,0,NA,NA,NA
"8",2628,"ec","00440",29,37,1,8,"ec:2.7.7.14","<30",12.9575981037661,7,4,0.00127551020408163,0.0105820105820106,1.32373078722021e-14,5,19,5,1.7,2,2,1,3,3,0.666666666666667,3,3,0,1,1,0,NA,NA,NA
"9",2629,"ec","00440",29,37,1,8,"ec:1.13.11.73","<30",0.0263365815117198,4,4,0.00166944908180301,0.0687830687830688,1,5,15,6,2.5,2,2,0,3,3,0,5,5,0.8,3,3,0,NA,NA,NA
"10",2630,"ec","00440",29,37,1,8,"ec:2.7.8.37","<30",20.8322359757703,5,2,0.00141843971631206,0.0582010582010582,0.999999999999989,5,16,7,2.47058823529412,2,2,0,3,3,0,4,4,0.5,3,3,0,NA,NA,NA
"11",2631,"ec","00440",29,37,1,8,"ec:3.6.1.63","<30",22.649460100079,6,2,0.00136986301369863,0.0476190476190476,0.999999999999978,5,17,7,2.44444444444444,2,2,0,3,3,0,3,3,0,3,3,0,NA,NA,NA
"12",2632,"ec","00440",29,37,1,8,"ec:4.7.1.1","<30",19.9631287858836,7,3,0.00132275132275132,0.0343915343915344,0.999999999999967,6,18,6,2.52631578947368,2,2,0,3,3,0,3,3,0,1,1,0,1,1,0
