"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree","subgraph7_size","subgraph7_community","subgraph7_mean_degree","subgraph8_size","subgraph8_community","subgraph8_mean_degree","subgraph9_size","subgraph9_community","subgraph9_mean_degree"
"1",5134,"ec","00901",34,30,1,8,"ec:4.3.3.2","30<=x<70",32,3,3,0.00104058272632674,0.00473484848484848,0,9,1,2,0,8,3,2,2,2,0,5,5,1.6,2,2,1,9,3,1.55555555555556,2,2,1,2,2,1,2,2,1
"2",5136,"ec","00901",34,30,1,8,"ec:1.5.1.32","<30",0,3,4,0.00107991360691145,0,0,9,7,3,1.5,5,3,1.2,2,2,0,2,2,1,2,2,1,9,3,1.55555555555556,2,2,1,2,2,1,2,2,1
"3",5138,"ec","00901",34,30,1,8,"ec:1.14.14.104","<30",0,3,4,0.000946969696969697,0.00284090909090909,0,9,7,3,1.5,2,2,0,5,5,2.4,2,2,1,2,2,1,9,3,1.55555555555556,2,2,1,2,2,1,2,2,1
"4",5140,"ec","00901",34,30,1,8,"ec:1.3.1.73","<30",0,4,2,0.000918273645546373,0.000946969696969697,0,9,7,3,1.5,6,3,1.66666666666667,2,2,1,2,2,1,9,3,1.55555555555556,2,2,1,2,2,1,2,2,1,1,1,0
"5",5141,"ec","00901",34,30,1,8,"ec:2.3.1.160","<30",0,4,2,0.00089126559714795,0,0,9,7,4,1.75,1,1,0,6,6,2.33333333333333,2,2,0,2,2,0,9,4,1.55555555555556,2,2,0,2,2,0,2,2,0
"6",5147,"ec","00901",34,30,1,8,"ec:1.14.99.59","<30",0,2,4,0.0009765625,0.00852272727272727,0,9,3,4,1,8,3,2,2,2,0,3,3,0.666666666666667,2,2,1,9,3,1.55555555555556,2,2,1,2,2,1,2,2,1
"7",5149,"ec","00901",34,30,1,8,"ec:2.7.1.222","<30",0,3,3,0.000918273645546373,0.00473484848484848,0,9,5,6,1.66666666666667,8,3,2,2,2,0,2,2,1,9,3,1.55555555555556,2,2,1,2,2,1,2,2,1,1,1,0
"8",5161,"ec","00901",34,30,1,8,"ec:1.14.14.103","<30",0,6,2,0.000946073793755913,0.00189393939393939,0,9,7,4,1.75,8,3,2,2,2,0,2,2,0,6,3,1.33333333333333,2,2,0,2,2,1,2,2,1,2,2,1
"9",5162,"ec","00901",34,30,1,8,"ec:2.1.1.99","<30",0,6,2,0.000946073793755913,0.00568181818181818,0,9,7,4,1.75,8,3,2,2,2,0,2,2,0,6,3,1.33333333333333,2,2,0,2,2,1,2,2,1,2,2,1
"10",5163,"ec","00901",34,30,1,8,"ec:1.14.11.20","<30",0,7,2,0.000918273645546373,0.00378787878787879,0,9,7,4,1.75,8,3,2,2,2,0,2,2,0,7,3,1.71428571428571,2,2,1,2,2,1,2,2,1,1,1,0
"11",5165,"ec","00901",34,30,1,8,"ec:2.1.1.94","<30",0,5,2,0.00114810562571757,0,0,9,7,4,1.75,8,3,2,2,2,0,2,2,0,5,3,0.8,3,3,0,2,2,1,2,2,1,2,2,1
"12",5166,"ec","00901",34,30,1,8,"ec:1.14.14.50","<30",0,4,2,0.00100401606425703,0.00378787878787879,0,9,7,4,1.75,8,3,2,2,2,0,2,2,0,4,4,0.5,4,4,0.5,2,2,1,2,2,1,2,2,1
"13",5167,"ec","00901",34,30,1,8,"ec:1.1.99.41","<30",0,5,2,0.000974658869395711,0.00568181818181818,0,9,7,4,1.75,8,3,2,2,2,0,2,2,0,5,3,1.2,3,3,0.666666666666667,2,2,1,2,2,1,2,2,1
"14",5168,"ec","00901",34,30,1,8,"ec:1.14.14.50","<30",0,7,2,0.000918273645546373,0.00189393939393939,0,9,7,4,1.75,8,3,2,2,2,0,2,2,0,7,4,1.42857142857143,2,2,1,2,2,1,2,2,1,1,1,0
