"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree"
"1",4961,"ec","00860",130,277,1,34,"ec:2.4.1.17","<30",3.31745191459326,25,3,5.96302921884317e-05,0,0,4,123,20,4.32258064516129,1,1,0,3,3,0.666666666666667,2,2,0,NA,NA,NA
"2",4965,"ec","00860",130,277,1,34,"ec:1.3.7.2","<30",0.758778895359097,24,7,6.84556407447974e-05,0.00104469476744186,0,4,123,19,4.06451612903226,1,1,0,3,3,0,2,2,1,NA,NA,NA
"3",4979,"ec","00860",130,277,1,34,"ec:2.1.1.11","<30",6.1761072878066,24,3,5.96302921884317e-05,0,2.58892972280891e-16,4,84,14,3.97647058823529,40,7,4.7,3,3,0.666666666666667,2,2,0,NA,NA,NA
"4",4980,"ec","00860",130,277,1,34,"ec:6.6.1.1","<30",26.5219692959238,23,4,6.00925425154738e-05,0.00133236434108527,3.17111771140581e-17,4,83,15,3.38095238095238,41,11,3.26829268292683,3,3,0,2,2,1,NA,NA,NA
"5",4982,"ec","00860",130,277,1,34,"ec:4.1.1.37",">=80",83.4833245103229,20,5,7.42004897232322e-05,0.00109011627906977,0,4,57,16,2.13793103448276,67,18,3.58208955223881,3,3,0,2,2,1,NA,NA,NA
"6",4983,"ec","00860",130,277,1,34,"ec:4.2.1.75",">=80",87.2066349038292,20,3,6.19924369226954e-05,0.000968992248062015,1.00953484219672e-17,4,7,8,1.75,117,20,3.88034188034188,3,3,0,2,2,1,NA,NA,NA
"7",4984,"ec","00860",130,277,1,34,"ec:2.1.1.107","30<=x<80",73.9897653079231,19,4,5.96302921884317e-05,0,2.01231667217882e-17,4,76,12,5.35064935064935,48,10,2.25,3,3,0.666666666666667,2,2,0,NA,NA,NA
"8",4986,"ec","00860",130,277,1,34,"ec:2.5.1.61",">=80",87.2066349038292,21,2,6.10277065787868e-05,0.00090843023255814,3.17745979954824e-17,4,6,7,1.71428571428571,118,20,3.86440677966102,3,3,0,2,2,1,NA,NA,NA
"9",4987,"ec","00860",130,277,1,34,"ec:4.2.1.24",">=80",88.0007058408329,22,4,6.05583479682674e-05,0.000726744186046512,0,4,5,6,1,119,21,3.84873949579832,3,3,0,2,2,1,NA,NA,NA
"10",4989,"ec","00860",130,277,1,34,"ec:5.4.3.8","30<=x<80",75.489677077819,23,4,6.00925425154738e-05,0.000545058139534884,0,4,122,21,4,2,2,0,3,3,0,2,2,1,NA,NA,NA
