"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree"
"1",4805,"ec","00780",31,60,8,15,"ec:2.8.1.6",NA,71.228190215532,13,7,0.00165289256198347,0.214942528735632,0,2,19,5,2.4,11,11,4.18181818181818
"2",4806,"ec","00780",31,60,8,15,"ec:6.3.3.3",NA,61.3581936366746,12,3,0.00170648464163823,0.220689655172414,0,2,18,5,2.31578947368421,12,12,4
"3",4808,"ec","00780",31,60,8,15,"ec:2.3.1.47",NA,59.6989394457749,11,4,0.00111111111111111,0.0183908045977011,0,2,29,4,3.8,1,1,0
"4",4814,"ec","00780",31,60,8,15,"ec:3.1.1.85",NA,27.4204584331167,9,3,0.00209205020920502,0.214942528735632,0,2,11,4,2,19,2,4.42105263157895
"5",4815,"ec","00780",31,60,8,15,"ec:2.3.1.47",NA,59.6989394457749,10,5,0.00203252032520325,0.240229885057471,0,2,13,4,2,17,2,4.58823529411765
"6",4817,"ec","00780",31,60,8,15,"ec:1.1.1.100",NA,92.1997947314403,13,3,0.00263157894736842,0.0862068965517241,0,2,3,4,1,27,3,3.77777777777778
"7",4818,"ec","00780",31,60,8,15,"ec:4.2.1.59",NA,72.3571672938762,12,2,0.00259067357512953,0.110344827586207,0,2,4,5,1.6,26,3,3.84615384615385
"8",4819,"ec","00780",31,60,8,15,"ec:1.3.1.10",NA,59.4765651727677,11,3,0.00254452926208651,0.132183908045977,0,2,5,3,1.66666666666667,25,3,3.92
"9",4821,"ec","00780",31,60,8,15,"ec:1.1.1.100",NA,92.1997947314403,9,3,0.00226244343891403,0.183908045977011,0,2,8,3,1.77777777777778,22,3,4.09090909090909
"10",4822,"ec","00780",31,60,8,15,"ec:4.2.1.59",NA,72.3571672938762,8,2,0.0022075055187638,0.196551724137931,0,2,9,3,2,21,2,4.19047619047619
"11",4823,"ec","00780",31,60,8,15,"ec:1.3.1.10",NA,59.4765651727677,8,2,0.0021505376344086,0.206896551724138,0,2,10,3,2,20,2,4.3
