"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree"
"1",1777,"ec","00300",31,49,3,9,"ec:1.2.1.11",">=80",96.1940166401133,8,3,0.00175131348511384,0.0160919540229885,0,3,19,6,2.4,1,1,0,10,5,1.2
"2",1779,"ec","00300",31,49,3,9,"ec:4.3.3.7",">=80",92.9013984776067,7,3,0.00161550888529887,0.0413793103448276,0,3,3,4,1,17,6,2.82352941176471,10,6,1.4
"3",1780,"ec","00300",31,49,3,9,"ec:1.17.1.8",">=80",89.8920162860683,6,4,0.00156739811912226,0.0505747126436782,0,3,4,5,0.8,16,6,2.625,10,5,1.2
"4",1787,"ec","00300",31,49,3,9,"ec:5.1.1.7",">=80",82.6872012745619,5,6,0.00131926121372032,0.0758620689655172,1.61625864825097e-15,3,11,5,2.16666666666667,9,4,1.55555555555556,10,5,1.2
"5",1788,"ec","00300",31,49,3,9,"ec:4.1.1.20",">=80",87.2720835546114,6,6,0.00127551020408163,0.0666666666666667,1,3,15,6,2.5,10,5,1.2,5,3,0.8
"6",1789,"ec","00300",31,49,3,9,"ec:1.5.1.7","<30",15.3301469286599,7,4,0.00127551020408163,0.0528735632183908,0.999999999999999,3,18,7,2.42105263157895,10,6,1.4,2,2,0
"7",1790,"ec","00300",31,49,3,9,"ec:1.5.1.10","<30",2.47831474597274,8,2,0.00111111111111111,0.0195402298850575,0.999999999999998,3,19,6,2.4,10,6,1.4,1,1,0
"8",1795,"ec","00300",31,49,3,9,"ec:4.2.1.36","<30",2.37210125685962,3,3,0.0010752688172043,0,0,3,21,6,3,7,3,2,2,2,1
"9",1798,"ec","00300",31,49,3,9,"ec:6.3.2.13",">=80",83.6077181802089,6,4,0.0010752688172043,0,1,3,19,6,2.9,1,1,0,10,5,1.8
"10",1800,"ec","00300",31,49,3,9,"ec:4.2.1.114","<30",2.24818551956098,4,2,0.00111111111111111,0.00114942528735632,0,3,21,8,2.63636363636364,8,4,1.75,1,1,0
