"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ap_ec","eccentricity","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree"
"1","4841","ec","00790",60,130,"ec:4.1.3.38",10,3,55,9,4.32142857142857,1,1,0,3,3,0.666666666666667,NA,NA,NA
"2","4844","ec","00790",60,130,"ec:1.5.1.3",11,3,52,11,4.22641509433962,4,2,1.5,3,3,0.666666666666667,NA,NA,NA
"3","4850","ec","00790",60,130,"ec:4.1.2.25",9,3,53,9,4.14814814814815,3,3,0.666666666666667,3,3,0,NA,NA,NA
"4","4858","ec","00790",60,130,"ec:3.4.19.9",12,3,55,11,4.5,1,1,0,3,3,0,NA,NA,NA
"5","4860","ec","00790",60,130,"ec:4.2.3.12",9,3,41,9,3.52380952380952,15,5,3.86666666666667,3,3,0.666666666666667,NA,NA,NA
"6","4861","ec","00790",60,130,"ec:4.1.99.22",8,3,49,10,4.6,3,3,0,7,4,1.42857142857143,NA,NA,NA
"7","4862","ec","00790",60,130,"ec:2.8.1.12",10,3,51,10,4.57692307692308,3,3,0,5,3,1.2,NA,NA,NA
"8","4863","ec","00790",60,130,"ec:4.1.2.50",9,3,53,9,4.11111111111111,3,3,0.666666666666667,3,3,0.666666666666667,NA,NA,NA
"9","4864","ec","00790",60,130,"ec:4.3.99.3",10,3,54,9,4.25454545454545,2,2,0,3,3,0.666666666666667,NA,NA,NA
"10","4865","ec","00790",60,130,"ec:6.3.4.20",11,3,55,9,4.21428571428571,3,3,0.666666666666667,1,1,0,NA,NA,NA
"11","4868","ec","00790",60,130,"ec:6.3.2.33",1,3,57,12,4.41379310344828,1,1,0,1,1,0,NA,NA,NA
"12","4871","ec","00790",60,130,"ec:4.6.1.17",9,3,50,10,4.62745098039216,3,3,0,6,3,1.33333333333333,NA,NA,NA
"13","4872","ec","00790",60,130,"ec:2.7.7.75",11,3,52,11,4.52830188679245,3,3,0,4,4,1,NA,NA,NA
"14","4873","ec","00790",60,130,"ec:2.10.1.1",12,3,53,11,4.48148148148148,3,3,0,3,3,0.666666666666667,NA,NA,NA
"15","4890","ec","00790",60,130,"ec:5.1.99.8",10,3,55,12,4.42857142857143,3,3,0,1,1,0,NA,NA,NA
"16","4898","ec","00790",60,130,"ec:1.5.1.3",11,4,54,9,4.4,3,3,0,1,1,0,1,1,0
