"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ap_ec","eccentricity","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree"
"1","2951","ec","00513",29,24,"ec:3.2.1.113",1,6,5,4,0.666666666666667,7,4,1.14285714285714,7,4,1.14285714285714,1,1,0,7,4,1.14285714285714,1,1,0
"2","2954","ec","00513",29,24,"ec:2.4.1.68",5,6,3,4,0,5,5,0.8,5,3,1.2,7,4,1.14285714285714,7,4,1.14285714285714,1,1,0
"3","2958","ec","00513",29,24,"ec:3.2.1.113",5,6,3,4,0,5,5,0.8,5,3,1.2,7,4,1.14285714285714,7,4,1.14285714285714,1,1,0
"4","2959","ec","00513",29,24,"ec:2.4.1.101",4,6,3,4,0,5,5,0.8,2,2,0,4,4,1,7,4,1.14285714285714,7,4,1.14285714285714
"5","2960","ec","00513",29,24,"ec:3.2.1.114",3,6,3,4,0,5,5,0.8,3,3,0.666666666666667,3,3,0.666666666666667,7,4,1.14285714285714,7,4,1.14285714285714
"6","2961","ec","00513",29,24,"ec:2.4.1.143",4,6,3,4,0,5,5,0.8,4,4,1,2,2,0,7,4,1.14285714285714,7,4,1.14285714285714
"7","2962","ec","00513",29,24,"ec:3.2.1.113",3,6,3,4,0,3,3,0.666666666666667,7,4,1.14285714285714,7,4,1.14285714285714,7,4,1.14285714285714,1,1,0
"8","2963","ec","00513",29,24,"ec:2.4.1.101",2,6,3,4,0,2,2,0,2,2,0,7,4,1.14285714285714,7,4,1.14285714285714,7,4,1.14285714285714
"9","2964","ec","00513",29,24,"ec:3.2.1.114",3,6,3,4,0,3,3,0.666666666666667,7,4,1.14285714285714,7,4,1.14285714285714,7,4,1.14285714285714,1,1,0
"10","2967","ec","00513",29,24,"ec:3.2.1.113",5,6,3,4,0,5,5,0.8,7,4,1.14285714285714,5,3,1.2,7,4,1.14285714285714,1,1,0
"11","2968","ec","00513",29,24,"ec:2.4.1.101",4,6,3,4,0,5,5,0.8,7,4,1.14285714285714,2,2,0,4,4,1,7,4,1.14285714285714
"12","2969","ec","00513",29,24,"ec:3.2.1.114",3,6,3,4,0,5,5,0.8,7,4,1.14285714285714,3,3,0.666666666666667,3,3,0.666666666666667,7,4,1.14285714285714
"13","2970","ec","00513",29,24,"ec:2.4.1.68",4,6,3,4,0,5,5,0.8,7,4,1.14285714285714,4,4,1,2,2,0,7,4,1.14285714285714
"14","2971","ec","00513",29,24,"ec:2.4.1.214",5,6,3,4,0,5,5,0.8,7,4,1.14285714285714,5,3,1.2,7,4,1.14285714285714,1,1,0
"15","2973","ec","00513",29,24,"ec:2.4.2.38",5,6,3,4,0.5,5,5,0.8,7,4,1.14285714285714,7,4,1.14285714285714,5,2,1.6,1,1,0
"16","2975","ec","00513",29,24,"ec:3.2.1.113",5,6,3,4,0.5,5,5,0.8,7,4,1.14285714285714,7,4,1.14285714285714,1,1,0,5,3,1.2
"17","2976","ec","00513",29,24,"ec:2.4.1.101",4,6,3,4,0.5,5,5,0.8,7,4,1.14285714285714,7,4,1.14285714285714,2,2,1,4,4,1
"18","2977","ec","00513",29,24,"ec:3.2.1.114",3,6,3,4,0.5,5,5,0.8,7,4,1.14285714285714,7,4,1.14285714285714,3,3,1.33333333333333,3,3,0.666666666666667
"19","2978","ec","00513",29,24,"ec:2.4.1.143",4,6,3,4,0.5,5,5,0.8,7,4,1.14285714285714,7,4,1.14285714285714,4,2,1.5,2,2,0
