"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree"
"1",3452,"ec","00562",56,141,7,13,"ec:2.7.1.159",NA,6.21384586676619,10,4,0.000370096225018505,0.0181818181818182,2.90532656795779e-16,2,49,8,5.04,6,2,2.66666666666667,NA,NA,NA
"2",3453,"ec","00562",56,141,7,13,"ec:2.7.1.140",NA,8.80761336070162,11,4,0.000356252226576416,0.0168350168350168,1.73521798667162e-16,2,50,8,5.01960784313725,5,5,2.4,NA,NA,NA
"3",3475,"ec","00562",56,141,7,13,"ec:2.7.1.158",NA,8.3597686135473,12,5,0.000343053173241852,0.00808080808080808,1.65647391466288e-16,2,53,9,4.96296296296296,2,2,1,NA,NA,NA
"4",3477,"ec","00562",56,141,7,13,"ec:1.1.1.18",NA,25.4525097966038,7,12,0.000509424350483953,0.0911784511784512,0.561240807144071,2,44,6,4.84444444444444,11,6,1.45454545454545,NA,NA,NA
"5",3478,"ec","00562",56,141,7,13,"ec:4.2.1.44",NA,24.0156745661504,8,5,0.000355239786856128,0.0572390572390572,0.534323218884092,2,49,7,5.16,6,4,1,NA,NA,NA
"6",3479,"ec","00562",56,141,7,13,"ec:3.7.1.22",NA,23.362567643217,9,2,0.000348918353105373,0.0471380471380471,0.206759149685769,2,50,7,5.2156862745098,5,5,0.8,NA,NA,NA
"7",3480,"ec","00562",56,141,7,13,"ec:5.3.1.30",NA,23.2692666542265,10,2,0.000342700479780672,0.0363636363636364,0.0800065287599931,2,51,7,5.15384615384615,4,4,0.5,NA,NA,NA
"8",3481,"ec","00562",56,141,7,13,"ec:2.7.1.92",NA,22.6721403246874,11,2,0.000336587007741501,0.0249158249158249,0.0309589425858632,2,52,8,5.09433962264151,3,3,0,NA,NA,NA
"9",3482,"ec","00562",56,141,7,13,"ec:4.1.2.29",NA,2.68706848292592,12,3,0.000330578512396694,0.0131313131313131,0.0119797239161569,3,53,8,5.07407407407407,1,1,0,1,1,0
"10",3490,"ec","00562",56,141,7,13,"ec:5.3.99.11",NA,7.14685575667102,8,5,0.000361663652802893,0.00202020202020202,0.385249082081952,2,54,9,4.94545454545455,1,1,0,NA,NA,NA
