"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree"
"1",2434,"ec","00400",53,169,6,12,"ec:4.2.3.5",">=70",90.0427715996578,7,5,0.00153374233128834,0,0,2,16,6,2,36,8,6.27777777777778,NA,NA,NA
"2",2438,"ec","00400",53,169,6,12,"ec:4.1.1.48",">=70",81.4542343883661,11,3,0.000846740050804403,0.0248868778280543,0,3,50,6,6.50980392156863,1,1,0,1,1,0
"3",2439,"ec","00400",53,169,6,12,"ec:5.3.1.24",">=70",81.1291702309666,10,2,0.000832639467110741,0.0361990950226244,0,2,49,5,6.6,3,3,1.33333333333333,NA,NA,NA
"4",2440,"ec","00400",53,169,6,12,"ec:2.4.2.18",">=70",81.180496150556,9,2,0.000818330605564648,0.0467571644042232,0,2,48,10,6.69387755102041,4,2,1.5,NA,NA,NA
"5",2441,"ec","00400",53,169,6,12,"ec:4.1.3.27",">=70",82.3952095808383,8,5,0.000803858520900322,0.0565610859728507,0,2,47,9,6.66666666666667,5,2,1.6,NA,NA,NA
"6",2442,"ec","00400",53,169,6,12,"ec:5.4.99.5",">=70",83.2164242942686,8,11,0.000788022064617809,0.0712669683257919,0,2,25,8,2.23076923076923,27,4,7.03703703703704,NA,NA,NA
"7",2458,"ec","00400",53,169,6,12,"ec:2.5.1.19",">=70",89.2899914456801,6,2,0.000442869796279894,0.00377073906485671,0,2,15,6,2,37,10,6.16216216216216,NA,NA,NA
"8",2459,"ec","00400",53,169,6,12,"ec:2.7.1.71",">=70",89.5808383233533,7,4,0.000434593654932638,0.00735294117647059,0,2,14,6,1.73333333333333,38,10,6.05263157894737,NA,NA,NA
"9",2461,"ec","00400",53,169,6,12,"ec:4.2.1.10",">=70",90.1283147989735,9,9,0.000417885499373172,0.0113122171945701,0,2,9,5,1,43,11,5.86046511627907,NA,NA,NA
"10",2463,"ec","00400",53,169,6,12,"ec:4.2.3.4",">=70",85.9709153122327,10,6,0.000384615384615385,0.00358220211161388,0,2,51,11,6.34615384615385,1,1,0,NA,NA,NA
"11",2472,"ec","00400",53,169,6,12,"ec:1.4.1.24","<30",3.84944396920445,10,6,0.000362844702467344,0,0,2,49,5,6.44,3,3,0.666666666666667,NA,NA,NA
"12",2473,"ec","00400",53,169,6,12,"ec:2.2.1.10","<30",3.25064157399487,11,3,0.000384615384615385,0,0,3,50,5,6.3921568627451,1,1,0,1,1,0
