"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree"
"1",5369,"ec","00906",107,255,1,14,"ec:1.14.99.44",NA,5.14038876889849,2,2,9.0702947845805e-05,0,2.81110239330365e-17,5,2,3,0,91,15,4.35164835164835,8,4,1.25,3,3,0,2,2,0,NA,NA,NA
"2",5373,"ec","00906",107,255,1,14,"ec:1.3.8.2",NA,2.98056155507559,3,2,8.8999644001424e-05,8.98472596585804e-05,1.76794941193778e-17,5,3,4,0,91,15,4.35164835164835,8,4,1.25,3,3,0,1,1,0,NA,NA,NA
"3",5376,"ec","00906",107,255,1,14,"ec:1.3.99.39",NA,9.28725701943845,8,8,0.000115767538782125,0.00355445742238195,0.394088984297122,5,5,6,0.333333333333333,89,20,4.35955056179775,8,4,1.25,3,3,0,1,1,0,NA,NA,NA
"4",5377,"ec","00906",107,255,1,14,"ec:1.3.99.39",NA,9.28725701943845,9,7,9.15918666422422e-05,0.00356993111710093,0.218791075064512,5,5,6,0.333333333333333,89,15,4.40449438202247,8,4,1.25,3,3,0,1,1,0,NA,NA,NA
"5",5386,"ec","00906",107,255,1,14,"ec:2.1.1.210",NA,4.44924406047516,11,3,9.24556213017751e-05,0.000359389038634322,1.65974497412149e-17,5,5,6,0.333333333333333,86,14,4.44186046511628,4,4,1.5,8,4,1.25,3,3,0,NA,NA,NA
"6",5387,"ec","00906",107,255,1,14,"ec:2.1.1.210",NA,4.44924406047516,13,2,8.98391878537418e-05,0.000179694519317161,3.54687124677145e-17,5,5,6,0.333333333333333,89,16,4.38202247191011,1,1,0,8,4,1.25,3,3,0,NA,NA,NA
"7",5389,"ec","00906",107,255,1,14,"ec:2.1.1.210",NA,4.44924406047516,9,3,0.00012012012012012,0,2.81110239330365e-17,5,5,6,0.333333333333333,88,16,4.40909090909091,2,2,0,8,4,1.25,3,3,0,NA,NA,NA
"8",5390,"ec","00906",107,255,1,14,"ec:2.1.1.210",NA,4.44924406047516,10,2,0.000119731800766284,0,2.81110239330365e-17,5,5,6,0.333333333333333,86,16,4.41860465116279,4,4,0.5,8,4,1.25,3,3,0,NA,NA,NA
"9",5391,"ec","00906",107,255,1,14,"ec:1.3.99.27",NA,4.57883369330454,12,2,8.8999644001424e-05,0.000179694519317161,3.17877768105701e-17,5,5,6,0.333333333333333,88,16,4.40909090909091,2,2,1,8,4,1.25,3,3,0,NA,NA,NA
"10",5392,"ec","00906",107,255,1,14,"ec:1.3.99.27",NA,4.57883369330454,10,3,9.0702947845805e-05,0.000539083557951483,2.71057653272007e-17,5,5,6,0.333333333333333,5,5,1.6,85,14,4.47058823529412,8,4,1.25,3,3,0,NA,NA,NA
