"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree"
"1",2501,"ec","00402",8,7,4,7,"ec:1.14.11.59",">=80",100,6,2,6,4,1.42857142857143,1,1,0
"2",2502,"ec","00402",8,7,4,7,"ec:2.4.1.202","<30",25,5,2,5,3,1.33333333333333,2,2,1
"3",2503,"ec","00402",8,7,4,7,"ec:1.14.14.110","30<=x<80",50,4,2,4,3,1.2,3,3,1.33333333333333
"4",2504,"ec","00402",8,7,4,7,"ec:1.14.14.109","30<=x<80",50,4,2,3,4,1,4,2,1.5
"5",2505,"ec","00402",8,7,4,7,"ec:1.14.14.157","30<=x<80",50,5,2,2,3,0.666666666666667,5,2,1.6
"6",2506,"ec","00402",8,7,4,7,"ec:1.14.14.153","30<=x<80",50,6,2,1,2,0,6,3,1.66666666666667
