"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ap_ec","ap_group","eccentricity","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree"
"1",1733,"ec","00281",11,9,"ec:1.1.1.35","<30",1,4,3,4,0,5,5,0.8,1,1,0,1,1,0
"2",1735,"ec","00281",11,9,"ec:4.2.1.57","<30",2,4,3,4,0,1,1,0,3,3,0,3,3,0.666666666666667
"3",1742,"ec","00281",11,9,"ec:1.2.1.86","<30",1,4,1,2,0,5,5,1.2,3,3,0.666666666666667,1,1,0
