"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree"
"1",586,"ec","00062",47,61,2,24,"ec:1.3.1.38",">=70",84.963768115942,23,3,0.000900900900900901,0.0144927536231884,0,4,32,8,2.48484848484848,1,1,0,8,8,2,5,3,0.8
"2",588,"ec","00062",47,61,2,24,"ec:1.1.1.211","30<=x<70",46.3768115942029,21,3,0.000871839581517001,0.0396135265700483,0,4,29,7,2.46666666666667,4,4,1,8,8,2,5,3,0.8
"3",589,"ec","00062",47,61,2,24,"ec:2.3.1.16","30<=x<70",53.2608695652174,20,2,0.000824402308326463,0.0502415458937198,0,4,28,7,2.48275862068966,5,3,1.2,8,8,2,5,3,0.8
"4",590,"ec","00062",47,61,2,24,"ec:1.3.1.38",">=70",84.963768115942,19,3,0.000810372771474878,0.0603864734299517,0,4,27,7,2.5,6,3,1.66666666666667,8,8,2,5,3,0.8
"5",592,"ec","00062",47,61,2,24,"ec:1.1.1.211","30<=x<70",46.3768115942029,17,3,0.00078064012490242,0.0748792270531401,0,4,24,6,2.48,9,3,1.77777777777778,8,8,2,5,3,0.8
"6",593,"ec","00062",47,61,2,24,"ec:2.3.1.16","30<=x<70",53.2608695652174,16,2,0.000739644970414201,0.0811594202898551,0,4,23,6,2.5,10,3,1.8,8,8,2,5,3,0.8
"7",594,"ec","00062",47,61,2,24,"ec:1.3.1.38",">=70",84.963768115942,15,3,0.000725689404934688,0.0869565217391304,0,4,22,6,2.52173913043478,11,3,2,8,8,2,5,3,0.8
"8",596,"ec","00062",47,61,2,24,"ec:1.1.1.211","30<=x<70",46.3768115942029,13,3,0.000696864111498258,0.0908212560386473,0,4,19,5,2.4,14,4,2,8,8,2,5,3,0.8
"9",597,"ec","00062",47,61,2,24,"ec:2.3.1.16","30<=x<70",53.2608695652174,12,2,0.000661813368630046,0.0927536231884058,0,4,18,5,2.42105263157895,15,4,2,8,8,2,5,3,0.8
"10",598,"ec","00062",47,61,2,24,"ec:1.3.1.38",">=70",84.963768115942,13,3,0.000648508430609598,0.0942028985507246,0,4,17,5,2.44444444444444,16,4,2.125,8,8,2,5,3,0.8
"11",602,"ec","00062",47,61,2,24,"ec:2.3.1.16","30<=x<70",53.2608695652174,16,3,0.000575373993095512,0.0821256038647343,0,4,12,4,2.30769230769231,21,5,2.28571428571429,8,8,2,5,3,0.8
"12",603,"ec","00062",47,61,2,24,"ec:1.3.1.38",">=70",84.963768115942,17,3,0.000563380281690141,0.078743961352657,0,4,11,4,2.16666666666667,22,5,2.27272727272727,8,8,2,5,3,0.8
"13",607,"ec","00062",47,61,2,24,"ec:2.3.1.16","30<=x<70",53.2608695652174,20,3,0.000515463917525773,0.0555555555555556,0,4,6,7,1.71428571428571,27,6,2.44444444444444,8,8,2,5,3,0.8
"14",608,"ec","00062",47,61,2,24,"ec:1.3.1.38",">=70",84.963768115942,21,3,0.000504540867810293,0.0468599033816425,0,4,5,6,1.33333333333333,28,6,2.42857142857143,8,8,2,5,3,0.8
"15",623,"ec","00062",47,61,2,24,"ec:1.1.1.330",">=70",91.4855072463768,3,2,0.000504795557799091,0,0,4,34,8,2.45714285714286,8,3,2.5,3,3,0.666666666666667,1,1,0
"16",624,"ec","00062",47,61,2,24,"ec:1.3.1.93",">=70",91.4855072463768,3,2,0.000472589792060492,0.000966183574879227,0,4,34,8,2.45714285714286,8,3,2.5,3,3,0.666666666666667,1,1,0
"17",625,"ec","00062",47,61,2,24,"ec:4.2.1.134",">=70",92.2101449275362,2,2,0.000482858522452921,0.000966183574879227,0,4,34,8,2.45714285714286,8,3,2.5,2,2,0,2,2,0
