"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree"
"1",2001,"ec","00340",41,70,1,8,"ec:3.5.2.7",NA,48.2006125574273,6,4,0.000901713255184851,0.0358974358974359,0,4,9,4,1.4,24,9,3.25,4,4,2.5,3,3,0,NA,NA,NA
"2",2002,"ec","00340",41,70,1,8,"ec:4.2.1.49",NA,48.3728943338438,5,3,0.000880281690140845,0.0416666666666667,0,4,9,4,1.4,23,8,3.21739130434783,5,5,2.4,3,3,0,NA,NA,NA
"3",2003,"ec","00340",41,70,1,8,"ec:4.3.1.3",NA,50.8805513016845,4,9,0.000858369098712446,0.0423076923076923,0,4,9,4,1.4,21,7,2.66666666666667,7,7,1.71428571428571,3,3,0,NA,NA,NA
"4",2005,"ec","00340",41,70,1,8,"ec:2.1.1.22",NA,8.46094946401225,6,5,0.000777000777000777,0.00576923076923077,0,5,9,4,1.4,1,1,0,26,9,3.38461538461538,3,3,0,1,1,0
"5",2008,"ec","00340",41,70,1,8,"ec:3.5.3.5",NA,0,1,2,0.000641025641025641,0,0,4,9,4,1.4,29,10,3.31034482758621,1,1,0,1,1,0,NA,NA,NA
"6",2011,"ec","00340",41,70,1,8,"ec:1.2.1.3",NA,59.0543644716692,7,3,0.000640614990390775,0.00256410256410256,0,4,9,4,1.4,26,9,3.38461538461538,3,3,0.666666666666667,2,2,1,NA,NA,NA
"7",2012,"ec","00340",41,70,1,8,"ec:1.4.3.4",NA,24.3491577335375,7,2,0.000641025641025641,0,0,4,9,4,1.4,27,9,3.25925925925926,3,3,0.666666666666667,1,1,0,NA,NA,NA
"8",2014,"ec","00340",41,70,1,8,"ec:1.4.3.22",NA,2.92879019908116,6,3,0.000625,0.00192307692307692,0,4,9,4,1.4,25,9,3.44,3,3,0.666666666666667,3,3,2,NA,NA,NA
"9",2015,"ec","00340",41,70,1,8,"ec:2.1.1.8",NA,2.98621745788668,6,3,0.000609756097560976,0,0,4,9,5,1.6,26,7,4.07692307692308,3,3,1.33333333333333,2,2,1,NA,NA,NA
"10",2019,"ec","00340",41,70,1,8,"ec:3.1.3.15",NA,54.9770290964778,7,2,0.000640614990390775,0.00128205128205128,0,4,7,4,1.25,1,1,0,29,11,3.10344827586207,3,3,0,NA,NA,NA
"11",2020,"ec","00340",41,70,1,8,"ec:2.6.1.9",NA,91.2519142419602,6,2,0.000625,0.00128205128205128,0,4,6,3,1.42857142857143,2,2,1,29,11,3.10344827586207,3,3,0,NA,NA,NA
"12",2021,"ec","00340",41,70,1,8,"ec:4.2.1.19",NA,89.3376722817764,5,2,0.000609756097560976,0,0,4,5,3,1.33333333333333,3,3,1.33333333333333,29,10,3.44827586206897,3,3,0.666666666666667,NA,NA,NA
"13",2022,"ec","00340",41,70,1,8,"ec:5.3.1.16",NA,89.509954058193,5,2,0.00067476383265857,0,0,4,3,4,0,5,5,0.4,29,11,3.10344827586207,3,3,0,NA,NA,NA
"14",2023,"ec","00340",41,70,1,8,"ec:3.5.4.19",NA,88.4762633996937,6,2,0.000625,0.000641025641025641,0,4,2,3,0,6,3,1,29,11,3.10344827586207,3,3,0,NA,NA,NA
"15",2024,"ec","00340",41,70,1,8,"ec:3.6.1.31",NA,86.4088820826952,7,2,0.000609756097560976,0,0,4,1,2,0,7,2,1.42857142857143,29,10,3.44827586206897,3,3,0.666666666666667,NA,NA,NA
"16",2025,"ec","00340",41,70,1,8,"ec:4.3.2.10",NA,90.2565084226646,4,2,0.000625,0.000641025641025641,0,4,4,5,0.8,4,4,1,29,10,3.44827586206897,3,3,0.666666666666667,NA,NA,NA
"17",2032,"ec","00340",41,70,1,8,"ec:2.1.1.44",NA,7.67611026033691,5,9,0.00080450522928399,0.0192307692307692,0,4,9,4,1.4,24,8,3.16666666666667,3,3,0.666666666666667,4,4,0.5,NA,NA,NA
"18",2037,"ec","00340",41,70,1,8,"ec:4.1.1.22",NA,9.95405819295559,5,9,0.000694444444444444,0.0181623931623932,0,4,9,4,1.4,21,7,3.42857142857143,3,3,0,7,3,1.71428571428571,NA,NA,NA
