"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree"
"1",2044,"ec","00350",89,429,1,14,"ec:1.13.11.4",NA,10.2896914973664,13,5,0.000132135306553911,0.000914315569487983,0,3,83,15,9.80952380952381,2,2,0,3,3,0.666666666666667
"2",2046,"ec","00350",89,429,1,14,"ec:5.2.1.2",NA,17.8329571106095,9,2,0.000271886895051659,0.00640020898641588,0,3,77,14,9.56410256410256,2,2,0,9,6,1.11111111111111
"3",2047,"ec","00350",89,429,1,14,"ec:1.13.11.5",NA,35.3461249059443,8,3,0.000268961807423346,0.0125391849529781,0,3,76,16,9.32467532467532,2,2,0,10,7,1
"4",2048,"ec","00350",89,429,1,14,"ec:1.13.11.15",NA,9.16102332580888,9,5,0.000317258883248731,0.0146290491118077,0,3,4,5,0.8,2,2,0,82,16,9.80487804878049
"5",2049,"ec","00350",89,429,1,14,"ec:1.14.14.9",NA,18.2844243792325,8,7,0.000321130378933847,0.0188740856844305,0,3,7,5,1.25,2,2,0,79,16,9.56962025316456
"6",2068,"ec","00350",89,429,1,14,"ec:5.3.3.10",NA,19.3002257336343,11,3,0.000130616509926855,0.000783699059561128,0,3,85,15,9.86046511627907,2,2,0,1,1,0
"7",2085,"ec","00350",89,429,1,14,"ec:3.7.1.2",NA,36.267870579383,10,3,0.000329706561160567,0,0,3,78,16,9.49367088607595,2,2,0,8,5,1.25
"8",2097,"ec","00350",89,429,1,14,"ec:1.1.1.1",NA,80.8126410835214,13,4,0.000130616509926855,0.000696621386276559,0,3,85,17,9.83720930232558,2,2,0,1,1,0
"9",2102,"ec","00350",89,429,1,14,"ec:1.14.17.1",NA,4.38299473288187,11,9,0.000288683602771363,0.033307210031348,0,3,74,13,10.56,2,2,0,12,5,2.5
"10",2111,"ec","00350",89,429,1,14,"ec:2.6.1.49",NA,0,10,14,0.000264620269912675,0.0137206423844355,0.0636822747664608,3,84,15,9.95294117647059,2,2,0,2,2,0
"11",2119,"ec","00350",89,429,1,14,"ec:1.1.1.237",NA,0.18811136192626,11,2,0.000129132231404959,0.00666144200626959,0.012132295958295,3,85,15,9.88372093023256,2,2,0,1,1,0
