"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ap_ec","eccentricity","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree"
"1","5229","ec","00903",33,33,"ec:1.14.14.53",4,5,14,7,1.06666666666667,4,4,0.5,6,6,0.333333333333333,4,4,0.5,4,4,0,NA,NA,NA
"2","5230","ec","00903",33,33,"ec:1.14.13.107",5,5,14,7,1.73333333333333,7,3,2,3,3,1.33333333333333,4,4,0.5,4,4,1,NA,NA,NA
"3","5231","ec","00903",33,33,"ec:1.1.1.144",6,5,12,6,1.07692307692308,11,7,0.909090909090909,1,1,0,4,4,0.5,4,4,0,NA,NA,NA
"4","5232","ec","00903",33,33,"ec:1.14.14.51",4,5,7,5,1.25,11,5,1.81818181818182,6,6,1.33333333333333,4,4,0.5,4,4,1,NA,NA,NA
"5","5233","ec","00903",33,33,"ec:1.14.14.52",5,5,11,8,0.666666666666667,11,8,0.545454545454545,2,2,0,4,4,0.5,4,4,0,NA,NA,NA
"6","5235","ec","00903",33,33,"ec:1.1.1.275",5,5,14,6,1.2,5,3,1.2,5,5,0.4,4,4,0.5,4,4,0,NA,NA,NA
"7","5236","ec","00903",33,33,"ec:3.3.2.8",6,5,14,6,1.2,8,6,0.5,2,2,1,4,4,0.5,4,4,0,NA,NA,NA
"8","5238","ec","00903",33,33,"ec:1.1.1.243",5,5,8,6,0.666666666666667,11,7,0.909090909090909,5,5,0,4,4,0.5,4,4,0,NA,NA,NA
"9","5239","ec","00903",33,33,"ec:1.3.99.25",6,6,9,6,0.8,11,7,0.909090909090909,3,3,0,4,4,0.5,4,4,0,1,1,0
"10","5240","ec","00903",33,33,"ec:1.1.1.297",7,5,14,6,1.2,9,6,0.666666666666667,4,4,0.5,4,4,0,1,1,0,NA,NA,NA
"11","5241","ec","00903",33,33,"ec:1.3.99.25",6,5,14,6,1.2,6,3,1.33333333333333,4,4,0.5,4,4,0.5,4,4,0,NA,NA,NA
"12","5249","ec","00903",33,33,"ec:3.3.2.8",6,5,11,5,1.33333333333333,11,5,1.27272727272727,4,4,0.5,2,2,0,4,4,0,NA,NA,NA
"13","5250","ec","00903",33,33,"ec:1.14.13.107",5,5,10,5,1.09090909090909,11,5,1.27272727272727,4,4,0.5,3,3,0.666666666666667,4,4,0,NA,NA,NA
"14","5251","ec","00903",33,33,"ec:1.1.1.297",7,5,12,5,1.38461538461538,11,5,1.27272727272727,4,4,0.5,4,4,0,1,1,0,NA,NA,NA
"15","5256","ec","00903",33,33,"ec:1.14.13.105",1,6,14,5,1.46666666666667,11,5,1.27272727272727,1,1,0,4,4,0,1,1,0,1,1,0
"16","5257","ec","00903",33,33,"ec:1.14.13.105",7,5,14,7,1.33333333333333,9,4,1.77777777777778,4,4,0.5,4,4,0.5,1,1,0,NA,NA,NA
"17","5258","ec","00903",33,33,"ec:1.14.13.105",7,5,12,4,1.38461538461538,11,5,1.27272727272727,4,4,0.5,4,4,0,1,1,0,NA,NA,NA
"18","5259","ec","00903",33,33,"ec:1.14.13.105",1,6,14,7,1.33333333333333,11,5,1.63636363636364,4,4,0.5,1,1,0,1,1,0,1,1,0
