"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree","subgraph7_size","subgraph7_community","subgraph7_mean_degree","subgraph8_size","subgraph8_community","subgraph8_mean_degree"
"1",5270,"ec","00904",80,203,1,10,"ec:4.2.3.29","<30",1.85185185185185,7,6,0.000166500166500167,0.00292112950340798,0,7,62,13,5.33333333333333,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,3,3,0,NA,NA,NA
"2",5271,"ec","00904",80,203,1,10,"ec:4.2.3.18","<30",0,6,10,0.000353107344632768,0.00576111652061019,0.00553519943061238,7,61,12,5.35483870967742,4,4,1,2,2,0,4,4,1,2,2,0,4,4,0,2,2,0,NA,NA,NA
"3",5275,"ec","00904",80,203,1,10,"ec:5.5.1.13",">=70",87.962962962963,6,16,0.000504540867810293,0.014930217461863,6.28919760237442e-18,7,13,10,0.571428571428571,4,4,1,2,2,0,4,4,1,52,15,4.88461538461539,2,2,0,2,2,0,NA,NA,NA
"4",5276,"ec","00904",80,203,1,10,"ec:5.5.1.12","<30",0.925925925925926,5,20,0.000354735721887194,0.0230444660824408,0.0107768413756779,7,42,14,4.18604651162791,4,4,1,2,2,0,4,4,1,2,2,0,23,9,2.08695652173913,2,2,0,NA,NA,NA
"5",5278,"ec","00904",80,203,1,10,"ec:4.2.3.17","<30",0,6,12,0.000210349179638199,0.00973709834469328,0.013258667967899,7,60,12,5.21311475409836,4,4,1,2,2,0,4,4,1,5,5,0.4,2,2,0,2,2,0,NA,NA,NA
"6",5279,"ec","00904",80,203,1,10,"ec:5.5.1.14","<30",0.925925925925926,6,16,0.000207210940737671,0.0136319376825706,0.0227607939922739,7,57,13,4.89655172413793,4,4,1,2,2,0,4,4,1,2,2,0,8,5,0.75,2,2,0,NA,NA,NA
"7",5280,"ec","00904",80,203,1,10,"ec:1.14.99.37","<30",0,7,3,0.000216637781629116,0.0068159688412853,0,7,61,12,5.48387096774194,4,4,1,2,2,0,4,4,1,4,4,0.5,2,2,0,2,2,0,NA,NA,NA
"8",5281,"ec","00904",80,203,1,10,"ec:4.2.3.19",">=70",87.037037037037,7,6,0.000513083632632119,0.00925024342745862,0,7,1,2,0,4,4,0.5,2,2,0,4,2,1,64,14,5.21875,2,2,0,2,2,0,NA,NA,NA
"9",5282,"ec","00904",80,203,1,10,"ec:2.3.1.162","<30",0,8,3,0.000219394471259324,0.00373255436546576,0,7,63,13,5.34375,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,2,2,0,NA,NA,NA
"10",5285,"ec","00904",80,203,1,10,"ec:1.14.14.105","<30",0,9,2,0.000226090888537192,0,9.99312563236124e-18,7,64,14,5.29230769230769,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,1,1,0,NA,NA,NA
