"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree"
"1",5974,"ec","00944",40,69,3,7,"ec:2.4.1.81","<30",0,4,5,0.000798084596967278,0.00168690958164642,1.04060125403034e-16,3,10,6,1.09090909090909,3,3,0,26,11,2.61538461538462,NA,NA,NA
"2",5975,"ec","00944",40,69,3,7,"ec:2.4.2.25","<30",0,5,3,0.000657462195923734,0.000674763832658569,2.9174914523013e-16,3,12,6,2,1,1,0,26,10,2.84615384615385,NA,NA,NA
"3",5978,"ec","00944",40,69,3,7,"ec:2.4.1.81","<30",0,4,5,0.000693000693000693,0.00269905533063428,2.97750586818085e-16,3,12,6,1.84615384615385,26,11,2.61538461538462,1,1,0,NA,NA,NA
"4",5979,"ec","00944",40,69,3,7,"ec:2.4.1.189","<30",0,4,5,0.000641025641025641,0,1.02017565883645e-15,3,10,4,2.36363636363636,3,3,1.33333333333333,26,8,3.38461538461538,NA,NA,NA
"5",5980,"ec","00944",40,69,3,7,"ec:2.4.1.190","<30",0,5,3,0.000674763832658569,0.00134952766531714,1.15748361602842e-16,4,11,7,1.33333333333333,1,1,0,26,11,2.61538461538462,1,1,0
"6",5986,"ec","00944",40,69,3,7,"ec:2.1.1.76","<30",0,5,6,0.000846740050804403,0.00472334682860999,5.42235746407776e-16,3,14,8,1.73333333333333,23,10,2.43478260869565,2,2,0,NA,NA,NA
"7",5987,"ec","00944",40,69,3,7,"ec:2.4.1.91","<30",10.1123595505618,4,6,0.000657462195923734,0.00269905533063428,8.1494325266984e-16,3,14,8,2.53333333333333,21,8,3.42857142857143,4,4,0.5,NA,NA,NA
"8",5988,"ec","00944",40,69,3,7,"ec:2.4.1.91","<30",10.1123595505618,5,9,0.000798084596967278,0.0300269905533063,0.230292578846119,3,14,8,1.73333333333333,19,12,1.89473684210526,6,4,0.666666666666667,NA,NA,NA
"9",5991,"ec","00944",40,69,3,7,"ec:2.4.1.159","30<=x<80",64.0449438202247,6,5,0.000798084596967278,0.0107962213225371,0.321335754815214,3,14,8,1.73333333333333,24,10,2.75,1,1,0,NA,NA,NA
"10",5992,"ec","00944",40,69,3,7,"ec:2.8.2.27","<30",0,6,3,0.000692520775623269,0.00337381916329285,1.95806456303215e-16,3,14,8,1.73333333333333,24,9,2.83333333333333,1,1,0,NA,NA,NA
"11",5993,"ec","00944",40,69,3,7,"ec:2.4.1.239","30<=x<80",60.6741573033708,5,3,0.000711743772241993,0,1.72288156039727e-16,3,14,8,1.73333333333333,23,9,2.8695652173913,2,2,1,NA,NA,NA
"12",5995,"ec","00944",40,69,3,7,"ec:2.8.2.26","<30",0,6,3,0.000657462195923734,0.00404858299595142,4.44695148948035e-16,3,14,8,1.73333333333333,24,10,2.66666666666667,1,1,0,NA,NA,NA
"13",5996,"ec","00944",40,69,3,7,"ec:2.1.1.82","<30",0,6,2,0.000641025641025641,0,4.18482425938051e-16,3,14,5,2.66666666666667,24,6,3.58333333333333,1,1,0,NA,NA,NA
"14",5999,"ec","00944",40,69,3,7,"ec:2.4.1.240","<30",0,6,2,0.000657462195923734,0.000674763832658569,1.16408141801061e-16,3,14,7,2,24,9,3,1,1,0,NA,NA,NA
"15",6002,"ec","00944",40,69,3,7,"ec:2.8.2.25","<30",0,5,7,0.00101112234580384,0.0121457489878543,3.29194489251941e-16,3,14,8,1.73333333333333,21,9,2.66666666666667,4,4,0,NA,NA,NA
"16",6013,"ec","00944",40,69,3,7,"ec:2.4.1.239","30<=x<80",60.6741573033708,6,5,0.000657462195923734,0.0067476383265857,1,3,14,7,2,24,10,2.91666666666667,1,1,0,NA,NA,NA
"17",6014,"ec","00944",40,69,3,7,"ec:1.14.14.81","30<=x<80",55.0561797752809,5,5,0.000657462195923734,0.0067476383265857,0.165044415620956,3,14,8,2.53333333333333,24,8,3.25,1,1,0,NA,NA,NA
