"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree"
"1",722,"ec","00073",13,14,1,3,"ec:1.14.14.80",">=80",94.059405940594,1,5,6,3,1.71428571428571,2,2,0,2,2,1,1,1,0,1,1,0
"2",730,"ec","00073",13,14,1,3,"ec:1.2.1.50","<30",0,2,5,3,2,1,4,4,1,2,2,0,2,2,1,1,1,0
