"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree","subgraph7_size","subgraph7_community","subgraph7_mean_degree","subgraph8_size","subgraph8_community","subgraph8_mean_degree","subgraph9_size","subgraph9_community","subgraph9_mean_degree","subgraph10_size","subgraph10_community","subgraph10_mean_degree"
"1",6414,"ec","00999",36,28,1,6,"ec:4.4.1.26",NA,0,2,2,0.000864304235090752,0.00252100840336134,0,10,7,3,1.25,1,1,0,3,3,0.666666666666667,3,3,0.666666666666667,4,4,0.5,2,2,0,3,3,0.666666666666667,7,3,1.42857142857143,2,2,1,3,3,0
"2",6415,"ec","00999",36,28,1,6,"ec:2.5.1.102",NA,0,2,3,0.000840336134453781,0.00336134453781513,0,10,7,3,1.25,2,2,1,2,2,0,3,3,0.666666666666667,4,4,0.5,2,2,0,3,3,0.666666666666667,7,3,1.42857142857143,2,2,1,3,3,0
"3",6418,"ec","00999",36,28,1,6,"ec:2.3.1.161",NA,0,4,2,0.000839630562552477,0.00168067226890756,0,10,4,5,0.4,2,2,0,5,2,1.2,3,3,0.666666666666667,4,4,0.5,2,2,0,3,3,0.666666666666667,7,3,1.42857142857143,2,2,1,3,3,0
"4",6419,"ec","00999",36,28,1,6,"ec:3.1.2.31",NA,0,5,2,0.000816326530612245,0.00168067226890756,0,10,5,4,1,5,2,1.2,3,3,0.666666666666667,4,4,0.5,2,2,0,3,3,0.666666666666667,7,3,1.42857142857143,2,2,1,3,3,0,1,1,0
"5",6422,"ec","00999",36,28,1,6,"ec:1.14.14.125",NA,0,5,2,0.000816326530612245,0.000840336134453782,0,10,5,3,1.33333333333333,1,1,0,5,2,1.2,3,3,0.666666666666667,4,4,0.5,2,2,0,3,3,0.666666666666667,7,3,1.42857142857143,2,2,1,3,3,0
"6",6423,"ec","00999",36,28,1,6,"ec:2.3.1.238",NA,0,4,2,0.000793650793650794,0,0,10,4,3,1.2,2,2,1,5,3,1.2,3,3,0.666666666666667,4,4,1,2,2,0,3,3,0,7,4,1.42857142857143,2,2,0,3,3,0.666666666666667
"7",6424,"ec","00999",36,28,1,6,"ec:2.3.1.244",NA,0,3,2,0.000890471950133571,0,0,10,3,2,1,3,3,0.666666666666667,5,2,1.2,3,3,0.666666666666667,4,4,0.5,2,2,0,3,3,0.666666666666667,7,3,1.42857142857143,2,2,1,3,3,0
"8",6427,"ec","00999",36,28,1,6,"ec:4.1.99.20",NA,1.875,1,2,0.000816326530612245,0.000840336134453782,0,10,7,3,1.25,5,3,1.2,1,1,0,4,4,0.5,2,2,0,3,3,0.666666666666667,7,3,1.42857142857143,2,2,1,3,3,0,1,1,0
"9",6430,"ec","00999",36,28,1,6,"ec:2.4.1.330",NA,0,2,2,0.000839630562552477,0.00168067226890756,0,10,7,3,1.25,5,3,1.2,3,3,0.666666666666667,1,1,0,2,2,0,2,2,1,3,3,0.666666666666667,7,3,1.42857142857143,2,2,1,3,3,0
"10",6431,"ec","00999",36,28,1,6,"ec:2.4.1.271",NA,0,2,2,0.000816326530612245,0.00168067226890756,0,10,7,3,1.25,5,3,1.2,3,3,0.666666666666667,2,2,1,2,2,0,3,3,0.666666666666667,7,3,1.42857142857143,2,2,1,3,3,0,1,1,0
"11",6437,"ec","00999",36,28,1,6,"ec:4.1.1.117",NA,9.6875,4,2,0.000839630562552477,0.00672268907563025,0,10,7,3,1.25,5,3,1.2,3,3,0.666666666666667,4,4,1,2,2,0,3,3,0,4,2,1.5,2,2,0,2,2,1,3,3,0
"12",6438,"ec","00999",36,28,1,6,"ec:2.5.1.140",NA,39.0625,5,2,0.00091324200913242,0.00420168067226891,0,10,7,3,1.25,5,3,1.2,3,3,0.666666666666667,4,4,1,2,2,0,3,3,0,1,1,0,5,3,1.2,2,2,1,3,3,0
"13",6439,"ec","00999",36,28,1,6,"ec:1.5.1.51",NA,37.5,4,2,0.00088809946714032,0.00672268907563025,0,10,7,3,1.25,5,3,1.2,3,3,0.666666666666667,4,4,1,2,2,0,3,3,0,2,2,1,4,4,1,2,2,1,3,3,0
"14",6440,"ec","00999",36,28,1,6,"ec:6.3.2.54",NA,11.5625,3,2,0.000863557858376511,0.00756302521008403,0,10,7,3,1.25,5,3,1.2,3,3,0.666666666666667,4,4,1,2,2,0,3,3,0,3,3,1.33333333333333,3,3,0.666666666666667,2,2,1,3,3,0
"15",6441,"ec","00999",36,28,1,6,"ec:6.3.2.55",NA,9.84375,5,2,0.000816326530612245,0.00420168067226891,0,10,7,3,1.25,5,3,1.2,3,3,0.666666666666667,4,4,1,2,2,0,3,3,0,5,2,1.6,2,2,1,3,3,0,1,1,0
"16",6443,"ec","00999",36,28,1,6,"ec:4.2.1.101",NA,43.125,1,2,0.000840336134453781,0,0,10,7,3,1.25,5,3,1.2,3,3,0.666666666666667,4,4,1,2,2,0,7,3,1.42857142857143,2,2,1,3,3,0,1,1,0,1,1,0
"17",6449,"ec","00999",36,28,1,6,"ec:6.3.2.58",NA,14.375,1,2,0.000816326530612245,0.000840336134453782,0,10,7,3,1.25,5,3,1.2,3,3,0.666666666666667,4,4,1,2,2,0,3,3,0,7,4,1.42857142857143,2,2,0,1,1,0,1,1,0
