"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree","subgraph7_size","subgraph7_community","subgraph7_mean_degree","subgraph8_size","subgraph8_community","subgraph8_mean_degree"
"1",5921,"ec","00943",50,67,1,9,"ec:1.14.14.90",NA,96.969696969697,7,5,0.00064143681847338,0.000850340136054422,0,7,23,10,2.08333333333333,6,6,0.666666666666667,2,2,1,2,2,1,13,6,2.30769230769231,2,2,0,1,1,0,NA,NA,NA
"2",5922,"ec","00943",50,67,1,9,"ec:1.14.14.87",NA,16.6666666666667,8,4,0.000749625187406297,0,0,8,22,8,2.17391304347826,6,6,0.666666666666667,2,2,1,2,2,1,13,6,2.30769230769231,2,2,0,1,1,0,1,1,0
"3",5928,"ec","00943",50,67,1,9,"ec:1.14.14.87",NA,16.6666666666667,4,3,0.000518672199170124,0.00467687074829932,0,8,25,12,2.53846153846154,6,4,1,2,2,0,2,2,0,1,1,0,10,4,2.6,2,2,0,1,1,0
"4",5929,"ec","00943",50,67,1,9,"ec:4.2.1.105",NA,12.1212121212121,3,4,0.000495785820525533,0.0076530612244898,0,7,25,12,2.53846153846154,6,4,1,2,2,0,2,2,0,3,3,0.666666666666667,9,4,2.66666666666667,2,2,0,NA,NA,NA
"5",5931,"ec","00943",50,67,1,9,"ec:2.1.1.212",NA,19.6969696969697,3,7,0.00046339202965709,0.0127551020408163,0,7,25,12,2.53846153846154,6,4,1,2,2,0,2,2,0,6,3,1.66666666666667,6,6,2,2,2,0,NA,NA,NA
"6",5932,"ec","00943",50,67,1,9,"ec:1.14.14.88",NA,13.6363636363636,4,5,0.000425170068027211,0.00340136054421769,0,7,25,12,2.53846153846154,6,4,1,2,2,0,2,2,0,11,5,2.54545454545455,2,2,0,1,1,0,NA,NA,NA
"7",5934,"ec","00943",50,67,1,9,"ec:2.4.1.170",NA,1.51515151515152,4,5,0.000443458980044346,0.00297619047619048,0,7,25,12,2.53846153846154,6,4,1,2,2,0,2,2,0,11,6,2,2,2,0,1,1,0,NA,NA,NA
"8",5938,"ec","00943",50,67,1,9,"ec:1.14.14.88",NA,13.6363636363636,6,5,0.000442673749446658,0.0153061224489796,0,7,20,10,2.47619047619048,6,4,1,4,4,0,2,2,0,2,2,0,13,6,2.76923076923077,2,2,0,NA,NA,NA
"9",5941,"ec","00943",50,67,1,9,"ec:2.4.1.170",NA,1.51515151515152,6,5,0.000544365813826892,0.00212585034013605,0,7,23,10,2.08333333333333,6,6,0.666666666666667,2,2,1,2,2,1,13,6,2.30769230769231,2,2,0,1,1,0,NA,NA,NA
"10",5945,"ec","00943",50,67,1,9,"ec:2.4.1.170",NA,1.51515151515152,7,5,0.00041649312786339,0.00212585034013605,0,7,23,11,2.41666666666667,6,4,1,2,2,0,2,2,1,13,6,2.30769230769231,2,2,0,1,1,0,NA,NA,NA
"11",5950,"ec","00943",50,67,1,9,"ec:1.3.1.45",NA,0,5,2,0.000442477876106195,0.0153061224489796,0,7,20,10,2.66666666666667,6,4,1,4,4,0.5,2,2,0,2,2,0,13,6,2.76923076923077,2,2,0,NA,NA,NA
"12",5951,"ec","00943",50,67,1,9,"ec:1.14.14.90",NA,96.969696969697,8,3,0.000425170068027211,0.00935374149659864,0,8,22,8,2.43478260869565,6,4,1,2,2,1,2,2,1,13,6,2.30769230769231,2,2,0,1,1,0,1,1,0
"13",5954,"ec","00943",50,67,1,9,"ec:2.4.1.170",NA,1.51515151515152,8,2,0.00041649312786339,0.00510204081632653,0,7,23,8,2.41666666666667,6,4,1,2,2,1,2,2,1,13,6,2.30769230769231,2,2,0,1,1,0,NA,NA,NA
"14",5959,"ec","00943",50,67,1,9,"ec:2.5.1.36",NA,0,3,3,0.000425170068027211,0.000850340136054422,0,8,25,8,2.38461538461538,3,3,0.666666666666667,2,2,1,2,2,1,13,6,2.30769230769231,2,2,0,1,1,0,1,1,0
"15",5960,"ec","00943",50,67,1,9,"ec:2.5.1.36",NA,0,3,2,0.00041649312786339,0.000425170068027211,0,7,25,8,2.38461538461538,4,4,1,2,2,1,2,2,1,13,6,2.30769230769231,2,2,0,1,1,0,NA,NA,NA
"16",5961,"ec","00943",50,67,1,9,"ec:1.14.14.93",NA,1.51515151515152,2,2,0.000452898550724638,0,0,7,25,8,2.38461538461538,2,2,0,3,3,0.666666666666667,2,2,1,2,2,1,13,6,2.30769230769231,2,2,0,NA,NA,NA
"17",5963,"ec","00943",50,67,1,9,"ec:1.1.1.348",NA,18.1818181818182,6,2,0.000433651344319167,0.0127551020408163,0,7,21,10,2.63636363636364,6,4,1,3,3,0,2,2,0,2,2,0,13,6,2.76923076923077,2,2,0,NA,NA,NA
"18",5964,"ec","00943",50,67,1,9,"ec:1.14.14.90 / ec:1.14.14.89",NA,96.969696969697,5,5,0.000505305709954523,0.0170068027210884,0,7,19,7,2.2,6,6,0.666666666666667,5,3,0.8,2,2,1,2,2,1,13,6,2.30769230769231,2,2,0,NA,NA,NA
"19",5966,"ec","00943",50,67,1,9,"ec:4.2.1.139",NA,0,7,2,0.000424989375265618,0.00935374149659864,0,7,22,10,2.69565217391304,6,4,1,2,2,0,2,2,0,2,2,0,13,6,2.76923076923077,2,2,0,NA,NA,NA
"20",5968,"ec","00943",50,67,1,9,"ec:1.14.19.63",NA,0,7,2,0.000433839479392625,0.0127551020408163,0,7,21,8,2.81818181818182,6,4,1,3,3,0,2,2,0,2,2,0,13,6,2.76923076923077,2,2,0,NA,NA,NA
