"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree","subgraph7_size","subgraph7_community","subgraph7_mean_degree"
"1",794,"ec","00120",46,66,1,8,"ec:1.14.14.25",">=70",97.2413793103448,6,4,0.000772200772200772,0,0,7,17,8,1.77777777777778,5,2,1.2,7,4,0.857142857142857,5,5,0.8,7,3,1.71428571428571,2,2,1,2,2,0
"2",797,"ec","00120",46,66,1,8,"ec:1.14.14.29",">=70",99.3103448275862,7,2,0.000493827160493827,0.00101010101010101,0,7,18,7,2.31578947368421,5,3,1.2,7,4,2.28571428571429,5,3,1.2,7,4,2.28571428571429,2,2,1,1,1,0
"3",801,"ec","00120",46,66,1,8,"ec:5.1.99.4",">=70",97.2413793103448,2,2,0.000504795557799091,0.00202020202020202,0,7,20,8,1.9047619047619,2,2,1,2,2,0,7,4,0.857142857142857,5,5,0.8,7,3,1.71428571428571,2,2,1
"4",802,"ec","00120",46,66,1,8,"ec:1.17.99.3",">=70",73.7931034482759,3,2,0.000493827160493827,0.00151515151515152,0,7,20,8,1.9047619047619,3,3,1.33333333333333,7,4,0.857142857142857,5,5,0.8,7,3,1.71428571428571,2,2,1,1,1,0
"5",804,"ec","00120",46,66,1,8,"ec:1.14.99.38",">=70",98.6206896551724,6,4,0.000723065798987708,0.00101010101010101,0,7,17,9,1.77777777777778,5,2,1.2,7,4,0.857142857142857,5,5,0.8,7,3,1.71428571428571,2,2,0,2,2,1
"6",805,"ec","00120",46,66,1,8,"ec:1.14.14.23",">=70",100,5,4,0.000663129973474801,0.00909090909090909,0,7,10,6,1.63636363636364,9,6,0.666666666666667,5,2,1.2,7,4,0.857142857142857,5,5,0.8,7,3,1.71428571428571,2,2,1
"7",814,"ec","00120",46,66,1,8,"ec:1.14.15.15",">=70",99.3103448275862,6,5,0.000516528925619835,0.00454545454545455,0,7,16,9,1.17647058823529,3,3,0,5,2,1.2,7,4,0.857142857142857,5,5,0.8,7,3,1.71428571428571,2,2,1
"8",817,"ec","00120",46,66,1,8,"ec:1.1.1.181",">=70",97.2413793103448,4,3,0.000581057524694945,0.0121212121212121,0,7,11,6,1.66666666666667,8,6,0.5,5,2,1.2,7,4,0.857142857142857,5,5,0.8,7,3,1.71428571428571,2,2,1
"9",826,"ec","00120",46,66,1,8,"ec:1.14.14.26",">=70",80,7,2,0.000483091787439614,0,0,7,18,6,2.31578947368421,5,3,1.2,7,3,3.42857142857143,5,3,1.2,7,3,3.14285714285714,2,2,0,1,1,0
"10",827,"ec","00120",46,66,1,8,"ec:6.2.1.7","30<=x<70",44.8275862068966,3,2,0.000515995872033024,0.00151515151515152,0,7,20,5,2.28571428571429,5,3,1.2,7,4,2.28571428571429,1,1,0,3,3,0.666666666666667,7,3,1.71428571428571,2,2,1
"11",831,"ec","00120",46,66,1,8,"ec:5.1.99.4",">=70",97.2413793103448,2,2,0.000504795557799091,0.00202020202020202,0,7,20,5,2.28571428571429,5,3,1.2,7,4,2.28571428571429,2,2,1,2,2,0,7,3,1.71428571428571,2,2,1
"12",832,"ec","00120",46,66,1,8,"ec:1.17.99.3",">=70",73.7931034482759,3,2,0.000493827160493827,0.00151515151515152,0,7,20,5,2.28571428571429,5,3,1.2,7,4,2.28571428571429,3,3,1.33333333333333,7,3,1.71428571428571,2,2,1,1,1,0
"13",834,"ec","00120",46,66,1,8,"ec:6.2.1.7","30<=x<70",44.8275862068966,3,2,0.000515995872033024,0.00151515151515152,0,7,20,8,1.9047619047619,1,1,0,3,3,0.666666666666667,7,4,0.857142857142857,5,5,0.8,7,3,1.71428571428571,2,2,1
