"ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree","subgraph7_size","subgraph7_community","subgraph7_mean_degree","subgraph8_size","subgraph8_community","subgraph8_mean_degree","subgraph9_size","subgraph9_community","subgraph9_mean_degree","subgraph10_size","subgraph10_community","subgraph10_mean_degree","subgraph11_size","subgraph11_community","subgraph11_mean_degree","subgraph12_size","subgraph12_community","subgraph12_mean_degree","subgraph13_size","subgraph13_community","subgraph13_mean_degree"
3952,"ec",623,36,37,1,5,"ec:1.1.1.97","Q1",0,1,3,0.000865800865800866,0,0,9,16,12,0.823529411764706,5,5,0,3,3,0,2,2,1,4,2,1,2,2,0,1,1,0,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3956,"ec",623,36,37,1,5,"ec:1.14.12.11","Q1",0.211416490486258,3,5,0.000980392156862745,0.00336134453781513,0,8,12,9,0.769230769230769,4,4,1,5,5,0,3,3,0,2,2,1,4,2,1,3,3,0.666666666666667,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3957,"ec",623,36,37,1,5,"ec:1.3.1.19","Q1",0.211416490486258,4,3,0.000816326530612245,0.00252100840336134,0,8,13,8,1.28571428571429,4,4,1,5,5,0.8,3,3,0.666666666666667,2,2,0,4,4,1,2,2,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3960,"ec",623,36,37,1,5,"ec:1.1.1.90","Q3",14.291754756871,4,3,0.000793650793650794,0,0,9,1,2,0,1,1,0,4,4,1,5,5,1.2,13,6,2.30769230769231,3,3,0.666666666666667,2,2,0,4,4,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3961,"ec",623,36,37,1,5,"ec:4.1.99.11","Q1",0.380549682875264,3,5,0.00113250283125708,0,0,8,13,9,1,4,4,1,5,5,0,2,2,0,3,3,0,2,2,1,4,2,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3962,"ec",623,36,37,1,5,"ec:2.8.3.15","Q2",0.972515856236786,4,2,0.000816326530612245,0.000840336134453782,0,8,14,10,0.933333333333333,4,4,1,5,5,0,3,3,0,2,2,1,4,2,1,2,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3966,"ec",623,36,37,1,5,"ec:1.17.9.1","Q2",6.30021141649049,4,3,0.000816326530612245,0.00504201680672269,0,9,13,8,1.85714285714286,4,4,1,5,5,0.8,1,1,0,3,3,0.666666666666667,2,2,0,4,4,1,2,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3968,"ec",623,36,37,1,5,"ec:1.2.1.62","Q1",0,1,2,0.000816326530612245,0.000840336134453782,0,8,16,10,1.29411764705882,4,4,1,5,5,0.8,1,1,0,2,2,1,4,2,1,2,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3974,"ec",623,36,37,1,5,"ec:3.1.1.45","Q4",91.3742071881607,2,2,0.000839630562552477,0.00168067226890756,0,8,16,10,1.29411764705882,4,4,1,5,5,0.8,3,3,0.666666666666667,2,2,0,1,1,0,2,2,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3975,"ec",623,36,37,1,5,"ec:1.3.1.32","Q2",1.2262156448203,2,2,0.000816326530612245,0.00168067226890756,0,8,16,10,1.29411764705882,4,4,1,5,5,0.8,3,3,0.666666666666667,2,2,0,2,2,1,2,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3979,"ec",623,36,37,1,5,"ec:1.13.11.1","Q3",28.0761099365751,2,3,0.000839630562552477,0.00252100840336134,0,8,16,10,1.29411764705882,4,4,1,1,1,0,3,3,0,3,3,0,2,2,1,4,2,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3985,"ec",623,36,37,1,5,"ec:1.14.15.26","Q1",0.0422832980972516,3,5,0.000890471950133571,0.00252100840336134,0,8,3,4,0,4,4,1,5,5,0.8,12,6,1.66666666666667,3,3,0.666666666666667,2,2,0,4,4,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3986,"ec",623,36,37,1,5,"ec:1.14.13.236","Q2",5.62367864693446,3,5,0.000839630562552477,0.00672268907563025,0,8,12,8,1.38461538461538,4,4,1,5,5,0.8,3,3,0.666666666666667,3,3,0.666666666666667,2,2,0,4,4,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3991,"ec",624,24,31,1,10,"ec:1.2.1.78","Q2",1.1015911872705,7,3,0.00249376558603491,0.00395256916996047,0,5,3,4,0.5,2,2,0,13,4,3.07692307692308,3,3,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3992,"ec",624,24,31,1,10,"ec:4.1.2.34","Q2",1.1015911872705,8,2,0.00189035916824197,0.00395256916996047,0,5,2,3,0.666666666666667,14,5,2.85714285714286,2,2,0,3,3,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3994,"ec",624,24,31,1,10,"ec:1.13.11.38","Q2",1.34638922888617,9,2,0.00181159420289855,0,0,5,1,2,0,15,5,3.2,2,2,0,3,3,0.666666666666667,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4002,"ec",624,24,31,1,10,"ec:1.14.12.7","Q3",13.7086903304774,6,3,0.0021505376344086,0.0158102766798419,0,5,5,3,1,2,2,0,3,3,0.666666666666667,2,2,0,11,3,3.45454545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4003,"ec",624,24,31,1,10,"ec:1.3.1.64","Q2",6.36474908200734,5,2,0.00206185567010309,0.0177865612648221,0,5,6,3,1.42857142857143,2,2,0,3,3,0.666666666666667,2,2,0,10,10,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4004,"ec",624,24,31,1,10,"ec:4.1.1.55","Q3",13.5862913096695,6,6,0.00197628458498024,0.0158102766798419,0,5,7,3,1.5,2,2,0,3,3,0.666666666666667,2,2,0,9,9,3.77777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4007,"ec",624,24,31,1,10,"ec:1.14.12.15","Q1",0.611995104039168,8,2,0.00216450216450216,0,0,5,14,6,2,2,2,0,3,3,0.666666666666667,2,2,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
