"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree"
"1",3578,"ec","00565",27,46,7,13,"ec:2.3.1.25","<30",0,12,2,0.00142450142450142,0,0,2,25,4,3.46153846153846,1,1,0
"2",3580,"ec","00565",27,46,7,13,"ec:1.1.1.101","<30",5.09031198686371,12,3,0.00142450142450142,0,0,2,1,2,0,25,5,3.52
"3",3583,"ec","00565",27,46,7,13,"ec:2.3.1.105","<30",0,11,3,0.00153846153846154,0.00153846153846154,0,2,3,4,0.5,23,4,3.39130434782609
"4",3584,"ec","00565",27,46,7,13,"ec:3.1.3.59","<30",0,10,3,0.00142450142450142,0,0,2,4,5,1.6,22,4,3.63636363636364
"5",3585,"ec","00565",27,46,7,13,"ec:2.7.8.2","<30",10.4542966611932,9,4,0.00153846153846154,0.00358974358974359,0,2,6,3,1.42857142857143,20,4,3.5
"6",3586,"ec","00565",27,46,7,13,"ec:2.7.8.1","<30",27.4220032840723,8,4,0.00153846153846154,0.00307692307692308,0,2,15,6,2,11,3,3.45454545454545
"7",3587,"ec","00565",27,46,7,13,"ec:2.7.8.2","<30",10.4542966611932,7,5,0.00142450142450142,0,0,2,11,4,2.33333333333333,15,4,3.86666666666667
"8",3595,"ec","00565",27,46,7,13,"ec:1.14.99.19","<30",0,9,6,0.00223713646532438,0,0,2,16,6,2.11764705882353,10,10,3.4
"9",3600,"ec","00565",27,46,7,13,"ec:2.7.8.22","<30",0,11,3,0.0014792899408284,0.00461538461538462,0,2,24,5,2.96,2,2,0
"10",3603,"ec","00565",27,46,7,13,"ec:2.4.1.47","<30",8.97646414887794,8,4,0.00167224080267559,0,0,2,25,5,3.38461538461538,1,1,0
