"","pathway","nodes","edges","total_species","node_highest_impact","disconnected_nodes","community","mean_degree","mean_betweenness","ap_number","hap_number","hub_number","others_number"
"96","00625","27","26","4404","ec:1.14.13.69","2","6","1.92592592592593","0.00176638176638177","0","6","12","9"
"97","00626","13","11","3979","ec:1.13.11.56","2",NA,NA,NA,"0","6","2","10"
"98","00627","55","102","3853","ec:4.1.1.61","7",NA,NA,NA,"12","3","14","33"
"99","00630","81","360","6023","ec:4.1.3.24","2","17","8.88888888888889","0.0180028129395218","3","4","14","60"
"100","00633","7","7","2431","ec:2.3.1.5","0","2","2","0","0","0","2","5"
"101","00640","61","225","6050","ec:4.2.1.17","16","9","7.37704918032787","0.00664536445308882","10","2","12","37"
"102","00642","7","8","151","ec:1.17.99.2","1",NA,NA,NA,"1","1","0","7"
"103","00643","21","27","2928","ec:2.8.3.12","2","4","2.57142857142857","0.00300751879699248","5","3","4","9"
"104","00650","54","163","5840","ec:1.1.1.30","2",NA,NA,NA,"7","0","15","33"
"105","00660","22","32","4953","ec:4.2.1.34","2",NA,NA,NA,"3","4","4","13"
"106","00670","29","210","6047","ec:2.1.1.45","1","13","14.4827586206897","0.0324302134646962","1","0","9","19"
"107","00680","83","180","5673","ec:1.5.8.1","4",NA,NA,NA,"11","1","24","60"
"108","00710","33","75","540","ec:1.1.1.39","1","4","4.54545454545455","0.0129826490713588","1","0","8","24"
"109","00720","54","124","352","ec:2.3.1.169","7","13","4.59259259259259","0.0865653389238295","3","2","8","41"
"110","00730","28","71","6045","ec:2.5.1.3","8",NA,NA,NA,"4","1","9","17"
"111","00740","30","107","5916","ec:2.5.1.9","9","6","7.13333333333333","0.0245894909688013","4","1","8","17"
"112","00750","37","114","5607","ec:1.1.99.9","4","18","6.16216216216216","0.00396825396825397","9","0","7","21"
"113","00760","66","239","6015","ec:1.3.7.1","2",NA,NA,NA,"12","0","15","42"
"114","00770","33","71","6019","ec:3.5.1.6","3","12","4.3030303030303","0.031708211143695","4","0","8","21"
"115","00780","31","60","5846","ec:2.3.1.47","13","4","3.87096774193548","0.0747497219132369","10","1","7","13"
"116","00785","10","14","5440","ec:2.3.1.200","1","3","2.8","0.00694444444444444","1","0","2","7"
"117","00790","60","130","5962","ec:1.5.1.3","3",NA,NA,NA,"12","4","9","40"
"118","00791","15","17","955","ec:3.5.4.42","4",NA,NA,NA,"2","4","3","7"
"119","00830","25","72","248","ec:3.1.1.64","1",NA,NA,NA,"1","0","6","20"
"120","00860","130","277","5667","ec:2.1.1.11","2",NA,NA,NA,"27","3","25","78"
"121","00900","52","160","5937","ec:4.6.1.12","4","12","6.15384615384615","0.0176696832579186","6","2","8","36"
"122","00901","34","30","25","ec:1.5.1.32","2",NA,NA,NA,"0","14","4","20"
"123","00902","57","194","89","ec:4.2.3.16","6",NA,NA,NA,"16","3","14","25"
"124","00903","33","33","2674","ec:1.14.14.53","4",NA,NA,NA,"9","9","0","20"
"125","00904","80","203","108","ec:4.2.3.29","2",NA,NA,NA,"16","10","11","54"
"126","00905","2","1","93","ec:1.3.1.22","0",NA,NA,NA,"0","0","2","4"
"127","00906","107","255","2315","ec:2.1.1.210","3",NA,NA,NA,"21","6","18","67"
"128","00908","2","1","91","ec:2.4.1.215","0",NA,NA,NA,"0","0","2","9"
"129","00909","81","1100","987","ec:1.14.14.17","5",NA,NA,NA,"4","9","33","37"
"130","00910","49","235","5623","ec:2.7.2.2","2",NA,NA,NA,"5","1","10","39"
