"","X","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"1","entry7",19,"rgl:CS053_01745 / rgl:CS053_01750","gene","http://www.kegg.jp/dbget-bin/www_bget?rgl:CS053_01745+rgl:CS053_01750",NA,"rn:R09819",NA,614,319,"rectangle",46,17,"#000000","#BFFFBF",1,984
"2","entry12",27,"rgl:CS053_01755","gene","http://www.kegg.jp/dbget-bin/www_bget?rgl:CS053_01755",NA,"rn:R09883",NA,836,319,"rectangle",46,17,"#000000","#BFFFBF",1,984
"3","entry19",36,"rgl:CS053_01730 / rgl:CS053_01930","gene","http://www.kegg.jp/dbget-bin/www_bget?rgl:CS053_01730+rgl:CS053_01930",NA,"rn:R09860",NA,445,319,"rectangle",46,17,"#000000","#BFFFBF",1,984
"4","entry21",39,"rgl:CS053_01735","gene","http://www.kegg.jp/dbget-bin/www_bget?rgl:CS053_01735",NA,"rn:R01836 rn:R01838",NA,285,283,"rectangle",46,17,"#000000","#BFFFBF",1,984
"5","entry26",46,"rgl:CS053_01735","gene","http://www.kegg.jp/dbget-bin/www_bget?rgl:CS053_01735",NA,"rn:R09956",NA,153,457,"rectangle",46,17,"#000000","#BFFFBF",1,984
"6","entry29",49,"rgl:CS053_01735","gene","http://www.kegg.jp/dbget-bin/www_bget?rgl:CS053_01735",NA,"rn:R09957",NA,153,407,"rectangle",46,17,"#000000","#BFFFBF",1,984
"7","entry31",51,"rgl:CS053_01865","gene","http://www.kegg.jp/dbget-bin/www_bget?rgl:CS053_01865",NA,"rn:R09955",NA,244,406,"rectangle",46,17,"#000000","#BFFFBF",1,984
"8","entry32",53,"rgl:CS053_01725","gene","http://www.kegg.jp/dbget-bin/www_bget?rgl:CS053_01725",NA,"rn:R10769",NA,977,319,"rectangle",46,17,"#000000","#BFFFBF",1,984
"9","entry7",18,"pfz:AV641_10545 / pfz:AV641_10560","gene","http://www.kegg.jp/dbget-bin/www_bget?pfz:AV641_10545+pfz:AV641_10560",NA,"rn:R09819",NA,614,319,"rectangle",46,17,"#000000","#BFFFBF",1,984
"10","entry10",23,"pfz:AV641_10715","gene","http://www.kegg.jp/dbget-bin/www_bget?pfz:AV641_10715",NA,"rn:R04597",NA,726,319,"rectangle",46,17,"#000000","#BFFFBF",1,984
"11","entry12",26,"pfz:AV641_10660","gene","http://www.kegg.jp/dbget-bin/www_bget?pfz:AV641_10660",NA,"rn:R09883",NA,836,319,"rectangle",46,17,"#000000","#BFFFBF",1,984
