"","X","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"1","entry16",30,"plu:plu4187","gene","http://www.kegg.jp/dbget-bin/www_bget?plu:plu4187",NA,"rn:R09265",NA,180,769,"rectangle",46,17,"#000000","#BFFFBF",1,1056
"2","entry17",31,"plu:plu4194","gene","http://www.kegg.jp/dbget-bin/www_bget?plu:plu4194",NA,"rn:R09262",NA,180,628,"rectangle",46,17,"#000000","#BFFFBF",1,1056
"3","entry22",36,"plu:plu4194","gene","http://www.kegg.jp/dbget-bin/www_bget?plu:plu4194",NA,"rn:R06642",NA,416,589,"rectangle",46,17,"#000000","#BFFFBF",1,1056
"4","entry24",38,"plu:plu4194","gene","http://www.kegg.jp/dbget-bin/www_bget?plu:plu4194",NA,"rn:R09263 rn:R09264",NA,665,628,"rectangle",46,17,"#000000","#BFFFBF",1,1056
"5","entry11",29,"msal:DSM43276_02542","gene","http://www.kegg.jp/dbget-bin/www_bget?msal:DSM43276_02542",NA,"rn:R06643 rn:R06644 rn:R06645",NA,910,244,"rectangle",46,17,"#000000","#BFFFBF",1,1056
"6","entry12",30,"msal:DSM43276_02543","gene","http://www.kegg.jp/dbget-bin/www_bget?msal:DSM43276_02543",NA,"rn:R06643 rn:R06644 rn:R06645",NA,864,244,"rectangle",46,17,"#000000","#BFFFBF",1,1056
"7","entry13",31,"msal:DSM43276_02541","gene","http://www.kegg.jp/dbget-bin/www_bget?msal:DSM43276_02541",NA,"rn:R06643 rn:R06644 rn:R06645",NA,888,261,"rectangle",46,17,"#000000","#BFFFBF",1,1056
"8","entry14",32,"msal:DSM43276_02542","gene","http://www.kegg.jp/dbget-bin/www_bget?msal:DSM43276_02542",NA,"rn:R11516",NA,438,244,"rectangle",46,17,"#000000","#BFFFBF",1,1056
"9","entry16",34,"msal:DSM43276_02540","gene","http://www.kegg.jp/dbget-bin/www_bget?msal:DSM43276_02540",NA,"rn:R09265",NA,180,769,"rectangle",46,17,"#000000","#BFFFBF",1,1056
"10","entry17",35,"msal:DSM43276_02535","gene","http://www.kegg.jp/dbget-bin/www_bget?msal:DSM43276_02535",NA,"rn:R09262",NA,180,628,"rectangle",46,17,"#000000","#BFFFBF",1,1056
"11","entry18",36,"msal:DSM43276_02541","gene","http://www.kegg.jp/dbget-bin/www_bget?msal:DSM43276_02541",NA,"rn:R09258 rn:R06635 rn:R06637",NA,179,261,"rectangle",46,17,"#000000","#BFFFBF",1,1056
"12","entry19",37,"msal:DSM43276_02542","gene","http://www.kegg.jp/dbget-bin/www_bget?msal:DSM43276_02542",NA,"rn:R09258 rn:R06635 rn:R06637",NA,202,244,"rectangle",46,17,"#000000","#BFFFBF",1,1056
"13","entry22",40,"msal:DSM43276_02535","gene","http://www.kegg.jp/dbget-bin/www_bget?msal:DSM43276_02535",NA,"rn:R06642",NA,416,589,"rectangle",46,17,"#000000","#BFFFBF",1,1056
"14","entry24",42,"msal:DSM43276_02535","gene","http://www.kegg.jp/dbget-bin/www_bget?msal:DSM43276_02535",NA,"rn:R09263 rn:R09264",NA,665,628,"rectangle",46,17,"#000000","#BFFFBF",1,1056
