"","X","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"1","entry30",60,"hsa:3098 / hsa:3099 / hsa:3101 / hsa:80201","gene","http://www.kegg.jp/dbget-bin/www_bget?hsa:3098+hsa:3099+hsa:3101+hsa:80201",NA,"rn:R00299",NA,409,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"2","entry31",61,"hsa:2645","gene","http://www.kegg.jp/dbget-bin/www_bget?hsa:2645",NA,"rn:R00299",NA,459,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"3","entry30",58,"rro:104661961 / rro:104661963 / rro:104674833 / rro:104680441","gene","http://www.kegg.jp/dbget-bin/www_bget?rro:104661961+rro:104661963+rro:104674833+rro:104680441",NA,"rn:R00299",NA,409,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"4","entry31",59,"rro:104671144","gene","http://www.kegg.jp/dbget-bin/www_bget?rro:104671144",NA,"rn:R00299",NA,459,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"5","entry30",58,"xtr:100124752 / xtr:100145699 / xtr:100485269 / xtr:100493823","gene","http://www.kegg.jp/dbget-bin/www_bget?xtr:100124752+xtr:100145699+xtr:100485269+xtr:100493823",NA,"rn:R00299",NA,409,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"6","entry31",59,"xtr:100124905","gene","http://www.kegg.jp/dbget-bin/www_bget?xtr:100124905",NA,"rn:R00299",NA,459,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"7","entry30",58,"npr:108783761 / npr:108788971 / npr:108795789 / npr:108795794","gene","http://www.kegg.jp/dbget-bin/www_bget?npr:108783761+npr:108788971+npr:108795789+npr:108795794",NA,"rn:R00299",NA,409,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"8","entry31",59,"npr:108796074","gene","http://www.kegg.jp/dbget-bin/www_bget?npr:108796074",NA,"rn:R00299",NA,459,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"9","entry30",58,"dre:321224 / dre:406339 / dre:406791","gene","http://www.kegg.jp/dbget-bin/www_bget?dre:321224+dre:406339+dre:406791",NA,"rn:R00299",NA,409,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"10","entry31",59,"dre:751668","gene","http://www.kegg.jp/dbget-bin/www_bget?dre:751668",NA,"rn:R00299",NA,459,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"11","entry30",58,"srx:107708252 / srx:107725456 / srx:107725457 / srx:107743550 / srx:107743551 / srx:107755855","gene","http://www.kegg.jp/dbget-bin/www_bget?srx:107708252+srx:107725456+srx:107725457+srx:107743550+srx:107743551+srx:107755855",NA,"rn:R00299",NA,409,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"12","entry31",59,"srx:107712466 / srx:107753094","gene","http://www.kegg.jp/dbget-bin/www_bget?srx:107712466+srx:107753094",NA,"rn:R00299",NA,459,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"13","entry30",58,"sanh:107654226 / sanh:107666459 / sanh:107668748 / sanh:107676583 / sanh:107676584 / sanh:107683777","gene","http://www.kegg.jp/dbget-bin/www_bget?sanh:107654226+sanh:107666459+sanh:107668748+sanh:107676583+sanh:107676584+sanh:107683777",NA,"rn:R00299",NA,409,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"14","entry31",59,"sanh:107657322 / sanh:107703174","gene","http://www.kegg.jp/dbget-bin/www_bget?sanh:107657322+sanh:107703174",NA,"rn:R00299",NA,459,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"15","entry30",58,"sgh:107557382 / sgh:107563038 / sgh:107563061 / sgh:107576813 / sgh:107599625 / sgh:107601780 / sgh:107601832","gene","http://www.kegg.jp/dbget-bin/www_bget?sgh:107557382+sgh:107563038+sgh:107563061+sgh:107576813+sgh:107599625+sgh:107601780+sgh:107601832",NA,"rn:R00299",NA,409,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
"16","entry31",59,"sgh:107550933 / sgh:107554418","gene","http://www.kegg.jp/dbget-bin/www_bget?sgh:107550933+sgh:107554418",NA,"rn:R00299",NA,459,139,"rectangle",46,17,"#000000","#BFFFBF",1,524
