"","X","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"1","entry3",29,"ecc:c2457","gene","http://www.kegg.jp/dbget-bin/www_bget?ecc:c2457",NA,"rn:R02540",NA,294,145,"rectangle",46,17,"#000000","#BFFFBF",1,643
"2","entry15",41,"ecc:c2457","gene","http://www.kegg.jp/dbget-bin/www_bget?ecc:c2457",NA,"rn:R05551",NA,384,385,"rectangle",46,17,"#000000","#BFFFBF",1,643
"3","entry3",29,"efe:EFER_0794","gene","http://www.kegg.jp/dbget-bin/www_bget?efe:EFER_0794",NA,"rn:R02540",NA,294,145,"rectangle",46,17,"#000000","#BFFFBF",1,643
"4","entry15",41,"efe:EFER_0794","gene","http://www.kegg.jp/dbget-bin/www_bget?efe:EFER_0794",NA,"rn:R05551",NA,384,385,"rectangle",46,17,"#000000","#BFFFBF",1,643
"5","entry16",43,"efe:EFER_1612","gene","http://www.kegg.jp/dbget-bin/www_bget?efe:EFER_1612",NA,"rn:R02536",NA,236,198,"rectangle",46,17,"#000000","#BFFFBF",1,643
"6","entry2",28,"pao:Pat9b_1901","gene","http://www.kegg.jp/dbget-bin/www_bget?pao:Pat9b_1901",NA,"rn:R07855",NA,189,145,"rectangle",46,17,"#000000","#BFFFBF",1,643
"7","entry3",29,"pao:Pat9b_4155 / pao:Pat9b_5468","gene","http://www.kegg.jp/dbget-bin/www_bget?pao:Pat9b_4155+pao:Pat9b_5468",NA,"rn:R02540",NA,294,145,"rectangle",46,17,"#000000","#BFFFBF",1,643
"8","entry4",30,"pao:Pat9b_4153 / pao:Pat9b_4154","gene","http://www.kegg.jp/dbget-bin/www_bget?pao:Pat9b_4153+pao:Pat9b_4154",NA,"rn:R07854",NA,237,116,"rectangle",46,17,"#000000","#BFFFBF",1,643
"9","entry15",41,"pao:Pat9b_4155 / pao:Pat9b_5468","gene","http://www.kegg.jp/dbget-bin/www_bget?pao:Pat9b_4155+pao:Pat9b_5468",NA,"rn:R05551",NA,384,385,"rectangle",46,17,"#000000","#BFFFBF",1,643
"10","entry18",45,"pao:Pat9b_4153 / pao:Pat9b_4154","gene","http://www.kegg.jp/dbget-bin/www_bget?pao:Pat9b_4153+pao:Pat9b_4154",NA,"rn:R05379",NA,329,351,"rectangle",46,17,"#000000","#BFFFBF",1,643
"11","entry19",46,"pao:Pat9b_4185 / pao:Pat9b_4750 / pao:Pat9b_4815","gene","http://www.kegg.jp/dbget-bin/www_bget?pao:Pat9b_4185+pao:Pat9b_4750+pao:Pat9b_4815",NA,"rn:R05358",NA,384,324,"rectangle",46,17,"#000000","#BFFFBF",1,643
"12","entry37",65,"pao:Pat9b_1857 / pao:Pat9b_4565","gene","http://www.kegg.jp/dbget-bin/www_bget?pao:Pat9b_1857+pao:Pat9b_4565",NA,"rn:R05404",NA,319,290,"rectangle",46,17,"#000000","#BFFFBF",1,643
"13","entry3",29,"hcn:HPB14_01455","gene","http://www.kegg.jp/dbget-bin/www_bget?hcn:HPB14_01455",NA,"rn:R02540",NA,294,145,"rectangle",46,17,"#000000","#BFFFBF",1,643
"14","entry15",41,"hcn:HPB14_01455","gene","http://www.kegg.jp/dbget-bin/www_bget?hcn:HPB14_01455",NA,"rn:R05551",NA,384,385,"rectangle",46,17,"#000000","#BFFFBF",1,643
"15","entry3",29,"hpd:KHP_0291","gene","http://www.kegg.jp/dbget-bin/www_bget?hpd:KHP_0291",NA,"rn:R02540",NA,294,145,"rectangle",46,17,"#000000","#BFFFBF",1,643
"16","entry15",41,"hpd:KHP_0291","gene","http://www.kegg.jp/dbget-bin/www_bget?hpd:KHP_0291",NA,"rn:R05551",NA,384,385,"rectangle",46,17,"#000000","#BFFFBF",1,643
"17","entry3",29,"hey:MWE_0374","gene","http://www.kegg.jp/dbget-bin/www_bget?hey:MWE_0374",NA,"rn:R02540",NA,294,145,"rectangle",46,17,"#000000","#BFFFBF",1,643
"18","entry15",41,"hey:MWE_0374","gene","http://www.kegg.jp/dbget-bin/www_bget?hey:MWE_0374",NA,"rn:R05551",NA,384,385,"rectangle",46,17,"#000000","#BFFFBF",1,643
"19","entry3",29,"her:C695_01480","gene","http://www.kegg.jp/dbget-bin/www_bget?her:C695_01480",NA,"rn:R02540",NA,294,145,"rectangle",46,17,"#000000","#BFFFBF",1,643
"20","entry15",41,"her:C695_01480","gene","http://www.kegg.jp/dbget-bin/www_bget?her:C695_01480",NA,"rn:R05551",NA,384,385,"rectangle",46,17,"#000000","#BFFFBF",1,643
"21","entry3",29,"hei:C730_01485","gene","http://www.kegg.jp/dbget-bin/www_bget?hei:C730_01485",NA,"rn:R02540",NA,294,145,"rectangle",46,17,"#000000","#BFFFBF",1,643
"22","entry15",41,"hei:C730_01485","gene","http://www.kegg.jp/dbget-bin/www_bget?hei:C730_01485",NA,"rn:R05551",NA,384,385,"rectangle",46,17,"#000000","#BFFFBF",1,643
"23","entry3",29,"hpya:HPAKL117_01465","gene","http://www.kegg.jp/dbget-bin/www_bget?hpya:HPAKL117_01465",NA,"rn:R02540",NA,294,145,"rectangle",46,17,"#000000","#BFFFBF",1,643
"24","entry15",41,"hpya:HPAKL117_01465","gene","http://www.kegg.jp/dbget-bin/www_bget?hpya:HPAKL117_01465",NA,"rn:R05551",NA,384,385,"rectangle",46,17,"#000000","#BFFFBF",1,643
