"","node1","node2","ec1","entryID1","reaction1","x1","y1","ec2","entryID2","reaction2","x2","y2","org","pathway"
"1","363","364","ec:2.7.7.69","32","rn:R07678","262","406","ec:5.1.3.18","33","rn:R07673","263","339","ec","00053"
"2","363","365","ec:2.7.7.69","32","rn:R07678","262","406","ec:5.1.3.18","34","rn:R00889","213","376","ec","00053"
"3","362","363","ec:3.1.3.93","31","rn:R07674","300","443","ec:2.7.7.69","32","rn:R07678","262","406","ec","00053"
"4","361","362","ec:1.1.1.122","30","rn:R07675","435","432","ec:3.1.3.93","31","rn:R07674","300","443","ec","00053"
"5","361","376","ec:1.1.1.122","30","rn:R07675","435","432","ec:1.3.2.3","58","rn:R00640","598","432","ec","00053"
"6","361","377","ec:1.1.1.122","30","rn:R07675","435","432","ec:1.3.3.12","59","rn:R00643","598","453","ec","00053"
"7","406","376","ec:1.6.5.4","156","rn:R00095","706","499","ec:1.3.2.3","58","rn:R00640","598","432","ec","00053"
"8","405","376","ec:1.10.3.3","155","rn:R00068","570","542","ec:1.3.2.3","58","rn:R00640","598","432","ec","00053"
"9","402","376","ec:1.3.2.3","152","rn:R07679","620","542","ec:1.3.2.3","58","rn:R00640","598","432","ec","00053"
"10","403","376","ec:1.8.5.1","153","rn:R01108","652","515","ec:1.3.2.3","58","rn:R00640","598","432","ec","00053"
"11","404","376","ec:1.11.1.11","154","rn:R09540","722","470","ec:1.3.2.3","58","rn:R00640","598","432","ec","00053"
"12","401","376","ec:2.7.1.194","148","rn:R07671","728","405","ec:1.3.2.3","58","rn:R00640","598","432","ec","00053"
"13","406","377","ec:1.6.5.4","156","rn:R00095","706","499","ec:1.3.3.12","59","rn:R00643","598","453","ec","00053"
"14","405","377","ec:1.10.3.3","155","rn:R00068","570","542","ec:1.3.3.12","59","rn:R00643","598","453","ec","00053"
"15","402","377","ec:1.3.2.3","152","rn:R07679","620","542","ec:1.3.3.12","59","rn:R00643","598","453","ec","00053"
"16","403","377","ec:1.8.5.1","153","rn:R01108","652","515","ec:1.3.3.12","59","rn:R00643","598","453","ec","00053"
"17","404","377","ec:1.11.1.11","154","rn:R09540","722","470","ec:1.3.3.12","59","rn:R00643","598","453","ec","00053"
"18","401","377","ec:2.7.1.194","148","rn:R07671","728","405","ec:1.3.3.12","59","rn:R00643","598","453","ec","00053"
"19","405","406","ec:1.10.3.3","155","rn:R00068","570","542","ec:1.6.5.4","156","rn:R00095","706","499","ec","00053"
"20","402","406","ec:1.3.2.3","152","rn:R07679","620","542","ec:1.6.5.4","156","rn:R00095","706","499","ec","00053"
"21","403","406","ec:1.8.5.1","153","rn:R01108","652","515","ec:1.6.5.4","156","rn:R00095","706","499","ec","00053"
"22","404","406","ec:1.11.1.11","154","rn:R09540","722","470","ec:1.6.5.4","156","rn:R00095","706","499","ec","00053"
"23","401","406","ec:2.7.1.194","148","rn:R07671","728","405","ec:1.6.5.4","156","rn:R00095","706","499","ec","00053"
"24","401","405","ec:2.7.1.194","148","rn:R07671","728","405","ec:1.10.3.3","155","rn:R00068","570","542","ec","00053"
"25","401","402","ec:2.7.1.194","148","rn:R07671","728","405","ec:1.3.2.3","152","rn:R07679","620","542","ec","00053"
"26","401","403","ec:2.7.1.194","148","rn:R07671","728","405","ec:1.8.5.1","153","rn:R01108","652","515","ec","00053"
"27","401","404","ec:2.7.1.194","148","rn:R07671","728","405","ec:1.11.1.11","154","rn:R09540","722","470","ec","00053"
"28","399","400","ec:2.7.1.53","143","rn:R07127","804","358","ec:1.1.1.130","144","rn:R02637 rn:R02639","804","541","ec","00053"
"29","369","370","ec:2.7.7.44","38","rn:R01381","242","153","ec:1.1.1.22","39","rn:R00286","135","164","ec","00053"
"30","368","369","ec:2.7.1.43","37","rn:R01476","369","164","ec:2.7.7.44","38","rn:R01381","242","153","ec","00053"
"31","367","368","ec:1.13.99.1","36","rn:R01184","430","115","ec:2.7.1.43","37","rn:R01476","369","164","ec","00053"
