"","node1","node2","org","pathway"
"1","ec:1.14.14.42","ec:1.14.14.42","ec","00966"
"2","ec:1.14.14.43","ec:1.14.14.43","ec","00966"
"3","ec:2.4.1.195","ec:2.4.1.195","ec","00966"
"5","ec:2.6.1.88","ec:2.6.1.88","ec","00966"
"6","ec:2.3.3.17","ec:2.3.3.17","ec","00966"
"21","ec:4.2.1.170","ec:4.2.1.170","ec","00966"
"22","ec:2.8.2.38","ec:2.8.2.38","ec","00966"
"31","ec:1.14.14.40","ec:1.14.14.40","ec","00966"
"32","ec:2.8.2.24","ec:2.8.2.24","ec","00966"
"33","ec:1.14.14.45","ec:1.14.14.45","ec","00966"
"36","ec:1.14.14.156","ec:1.14.14.156","ec","00966"
"41","ec:1.14.14.36","ec:1.14.14.36","ec","00966"
"84","ec:1.14.14.39","ec:1.14.14.39","ec","00966"
"85","ec:1.14.14.38","ec:1.14.14.38","ec","00966"
"86","ec:2.6.1.42","ec:2.6.1.42","ec","00966"
