"","node1","node2","org","pathway"
"291","ec:1.3.1.117","ec:1.3.1.117","ec","01110"
"292","ec:1.1.1.270","ec:1.1.1.270","ec","01110"
"293","ec:1.14.19.20","ec:1.14.19.20","ec","01110"
"294","ec:1.1.1.418","ec:1.1.1.418","ec","01110"
"295","ec:1.14.19.41","ec:1.14.19.41","ec","01110"
"296","ec:1.14.18.10","ec:1.14.18.10","ec","01110"
"297","ec:1.14.11.62","ec:1.14.11.62","ec","01110"
"298","ec:2.1.1.352","ec:2.1.1.352","ec","01110"
"299","ec:1.14.14.161","ec:1.14.14.161","ec","01110"
"300","ec:2.1.1.329","ec:2.1.1.329","ec","01110"
"301","ec:2.1.1.231","ec:2.1.1.231","ec","01110"
"302","ec:2.1.1.232","ec:2.1.1.232","ec","01110"
"303","ec:5.3.99.9","ec:5.3.99.9","ec","01110"
"304","ec:1.1.3.15","ec:1.1.3.15","ec","01110"
"305","ec:1.1.1.1","ec:1.1.1.1","ec","01110"
"306","ec:1.1.1.2","ec:1.1.1.2","ec","01110"
"307","ec:1.1.2.7","ec:1.1.2.7","ec","01110"
"308","ec:1.1.2.8","ec:1.1.2.8","ec","01110"
"309","ec:1.1.5.5","ec:1.1.5.5","ec","01110"
"310","ec:1.14.19.74","ec:1.14.19.74","ec","01110"
"311","ec:2.4.1.324","ec:2.4.1.324","ec","01110"
"312","ec:2.4.1.323","ec:2.4.1.323","ec","01110"
"313","ec:1.14.14.90","ec:1.14.14.90","ec","01110"
"314","ec:1.3.1.51","ec:1.3.1.51","ec","01110"
"315","ec:1.14.14.93","ec:1.14.14.93","ec","01110"
"316","ec:2.5.1.36","ec:2.5.1.36","ec","01110"
"317","ec:1.14.14.135","ec:1.14.14.135","ec","01110"
"318","ec:1.14.14.122","ec:1.14.14.122","ec","01110"
"319","ec:1.23.1.1","ec:1.23.1.1","ec","01110"
"320","ec:1.23.1.2","ec:1.23.1.2","ec","01110"
"321","ec:1.1.1.331","ec:1.1.1.331","ec","01110"
"322","ec:1.14.19.72","ec:1.14.19.72","ec","01110"
"323","ec:2.1.1.323","ec:2.1.1.323","ec","01110"
"324","ec:1.14.14.131","ec:1.14.14.131","ec","01110"
"325","ec:2.1.1.330","ec:2.1.1.330","ec","01110"
"326","ec:1.14.20.8","ec:1.14.20.8","ec","01110"
"327","ec:1.23.1.3","ec:1.23.1.3","ec","01110"
"328","ec:1.23.1.4","ec:1.23.1.4","ec","01110"
"330","ec:5.2.1.14","ec:5.2.1.14","ec","01110"
"331","ec:1.13.11.68","ec:1.13.11.68","ec","01110"
"332","ec:1.13.11.69","ec:1.13.11.69","ec","01110"
"333","ec:4.2.1.131","ec:4.2.1.131","ec","01110"
"334","ec:2.1.1.210","ec:2.1.1.210","ec","01110"
"335","ec:1.3.99.27","ec:1.3.99.27","ec","01110"
"336","ec:1.14.15.9","ec:1.14.15.9","ec","01110"
"337","ec:2.3.1.95","ec:2.3.1.95","ec","01110"
"338","ec:2.3.1.74","ec:2.3.1.74","ec","01110"
"339","ec:2.4.1.357","ec:2.4.1.357","ec","01110"
"340","ec:2.3.1.271","ec:2.3.1.271","ec","01110"
"341","ec:2.4.1.159","ec:2.4.1.159","ec","01110"
"342","ec:4.1.1.111","ec:4.1.1.111","ec","01110"
"343","ec:4.99.1.10","ec:4.99.1.10","ec","01110"
"344","ec:4.99.1.4","ec:4.99.1.4","ec","01110"
"345","ec:4.99.1.11","ec:4.99.1.11","ec","01110"
"346","ec:6.3.5.12","ec:6.3.5.12","ec","01110"
"347","ec:6.3.3.7","ec:6.3.3.7","ec","01110"
"348","ec:6.4.1.9","ec:6.4.1.9","ec","01110"
"349","ec:2.1.1.291","ec:2.1.1.291","ec","01110"
"350","ec:2.1.1.118","ec:2.1.1.118","ec","01110"
"351","ec:2.1.1.147","ec:2.1.1.147","ec","01110"
"352","ec:1.14.19.68","ec:1.14.19.68","ec","01110"
"353","ec:1.3.3.8","ec:1.3.3.8","ec","01110"
"354","ec:1.21.3.2","ec:1.21.3.2","ec","01110"
