"","node1","node2","org","pathway"
"6","ec:2.4.1.223","ec:2.4.1.223","ec","00534"
"7","ec:2.4.2.26","ec:2.4.2.26","ec","00534"
"9","ec:2.8.2.29","ec:2.8.2.29","ec","00534"
"10","ec:2.8.2.23","ec:2.8.2.23","ec","00534"
"11","ec:2.8.2.30","ec:2.8.2.30","ec","00534"
"12","ec:5.1.3.17","ec:5.1.3.17","ec","00534"
"16","ec:2.4.1.133","ec:2.4.1.133","ec","00534"
"17","ec:2.4.1.225","ec:2.4.1.225","ec","00534"
"18","ec:2.4.1.224","ec:2.4.1.224","ec","00534"
"19","ec:2.4.1.134","ec:2.4.1.134","ec","00534"
"20","ec:2.4.1.135","ec:2.4.1.135","ec","00534"
