"","node1","node2","ec1","entryID1","reaction1","x1","y1","ec2","entryID2","reaction2","x2","y2","org","pathway"
"1","4021","4023","ec:1.18.6.1","37","rn:R05496","490","355","ec:1.14.13.69","41","rn:R05444","540","394","ec","00625"
"2","4021","4024","ec:1.18.6.1","37","rn:R05496","490","355","ec:4.2.1.112","42","rn:R05380","552","323","ec","00625"
"3","4022","4023","ec:3.3.2.10","40","rn:R05842","600","370","ec:1.14.13.69","41","rn:R05444","540","394","ec","00625"
"4","4025","4027","ec:3.8.1.5","58","rn:R05367","324","125","ec:1.1.1.1","64","rn:R05233","434","125","ec","00625"
"5","4027","4029","ec:1.1.1.1","64","rn:R05233","434","125","ec:1.2.1.3","70","rn:R05237","541","124","ec","00625"
"6","4028","4030","ec:1.1.1.1","67","rn:R05234","434","180","ec:1.2.1.3","72","rn:R05238","542","180","ec","00625"
"7","4026","4028","ec:3.8.1.5","61","rn:R05368","324","180","ec:1.1.1.1","67","rn:R05234","434","180","ec","00625"
"8","4036","4037","ec:1.2.1.3","110","rn:R05286","542","676","ec:3.8.1.3","112","rn:R05287","649","666","ec","00625"
"9","4036","4038","ec:1.2.1.3","110","rn:R05286","542","676","ec:3.8.1.2","113","rn:R05287","649","687","ec","00625"
"10","4034","4036","ec:1.1.2.7","106","rn:R09128","431","666","ec:1.2.1.3","110","rn:R05286","542","676","ec","00625"
"11","4035","4036","ec:1.1.2.8","107","rn:R05285","431","687","ec:1.2.1.3","110","rn:R05286","542","676","ec","00625"
"12","4033","4034","ec:3.8.1.5","103","rn:R05284","323","677","ec:1.1.2.7","106","rn:R09128","431","666","ec","00625"
"13","4033","4035","ec:3.8.1.5","103","rn:R05284","323","677","ec:1.1.2.8","107","rn:R05285","431","687","ec","00625"
"14","4032","4031","ec:4.5.1.3","98","rn:R00603","322","637","ec:1.2.1.46","96","rn:R00604","358","612","ec","00625"
"15","4040","4031","ec:1.14.12.11","115","rn:R09152","238","577","ec:1.2.1.46","96","rn:R00604","358","612","ec","00625"
"16","4020","4039","ec:1.21.99.5","36","rn:R05499","108","393","ec:1.14.12.11","114","rn:R09151","238","474","ec","00625"
"17","4020","4040","ec:1.21.99.5","36","rn:R05499","108","393","ec:1.14.12.11","115","rn:R09152","238","577","ec","00625"
"18","4019","4039","ec:1.21.99.5","35","rn:R05500","217","394","ec:1.14.12.11","114","rn:R09151","238","474","ec","00625"
"19","4019","4040","ec:1.21.99.5","35","rn:R05500","217","394","ec:1.14.12.11","115","rn:R09152","238","577","ec","00625"
"20","4018","4039","ec:1.21.99.5","34","rn:R05501","217","441","ec:1.14.12.11","114","rn:R09151","238","474","ec","00625"
"21","4018","4040","ec:1.21.99.5","34","rn:R05501","217","441","ec:1.14.12.11","115","rn:R09152","238","577","ec","00625"
"22","4041","4032","ec:1.2.98.1","137","rn:R00614","408","612","ec:4.5.1.3","98","rn:R00603","322","637","ec","00625"
"23","4040","4041","ec:1.14.12.11","115","rn:R09152","238","577","ec:1.2.98.1","137","rn:R00614","408","612","ec","00625"
"24","4023","4042","ec:1.14.13.69","41","rn:R05444","540","394","ec:4.4.1.23","141","rn:R11897","645","394","ec","00625"
"25","4042","4022","ec:4.4.1.23","141","rn:R11897","645","394","ec:3.3.2.10","40","rn:R05842","600","370","ec","00625"
"26","4043","4044","ec:1.14.13.69","145","rn:R11901","540","441","ec:4.4.1.23","147","rn:R11899","645","442","ec","00625"
