"","node1","node2","org","pathway"
"3","ec:3.5.1.24","ec:3.5.1.24","ec","00121"
"8","ec:6.2.1.7","ec:6.2.1.7","ec","00121"
"9","ec:1.1.1.395","ec:1.1.1.395","ec","00121"
"10","ec:1.3.1.115","ec:1.3.1.115","ec","00121"
"11","ec:2.8.3.25","ec:2.8.3.25","ec","00121"
"12","ec:4.2.1.106","ec:4.2.1.106","ec","00121"
"13","ec:1.3.1.116","ec:1.3.1.116","ec","00121"
"14","ec:3.5.1.74","ec:3.5.1.74","ec","00121"
"47","ec:1.1.1.201","ec:1.1.1.201","ec","00121"
"48","ec:1.1.1.52","ec:1.1.1.52","ec","00121"
"49","ec:1.1.1.392","ec:1.1.1.392","ec","00121"
"50","ec:1.1.1.176","ec:1.1.1.176","ec","00121"
"51","ec:1.1.1.238","ec:1.1.1.238","ec","00121"
"52","ec:1.1.1.391","ec:1.1.1.391","ec","00121"
"53","ec:1.1.1.393","ec:1.1.1.393","ec","00121"
"54","ec:1.1.1.159","ec:1.1.1.159","ec","00121"
"55","ec:1.3.1.114","ec:1.3.1.114","ec","00121"
