"","node1","node2","ec1","entryID1","reaction1","x1","y1","ec2","entryID2","reaction2","x2","y2","org","pathway"
"18","72","79","ec:2.3.3.1","46","rn:R00351","436","331","ec:4.1.1.49","96","rn:R00341","371","126","ec","00020"
"19","72","80","ec:2.3.3.1","46","rn:R00351","436","331","ec:4.1.1.32","97","rn:R00431 rn:R00726","371","105","ec","00020"
"20","74","79","ec:6.4.1.1","48","rn:R00344","736","278","ec:4.1.1.49","96","rn:R00341","371","126","ec","00020"
"21","74","80","ec:6.4.1.1","48","rn:R00344","736","278","ec:4.1.1.32","97","rn:R00431 rn:R00726","371","105","ec","00020"
"22","73","69","ec:1.1.1.37","47","rn:R00342","253","349","ec:4.2.1.2","43","rn:R01082","191","441","ec","00020"
"23","69","83","ec:4.2.1.2","43","rn:R01082","191","441","ec:1.3.5.1","107","rn:R02164","215","535","ec","00020"
"24","83","64","ec:1.3.5.1","107","rn:R02164","215","535","ec:6.2.1.4","38","rn:R00432 rn:R00727","260","560","ec","00020"
"25","83","63","ec:1.3.5.1","107","rn:R02164","215","535","ec:6.2.1.5","37","rn:R00405","260","579","ec","00020"
"26","64","89","ec:6.2.1.4","38","rn:R00432 rn:R00727","260","560","ec:1.2.7.3","119","rn:R01197","530","678","ec","00020"
"27","64","62","ec:6.2.1.4","38","rn:R00432 rn:R00727","260","560","ec:2.3.1.61","36","rn:R02570","403","579","ec","00020"
"28","63","89","ec:6.2.1.5","37","rn:R00405","260","579","ec:1.2.7.3","119","rn:R01197","530","678","ec","00020"
"29","63","62","ec:6.2.1.5","37","rn:R00405","260","579","ec:2.3.1.61","36","rn:R02570","403","579","ec","00020"
"30","89","62","ec:1.2.7.3","119","rn:R01197","530","678","ec:2.3.1.61","36","rn:R02570","403","579","ec","00020"
"31","62","61","ec:2.3.1.61","36","rn:R02570","403","579","ec:1.2.4.2","35","rn:R03316","530","580","ec","00020"
"32","62","59","ec:2.3.1.61","36","rn:R02570","403","579","ec:1.8.1.4","33","rn:R07618","467","623","ec","00020"
"33","59","61","ec:1.8.1.4","33","rn:R07618","467","623","ec:1.2.4.2","35","rn:R03316","530","580","ec","00020"
"34","60","89","ec:1.2.4.2","34","rn:R00621","661","579","ec:1.2.7.3","119","rn:R01197","530","678","ec","00020"
"35","60","66","ec:1.2.4.2","34","rn:R00621","661","579","ec:1.1.1.41","40","rn:R00709","766","463","ec","00020"
"36","60","65","ec:1.2.4.2","34","rn:R00621","661","579","ec:1.1.1.42","39","rn:R00268","718","510","ec","00020"
"37","89","66","ec:1.2.7.3","119","rn:R01197","530","678","ec:1.1.1.41","40","rn:R00709","766","463","ec","00020"
"38","89","65","ec:1.2.7.3","119","rn:R01197","530","678","ec:1.1.1.42","39","rn:R00268","718","510","ec","00020"
"39","66","65","ec:1.1.1.41","40","rn:R00709","766","463","ec:1.1.1.42","39","rn:R00268","718","510","ec","00020"
"40","70","67","ec:4.2.1.3","44","rn:R01900","670","350","ec:1.1.1.42","41","rn:R01899","718","405","ec","00020"
"41","70","66","ec:4.2.1.3","44","rn:R01900","670","350","ec:1.1.1.41","40","rn:R00709","766","463","ec","00020"
"42","67","66","ec:1.1.1.42","41","rn:R01899","718","405","ec:1.1.1.41","40","rn:R00709","766","463","ec","00020"
"43","72","71","ec:2.3.3.1","46","rn:R00351","436","331","ec:4.2.1.3","45","rn:R01325","571","350","ec","00020"
"44","68","71","ec:2.3.3.8","42","rn:R00352","436","350","ec:4.2.1.3","45","rn:R01325","571","350","ec","00020"
"45","77","76","ec:1.8.1.4","89","rn:R07618","529","285","ec:1.2.4.1","86","rn:R03270","582","241","ec","00020"
"46","76","75","ec:1.2.4.1","86","rn:R03270","582","241","ec:1.2.4.1","84","rn:R00014","686","241","ec","00020"
"47","78","76","ec:2.3.1.12","91","rn:R02569","464","242","ec:1.2.4.1","86","rn:R03270","582","241","ec","00020"
"48","77","78","ec:1.8.1.4","89","rn:R07618","529","285","ec:2.3.1.12","91","rn:R02569","464","242","ec","00020"
"49","70","81","ec:4.2.1.3","44","rn:R01900","670","350","ec:1.1.1.286","105","rn:R00709","816","463","ec","00020"
"50","67","81","ec:1.1.1.42","41","rn:R01899","718","405","ec:1.1.1.286","105","rn:R00709","816","463","ec","00020"
"51","60","81","ec:1.2.4.2","34","rn:R00621","661","579","ec:1.1.1.286","105","rn:R00709","816","463","ec","00020"
"52","89","81","ec:1.2.7.3","119","rn:R01197","530","678","ec:1.1.1.286","105","rn:R00709","816","463","ec","00020"
"53","65","81","ec:1.1.1.42","39","rn:R00268","718","510","ec:1.1.1.286","105","rn:R00709","816","463","ec","00020"
"54","83","82","ec:1.3.5.1","107","rn:R02164","215","535","ec:2.8.3.18","106","rn:R10343","260","598","ec","00020"
"55","82","62","ec:2.8.3.18","106","rn:R10343","260","598","ec:2.3.1.61","36","rn:R02570","403","579","ec","00020"
"56","82","89","ec:2.8.3.18","106","rn:R10343","260","598","ec:1.2.7.3","119","rn:R01197","530","678","ec","00020"
