"","node1","node2","org","pathway"
"1","ec:1.14.19.3","ec:1.14.19.3","ec","01040"
"2","ec:2.3.1.199","ec:2.3.1.199","ec","01040"
"3","ec:1.1.1.330","ec:1.1.1.330","ec","01040"
"4","ec:4.2.1.134","ec:4.2.1.134","ec","01040"
"5","ec:1.3.1.93","ec:1.3.1.93","ec","01040"
"6","ec:2.3.1.16","ec:2.3.1.16","ec","01040"
"7","ec:2.3.1.176","ec:2.3.1.176","ec","01040"
"8","ec:4.2.1.119","ec:4.2.1.119","ec","01040"
"9","ec:1.3.3.6","ec:1.3.3.6","ec","01040"
"12","ec:3.1.2.2","ec:3.1.2.2","ec","01040"
"65","ec:1.14.19.1","ec:1.14.19.1","ec","01040"
"66","ec:1.14.19.2","ec:1.14.19.2","ec","01040"
"67","ec:1.14.19.6","ec:1.14.19.6","ec","01040"
"68","ec:1.14.19.44","ec:1.14.19.44","ec","01040"
