"","node1","node2","org","pathway"
"425","ec:3.2.1.52","ec:3.2.1.52","ec","01100"
"426","ec:3.2.1.209","ec:3.2.1.209","ec","01100"
"427","ec:3.2.1.113","ec:3.2.1.113","ec","01100"
"429","ec:6.3.1.20","ec:6.3.1.20","ec","01100"
"430","ec:2.3.1.200","ec:2.3.1.200","ec","01100"
"431","ec:2.8.1.8","ec:2.8.1.8","ec","01100"
"432","ec:2.3.1.204","ec:2.3.1.204","ec","01100"
"433","ec:2.3.1.181","ec:2.3.1.181","ec","01100"
"434","ec:2.7.1.82","ec:2.7.1.82","ec","01100"
"435","ec:4.1.2.27","ec:4.1.2.27","ec","01100"
"436","ec:4.1.1.99","ec:4.1.1.99","ec","01100"
"437","ec:5.5.1.9","ec:5.5.1.9","ec","01100"
"438","ec:1.14.14.154","ec:1.14.14.154","ec","01100"
"439","ec:1.1.1.418","ec:1.1.1.418","ec","01100"
"440","ec:1.1.1.270","ec:1.1.1.270","ec","01100"
"441","ec:1.14.18.9","ec:1.14.18.9","ec","01100"
"442","ec:1.1.1.170","ec:1.1.1.170","ec","01100"
"443","ec:3.2.1.18","ec:3.2.1.18","ec","01100"
"444","ec:3.1.1.102","ec:3.1.1.102","ec","01100"
"445","ec:3.1.1.101","ec:3.1.1.101","ec","01100"
"446","ec:1.1.1.361","ec:1.1.1.361","ec","01100"
"447","ec:2.6.1.104","ec:2.6.1.104","ec","01100"
"449","ec:3.1.3.92","ec:3.1.3.92","ec","01100"
"450","ec:6.3.2.58","ec:6.3.2.58","ec","01100"
"451","ec:6.3.2.57","ec:6.3.2.57","ec","01100"
"454","ec:2.5.1.140","ec:2.5.1.140","ec","01100"
"455","ec:1.5.1.51","ec:1.5.1.51","ec","01100"
"456","ec:6.3.2.54","ec:6.3.2.54","ec","01100"
"457","ec:4.1.1.117","ec:4.1.1.117","ec","01100"
"458","ec:6.3.2.55","ec:6.3.2.55","ec","01100"
"459","ec:6.3.2.56","ec:6.3.2.56","ec","01100"
"461","ec:4.1.1.116","ec:4.1.1.116","ec","01100"
